reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,primary_benefit_source,prefill_saving_delta,shared_kv_read_reduction_delta,placement_mesh_delta,shared_kv_placement_delta,apc_affinity_jct_delta,pat_affinity_jct_delta,jct_p99_delta_vs_apc
1,512,128,32,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020902
1,512,128,32,2,16.0,mixed_benefit,1.0,0.0,2147483648.0,0.0,0.0,0.0,0.836262774902089
1,512,128,32,16,2.0,mixed_benefit,1.0,0.0,53687091200.0,450971566080.0,-0.7985843161636953,-0.7983462186353637,0.9879943520841122
1,512,128,32,16,16.0,mixed_benefit,1.0,0.0,412316860416.0,450971566080.0,-0.7985843161636954,-0.7983462186353637,0.9879943520841122
1,512,128,512,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879543
1,512,128,512,2,16.0,mixed_benefit,1.0,0.0,34359738368.0,0.0,0.0,0.0,0.9682065684879546
1,512,128,512,16,2.0,mixed_benefit,1.0,0.0,2218350608384.0,7215545057280.0,-0.7987908639357787,-0.7987754267756206,0.9978252780732643
1,512,128,512,16,16.0,mixed_benefit,1.0,0.0,6307159474176.0,7215545057280.0,-0.7987908639357788,-0.7987754267756206,0.9978252780732643
1,8192,128,32,2,2.0,mixed_benefit,1.0,0.0,1079110533120.0,0.0,0.0,0.0,0.9631037482786985
1,8192,128,32,2,16.0,mixed_benefit,1.0,0.0,1079110533120.0,0.0,0.0,0.0,0.963103748278699
1,8192,128,32,16,2.0,mixed_benefit,1.0,0.3683010262292207,16.623849188952214,0.0,-0.7986803993736292,-0.7986831118858488,0.0
1,8192,128,32,16,16.0,mixed_benefit,1.0,0.3683010262292207,16.46054727088461,0.0,-0.7986803993736291,-0.7986831118858488,0.0
1,8192,128,512,2,2.0,mixed_benefit,1.0,0.0,16540992798720.0,0.0,0.0,0.0,0.9962342722368405
1,8192,128,512,2,16.0,mixed_benefit,1.0,0.0,16540992798720.0,0.0,0.0,0.0,0.9962342722368405
1,8192,128,512,16,2.0,mixed_benefit,1.0,0.3649936015927058,16.30720618662872,0.0,-0.799843930798116,-0.7998441579613125,0.0
1,8192,128,512,16,16.0,mixed_benefit,1.0,0.3683010262259854,16.47473697146152,0.0,-0.799843930798116,-0.7998441579613125,0.0
1,32768,128,32,2,2.0,mixed_benefit,1.0,0.0,4364760514560.0,0.0,0.0,0.0,0.9754057213112883
1,32768,128,32,2,16.0,mixed_benefit,1.0,0.0,4364760514560.0,0.0,0.0,0.0,0.9754057213112883
1,32768,128,32,16,2.0,mixed_benefit,1.0,0.419908297593197,19.238144629299256,0.0,-0.7994907511275693,-0.799491007697426,0.0
1,32768,128,32,16,16.0,mixed_benefit,1.0,0.4416579065969417,20.615633447068728,0.0,-0.7994907511275694,-0.7994910076974259,0.0
1,32768,128,512,2,2.0,mixed_benefit,1.0,0.0,66212289576960.0,0.0,0.0,0.0,0.9980390271821081
1,32768,128,512,2,16.0,mixed_benefit,1.0,0.0,66212289576960.0,0.0,0.0,0.0,0.9980390271821081
1,32768,128,512,16,2.0,mixed_benefit,1.0,0.4678899082571747,22.965023075054653,0.0,-0.7999490206390253,-0.7999490712978773,0.0
1,32768,128,512,16,16.0,mixed_benefit,1.0,0.39534883720953845,17.940093935166818,0.0,-0.7999490206390253,-0.7999490712978773,0.0
8,512,128,32,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020902
8,512,128,32,2,16.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020897
8,512,128,32,16,2.0,mixed_benefit,1.0,0.0,2147483648.0,450971566080.0,-0.7985843161636953,-0.7983462186353637,0.9879943520841122
8,512,128,32,16,16.0,mixed_benefit,1.0,0.0,2147483648.0,450971566080.0,-0.7985843161636954,-0.7983462186353637,0.9879943520841122
8,512,128,512,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879545
8,512,128,512,2,16.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879547
8,512,128,512,16,2.0,mixed_benefit,1.0,0.0,2147483648.0,7215545057280.0,-0.7987908639357787,-0.7987754267756206,0.9978252780732643
8,512,128,512,16,16.0,mixed_benefit,1.0,0.0,2147483648.0,7215545057280.0,-0.7987908639357788,-0.7987754267756206,0.9978252780732643
8,8192,128,32,2,2.0,mixed_benefit,1.0,0.5831134564707016,1079110533120.0,0.0,0.0,0.0,0.9631037482786986
8,8192,128,32,2,16.0,mixed_benefit,1.0,0.5831134564707016,1079110533120.0,0.0,0.0,-0.0902839337675307,0.963103748278699
8,8192,128,32,16,2.0,mixed_benefit,1.0,0.46029814420904475,16.623849188952214,0.0,-0.7986803993736292,-0.8172434962863232,0.0
8,8192,128,32,16,16.0,mixed_benefit,1.0,0.46029814420904475,16.46054727088461,0.0,-0.7986803993736291,-0.8172314128849927,0.0
8,8192,128,512,2,2.0,mixed_benefit,1.0,0.5831134564647751,16540992798720.0,0.0,0.0,0.0,0.9962342722368405
8,8192,128,512,2,16.0,mixed_benefit,1.0,0.5831134564647751,16540992798720.0,0.0,0.0,-0.09574017280250534,0.9962342722368405
8,8192,128,512,16,2.0,mixed_benefit,1.0,0.45653163404671154,16.30720618662872,0.0,-0.799843930798116,-0.8190547200553212,0.0
8,8192,128,512,16,16.0,mixed_benefit,1.0,0.4602981442047294,16.47473697146152,0.0,-0.799843930798116,-0.8190539867824701,0.0
