config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,comparison,jct_delta_pct
0,train,67,1284,2812,784,4,32.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,-0.995777467815662
0,train,67,1284,2812,784,4,32.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9864497066105536
0,train,67,1284,2812,784,4,32.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-7.917630779513316e-06
1,train,38,31736,920,40,2,16.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9809326252021257
1,train,38,31736,920,40,2,16.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9808870110099102
1,train,38,31736,920,40,2,16.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,3.1040032570608165e-05
2,train,76,302,108,442,2,4.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9388802603385459
2,train,76,302,108,442,2,4.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,-0.938375467813372
2,train,76,302,108,442,2,4.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,0.0
3,train,22,32100,1857,799,16,32.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.35464588728789403
3,train,22,32100,1857,799,16,32.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.27488817762
3,train,22,32100,1857,799,16,32.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.4751224166104675
4,train,36,20885,186,989,16,16.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.4189706469697916
4,train,36,20885,186,989,16,16.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.3269955687329029
4,train,36,20885,186,989,16,16.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.20425777119940108
5,train,94,35341,911,384,8,16.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.33270926777206655
5,train,94,35341,911,384,8,16.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.23661339440709075
5,train,94,35341,911,384,8,16.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9954470889088897
6,train,115,5533,1439,31,16,16.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.65815748523195
6,train,115,5533,1439,31,16,16.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,1.3238468895564706
6,train,115,5533,1439,31,16,16.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.6237995658437294
7,train,76,787,563,55,16,4.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.39941410086467116
7,train,76,787,563,55,16,4.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.3991707444084064
7,train,76,787,563,55,16,4.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.2854152324304013
8,train,102,35466,706,231,32,2.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,3.0466861993524788
8,train,102,35466,706,231,32,2.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,3.0466849936282467
8,train,102,35466,706,231,32,2.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.7528842240942694
9,train,94,530,383,339,16,8.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.5262839448200263
9,train,94,530,383,339,16,8.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,1.5262409878040883
9,train,94,530,383,339,16,8.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9987890455865991
10,train,109,45193,77,32,16,32.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.3507359760540936
