config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,baseline,jct_p99_ms,mesh_total_traffic_bytes
0,train,67,1284,2812,784,4,32.0,False,1.0,1.0,apc_like,7946.878651882948,15833329827840.0
0,train,67,1284,2812,784,4,32.0,False,1.0,1.0,apc_like_global_orchestrator,33.555950872605074,0.0
0,train,67,1284,2812,784,4,32.0,False,1.0,1.0,pat_like_traffic_only,2488.3363599269123,151736077516.0
0,train,67,1284,2812,784,4,32.0,False,1.0,1.0,pat_like_global_orchestrator,33.717687728636456,0.0
0,train,67,1284,2812,784,4,32.0,False,1.0,1.0,waferagent_adaptive,33.55568518897561,0.0
1,train,38,31736,920,40,2,16.0,False,1.0,1.0,apc_like,3513.309197506023,3483411415040.0
1,train,38,31736,920,40,2,16.0,False,1.0,1.0,apc_like_global_orchestrator,66.98958324966634,0.0
1,train,38,31736,920,40,2,16.0,False,1.0,1.0,pat_like_traffic_only,3513.509197506023,3483411415040.0
1,train,38,31736,920,40,2,16.0,False,1.0,1.0,pat_like_global_orchestrator,67.15366260851229,0.0
1,train,38,31736,920,40,2,16.0,False,1.0,1.0,waferagent_adaptive,66.9916626085123,0.0
2,train,76,302,108,442,2,4.0,False,1.0,1.0,apc_like,371.78659390424644,349920296960.0
2,train,76,302,108,442,2,4.0,False,1.0,1.0,apc_like_global_orchestrator,22.72349982904633,0.0
2,train,76,302,108,442,2,4.0,False,1.0,1.0,pat_like_traffic_only,371.98659390424655,349920296960.0
2,train,76,302,108,442,2,4.0,False,1.0,1.0,pat_like_global_orchestrator,22.92349982904634,0.0
2,train,76,302,108,442,2,4.0,False,1.0,1.0,waferagent_adaptive,22.72349982904633,0.0
3,train,22,32100,1857,799,16,32.0,True,1.0,1.0,apc_like,2089250.0757674319,9165310779873280.0
3,train,22,32100,1857,799,16,32.0,True,1.0,1.0,apc_like_global_orchestrator,2830194.0226542726,471743937199360.0
3,train,22,32100,1857,799,16,32.0,True,1.0,1.0,pat_like_traffic_only,2219954.75904765,8848636609976228.0
3,train,22,32100,1857,799,16,32.0,True,1.0,1.0,pat_like_global_orchestrator,2830194.0771611044,471743937199360.0
3,train,22,32100,1857,799,16,32.0,True,1.0,1.0,waferagent_adaptive,1485505.3991342743,337275075247360.0
4,train,36,20885,186,989,16,16.0,True,1.0,1.0,apc_like,1681700.8992867952,7377360701818880.0
4,train,36,20885,186,989,16,16.0,True,1.0,1.0,apc_like_global_orchestrator,2386284.213070664,379717094946560.0
4,train,36,20885,186,989,16,16.0,True,1.0,1.0,pat_like_traffic_only,1798260.9189207137,7058302227351552.0
4,train,36,20885,186,989,16,16.0,True,1.0,1.0,pat_like_global_orchestrator,2386284.270833345,379717094946560.0
4,train,36,20885,186,989,16,16.0,True,1.0,1.0,waferagent_adaptive,1898867.1182605335,320155903276800.0
5,train,94,35341,911,384,8,16.0,True,1.0,1.0,apc_like,536333.1338452285,1286998808002560.0
5,train,94,35341,911,384,8,16.0,True,1.0,1.0,apc_like_global_orchestrator,714776.1380887722,71499933777920.0
5,train,94,35341,911,384,8,16.0,True,1.0,1.0,pat_like_traffic_only,578011.0178280574,1255425626800121.0
5,train,94,35341,911,384,8,16.0,True,1.0,1.0,pat_like_global_orchestrator,714776.1667610515,71499933777920.0
5,train,94,35341,911,384,8,16.0,True,1.0,1.0,waferagent_adaptive,3254.312206765434,349102899200.0
6,train,115,5533,1439,31,16,16.0,False,1.0,1.0,apc_like,7034.994385470855,56149042790400.0
6,train,115,5533,1439,31,16,16.0,False,1.0,1.0,apc_like_global_orchestrator,18700.122984304096,3275360829440.0
6,train,115,5533,1439,31,16,16.0,False,1.0,1.0,pat_like_traffic_only,8047.054678319704,51820160135738.0
6,train,115,5533,1439,31,16,16.0,False,1.0,1.0,pat_like_global_orchestrator,18700.12298430409,3275360829440.0
6,train,115,5533,1439,31,16,16.0,False,1.0,1.0,waferagent_adaptive,7034.994385470855,56149042790400.0
7,train,76,787,563,55,16,4.0,True,1.0,1.0,apc_like,3608.5980671203893,15654609623040.0
7,train,76,787,563,55,16,4.0,True,1.0,1.0,apc_like_global_orchestrator,5049.92301948127,794283705600.0
7,train,76,787,563,55,16,4.0,True,1.0,1.0,pat_like_traffic_only,3610.798067120389,15654609623040.0
7,train,76,787,563,55,16,4.0,True,1.0,1.0,pat_like_global_orchestrator,5052.12301948127,794283705600.0
7,train,76,787,563,55,16,4.0,True,1.0,1.0,waferagent_adaptive,3608.5980671203893,15654609623040.0
8,train,102,35466,706,231,32,2.0,False,1.0,1.0,apc_like,671245.5280754634,1.073926130106368e+16
8,train,102,35466,706,231,32,2.0,False,1.0,1.0,apc_like_global_orchestrator,2716320.0148400445,952676405739520.0
8,train,102,35466,706,231,32,2.0,False,1.0,1.0,pat_like_traffic_only,671245.7280754633,1.0708012950015176e+16
8,train,102,35466,706,231,32,2.0,False,1.0,1.0,pat_like_global_orchestrator,2716320.014840044,952676405739520.0
8,train,102,35466,706,231,32,2.0,False,1.0,1.0,waferagent_adaptive,671245.5280754634,1.073926130106368e+16
9,train,94,530,383,339,16,8.0,False,1.0,1.0,apc_like,7105.898556884521,56647116390400.0
9,train,94,530,383,339,16,8.0,False,1.0,1.0,apc_like_global_orchestrator,17951.51743777716,3296958873600.0
9,train,94,530,383,339,16,8.0,False,1.0,1.0,pat_like_traffic_only,7106.098556884521,56647116390400.0
9,train,94,530,383,339,16,8.0,False,1.0,1.0,pat_like_global_orchestrator,17951.71743777716,3296958873600.0
9,train,94,530,383,339,16,8.0,False,1.0,1.0,waferagent_adaptive,21.738469268517935,0.0
10,train,109,45193,77,32,16,32.0,True,1.0,1.0,apc_like,124596.1533081272,546348408832000.0
10,train,109,45193,77,32,16,32.0,True,1.0,1.0,apc_like_global_orchestrator,168296.5067512387,28120873984000.0
10,train,109,45193,77,32,16,32.0,True,1.0,1.0,pat_like_traffic_only,131966.93971104827,536842316821268.0
10,train,109,45193,77,32,16,32.0,True,1.0,1.0,pat_like_global_orchestrator,168296.5936822248,28120873984000.0
10,train,109,45193,77,32,16,32.0,True,1.0,1.0,waferagent_adaptive,92475.23048243849,20538746757120.0
11,train,41,14923,1368,54,8,2.0,True,1.0,1.0,apc_like,32753.57149976728,78478868413440.0
11,train,41,14923,1368,54,8,2.0,True,1.0,1.0,apc_like_global_orchestrator,40976.45582263332,4359937134080.0
11,train,41,14923,1368,54,8,2.0,True,1.0,1.0,pat_like_traffic_only,32755.771499767277,78478868413440.0
11,train,41,14923,1368,54,8,2.0,True,1.0,1.0,pat_like_global_orchestrator,40976.464332318064,4359937134080.0
11,train,41,14923,1368,54,8,2.0,True,1.0,1.0,waferagent_adaptive,180.2100860313331,135004229120.0
12,train,36,37942,1196,51,16,2.0,False,1.0,1.0,apc_like,78944.10616019036,631294132224000.0
12,train,36,37942,1196,51,16,2.0,False,1.0,1.0,apc_like_global_orchestrator,211972.5882816443,36825491046400.0
12,train,36,37942,1196,51,16,2.0,False,1.0,1.0,pat_like_traffic_only,78944.30616019036,631294132224000.0
12,train,36,37942,1196,51,16,2.0,False,1.0,1.0,pat_like_global_orchestrator,211972.58828164436,36825491046400.0
