prefix_id,scope,selected_policy,confidence,opportunity_score,predicted_delta_ms_vs_apc,predicted_delta_ms_vs_pat,reason,baseline,arrival_rate_jobs_per_s,config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,fanin
sha256:500c1eba98d30978d8c75a83856e14da0d9b6b04981275bfb56bbb889ae4a175,shared_kv_object,waferagent_latency_safe,0.6215350104881417,239722.402476544,-239722.402476544,-145909.923246592,positive_latency_safe_opportunity,waferagent_adaptive,32.0,0,train,67,1284,2812,784,4,False
sha256:bf6ae805b7d27563baa68c27a2e879377789df0d3979f65c6f755c40cf103ea4,shared_kv_object,waferagent_latency_safe,0.6215723189167919,149242.77159296002,-149242.77159296002,-90840.56966528003,positive_latency_safe_opportunity,waferagent_adaptive,16.0,1,train,38,31736,920,40,2,False
sha256:a83fb111eef2394e7b910bedcfa828e4211ce40084f5cc2e147dd33a431b6f49,shared_kv_object,waferagent_latency_safe,0.621369554498282,15690.000318656,-15690.000318656,-9548.899107008001,positive_latency_safe_opportunity,waferagent_adaptive,4.0,2,train,76,302,108,442,2,False
sha256:017ffbb08681786bef20022a2cfd2153a160cf7b578ac1029e6420f61e79d7f7,shared_kv_object,waferagent_latency_safe,0.6216186295970091,26211265.1159936,-26211265.1159936,-15954652.670604799,positive_latency_safe_opportunity,waferagent_adaptive,32.0,3,train,22,32100,1857,799,16,True
sha256:e38827b87c7ca21393af154be0f774e21af3198fae24266d8a06b77cafdd0432,shared_kv_object,waferagent_latency_safe,0.6216195538872398,21108984.49314176,-21108984.49314176,-12848930.13930368,positive_latency_safe_opportunity,waferagent_adaptive,16.0,4,train,36,20885,186,989,16,True
sha256:1cdcfdb5967fcbd85f7a94abd219137e8ba3bfbca8da216907b3bf89b86a7d4f,shared_kv_object,waferagent_latency_safe,0.6216183042743245,7323175.168192256,-7323175.168192256,-4457575.454551809,positive_latency_safe_opportunity,waferagent_adaptive,16.0,5,train,94,35341,911,384,8,True
sha256:8e68b650aff212117d5005cbb7efebd73e85dd4c44339ed7837a7a09510cd1d2,shared_kv_object,apc_like,0.6044383709757156,186423.668868864,-186423.668868864,-121878.24118348802,high_queue_and_sram_risk,waferagent_adaptive,16.0,6,train,115,5533,1439,31,16,False
sha256:c18c2809352f51508895cbfdde3540a9be593f073d87595969798198762f8291,shared_kv_object,apc_like,0.5915424634054399,55758.27689312,-55758.27689312,-38448.5763056,high_queue_and_sram_risk,waferagent_adaptive,4.0,7,train,76,787,563,55,16,True
sha256:ec7079f961247be1e42fc1ae93e0a41cb4db208a423377d931af621fa5805805,shared_kv_object,apc_like,0.5818172235603996,21957581.338177375,-21957581.338177375,-15782005.156736862,high_queue_and_sram_risk,waferagent_adaptive,2.0,8,train,102,35466,706,231,32,False
sha256:44afe0e854cdf4cb02c5e22b8b9fdd49b0fcc5f993e703f194d5b6dba6ded2ea,shared_kv_object,waferagent_latency_safe,0.6214778245519449,172759.54468288002,-172759.54468288002,-105148.33806784001,positive_latency_safe_opportunity,waferagent_adaptive,8.0,9,train,94,530,383,339,16,False
sha256:4c2417d624f20762f347349f5a0bb2eb6f00aa6123da524c480acaafdd0df4d5,shared_kv_object,waferagent_latency_safe,0.6215685597684137,1477868.349699584,-1477868.349699584,-899541.595469312,positive_latency_safe_opportunity,waferagent_adaptive,32.0,10,train,109,45193,77,32,16,True
sha256:2dbb298d81d832610aead82215e26ce546fd8f327dc80d1bdc98ac201cfd61a0,shared_kv_object,waferagent_latency_safe,0.6216032797454585,434843.30674300797,-434843.30674300797,-264684.13399574393,positive_latency_safe_opportunity,waferagent_adaptive,2.0,11,train,41,14923,1368,54,8,True
sha256:71b52a3e50163f8c5fdc2c840f1b1b8bb78ec8cbe1734bdb0d01a98a4fe5ac1a,shared_kv_object,apc_like,0.60464541468441,2103593.306249056,-2103593.306249056,-1375422.078605152,high_queue_and_sram_risk,waferagent_adaptive,2.0,12,train,36,37942,1196,51,16,False
sha256:6d4df8c196e7fdafe118519b05cd454416f1d8f68e83f879ce0e50803ecf2178,shared_kv_object,waferagent_latency_safe,0.6214965320073462,37565.210551648,-37565.210551648,-22863.955879264002,positive_latency_safe_opportunity,waferagent_adaptive,2.0,13,train,10,1878,1320,84,8,False
sha256:559278afc176ca0370cefb05f9830811b65d0d2098aa57edb1bca95ecb5978ce,shared_kv_object,waferagent_latency_safe,0.6214965320073462,37565.210551648,-37565.210551648,-22863.955879264002,positive_latency_safe_opportunity,waferagent_adaptive,2.0,13,train,10,1878,1320,84,8,False
sha256:4c127acf2036f330d50bc6f1eef2f9ab5c47838a82eedbf1407a65d53dedf1ef,shared_kv_object,apc_like,0.5818125493625986,12957316.267247358,-12957316.267247358,-9313048.763959039,high_queue_and_sram_risk,waferagent_adaptive,16.0,14,train,29,37770,128,128,32,False
sha256:f17000d4792f0586f6608ce44793f8b8762f14ec6bbd188ded56f74c33c95e87,shared_kv_object,waferagent_latency_safe,0.6216168943010958,1220766.9887259519,-1220766.9887259519,-743073.3181375358,positive_latency_safe_opportunity,waferagent_adaptive,4.0,15,train,113,24883,936,206,4,False
sha256:a316c3b195c6dec5454d48596a97680fb1445eafb41700bcdb9d1a3765fcd94e,shared_kv_object,waferagent_latency_safe,0.6215290781711138,70246.55078592,-70246.55078592,-42756.24613056,positive_latency_safe_opportunity,waferagent_adaptive,8.0,16,train,105,1362,196,290,2,True
sha256:62e264c457cdfcbc7ab6d23a1614641fdf52b8c6b5220deba3a513027947b59c,shared_kv_object,waferagent_latency_safe,0.6207115902663284,46565.591153408,-46565.591153408,-28327.798962944,positive_latency_safe_opportunity,waferagent_adaptive,16.0,17,train,10,264,258,178,32,True
sha256:7eddf64012026a2aedb3b3aba932ebc874088a1feee2b1d454ab7b23da4845c4,shared_kv_object,waferagent_latency_safe,0.6207115902663284,46565.591153408,-46565.591153408,-28327.798962944,positive_latency_safe_opportunity,waferagent_adaptive,16.0,17,train,10,264,258,178,32,True
sha256:03c6885f75d8edae1db5854d3e13f5101ab33849212d0a7ae5f3be9bee59aa43,shared_kv_object,waferagent_latency_safe,0.6212439862032832,383617.04013056,-383617.04013056,-233449.75486208,positive_latency_safe_opportunity,waferagent_adaptive,32.0,18,train,58,10485,220,19,32,False
sha256:30c00bbc44c49eadbe7b3b73cf4e889ea4008e331a13bf71addca22383d4b37b,shared_kv_object,waferagent_latency_safe,0.6215948345742266,506121.00459967996,-506121.00459967996,-308068.3919302399,positive_latency_safe_opportunity,waferagent_adaptive,8.0,19,train,38,1072,1101,985,8,False
sha256:fd97e8b16ca0b8f0690c98ea51d9fbe04bfab5485e6c49d62631e9124aa4f7d7,shared_kv_object,waferagent_latency_safe,0.6216097436152372,1141421.5548788481,-1141421.5548788481,-694773.0747088641,positive_latency_safe_opportunity,waferagent_adaptive,8.0,20,train,92,18604,751,128,8,False
sha256:87df2283954fc38405f76af1869a0152915c7efa3c933f0e658fb4ad2b3fac09,shared_kv_object,waferagent_latency_safe,0.6216149396293483,2920022.672085104,-2920022.672085104,-1777397.5305626718,positive_latency_safe_opportunity,waferagent_adaptive,1.0,21,train,82,2322,92,633,32,True
sha256:1a97063fe46d211aab37ad3622a1050435874184770baaf2988f08ae2ac46600,shared_kv_object,waferagent_latency_safe,0.6215383007029768,58366.102099904,-58366.102099904,-35525.30453907199,positive_latency_safe_opportunity,waferagent_adaptive,4.0,22,train,49,3096,3954,106,2,True
sha256:9c78cd9d3072f70eeff08310671a941d7129e955048ce14ba21ffd7a7c38aba3,shared_kv_object,waferagent_latency_safe,0.6213010862335083,16698.389933791997,-16698.389933791997,-10162.158546655997,positive_latency_safe_opportunity,waferagent_adaptive,2.0,23,train,36,583,80,96,4,True
sha256:7593f9ca9ff35b16c5b2b374f28d8763e092af9faf987a4c82620fb7d218b411,shared_kv_object,waferagent_latency_safe,0.6215778314581767,111062.077953984,-111062.077953984,-67601.115928512,positive_latency_safe_opportunity,waferagent_adaptive,4.0,24,train,78,7261,215,86,2,True
sha256:2fe736b22877bdb3c0f2e144d1d2d678cb8c35f292a2b1612fcb3a12b1f4b760,shared_kv_object,waferagent_latency_safe,0.621569719801421,468030.148521728,-468030.148521728,-284878.486056704,positive_latency_safe_opportunity,waferagent_adaptive,16.0,25,train,114,6571,724,132,8,True
