config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,oracle_best_policy,oracle_best_jct_p99_ms,apc_like_jct_p99_ms,waferagent_adaptive_jct_p99_ms,adaptive_regret_ms,adaptive_slowdown_vs_apc,oracle_speedup_vs_apc,adaptive_speedup_vs_apc,oracle_beneficial,adaptive_beneficial,adaptive_non_worse_than_apc_within_5pct,adaptive_within_5pct_of_oracle
0,train,67,1284,2812,784,4,32.0,False,1.0,1.0,waferagent_latency_safe,33.55568518897561,7946.878651882948,33.55568518897561,0.0,-0.9957775012481126,0.9957775012481126,0.9957775012481126,True,True,True,True
1,train,38,31736,920,40,2,16.0,False,1.0,1.0,waferagent_latency_safe,66.9916626085123,3513.309197506023,66.9916626085123,0.0,-0.980932033350191,0.980932033350191,0.980932033350191,True,True,True,True
2,train,76,302,108,442,2,4.0,False,1.0,1.0,waferagent_latency_safe,22.72349982904633,371.78659390424644,22.72349982904633,0.0,-0.9388802603385459,0.9388802603385459,0.9388802603385459,True,True,True,True
3,train,22,32100,1857,799,16,32.0,True,1.0,1.0,waferagent_latency_safe,1485505.3991342743,2089250.0757674319,1485505.3991342743,0.0,-0.2889767403317612,0.2889767403317612,0.2889767403317612,True,True,True,True
4,train,36,20885,186,989,16,16.0,True,1.0,1.0,apc_like,1681700.8992867952,1681700.8992867952,1898867.1182605335,217166.21897373837,0.1291348652223698,0.0,-0.1291348652223698,False,False,False,False
5,train,94,35341,911,384,8,16.0,True,1.0,1.0,waferagent_latency_safe,3254.312206765434,536333.1338452285,3254.312206765434,0.0,-0.9939322931935349,0.9939322931935349,0.9939322931935349,True,True,True,True
6,train,115,5533,1439,31,16,16.0,False,1.0,1.0,apc_like,7034.994385470855,7034.994385470855,7034.994385470855,0.0,0.0,0.0,0.0,False,False,True,True
7,train,76,787,563,55,16,4.0,True,1.0,1.0,waferagent_latency_safe,29.574888271181997,3608.5980671203893,3608.5980671203893,3579.0231788492074,0.0,0.9918043274088483,0.0,True,False,True,False
8,train,102,35466,706,231,32,2.0,False,1.0,1.0,apc_like,671245.5280754634,671245.5280754634,671245.5280754634,0.0,0.0,0.0,0.0,False,False,True,True
9,train,94,530,383,339,16,8.0,False,1.0,1.0,waferagent_latency_safe,21.738469268517935,7105.898556884521,21.738469268517935,0.0,-0.9969407853075165,0.9969407853075165,0.9969407853075165,True,True,True,True
