config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,shared_decode_cohort_reuse_rate,placement_mesh_reduction_ratio,scheduler_parallelism_gain,waferagent_vs_apc_jct_p99_delta_pct,regime_label
0,train,67,1284,2812,784,4,32.0,False,1.0,1.0,0.4143750000029558,-0.0,0.995777467815662,-0.9957775012481126,waferagent_latency_beneficial
1,train,38,31736,920,40,2,16.0,False,1.0,1.0,0.40375000000000005,1.0,0.9809326252021257,-0.980932033350191,waferagent_latency_beneficial
2,train,76,302,108,442,2,4.0,False,1.0,1.0,0.0,-0.0,0.9388802603385459,-0.9388802603385459,waferagent_latency_beneficial
3,train,22,32100,1857,799,16,32.0,True,1.0,1.0,0.3475000000001216,0.9632009122933393,-0.35464588728789403,-0.2889767403317612,waferagent_latency_beneficial
4,train,36,20885,186,989,16,16.0,True,1.0,1.0,0.32499999999999996,0.9566029212591075,-0.4189706469697916,0.1291348652223698,traffic_reduction_only
5,train,94,35341,911,384,8,16.0,True,1.0,1.0,0.3730555555556049,0.999728746524838,-0.33270926777206655,-0.9939322931935349,waferagent_latency_beneficial
6,train,115,5533,1439,31,16,16.0,False,1.0,1.0,0.0,0.9424674590413443,-1.65815748523195,0.0,low_reuse_apc_better
7,train,76,787,563,55,16,4.0,True,1.0,1.0,0.0,0.9997031384358773,-0.39941410086467116,0.0,low_reuse_apc_better
8,train,102,35466,706,231,32,2.0,False,1.0,1.0,0.0,0.9144900257003542,-3.0466861993524788,0.0,low_reuse_apc_better
9,train,94,530,383,339,16,8.0,False,1.0,1.0,0.0,1.0,-1.5262839448200263,-0.9969407853075165,waferagent_latency_beneficial
10,train,109,45193,77,32,16,32.0,True,1.0,1.0,0.34750000000172543,0.9624072360693273,-0.3507359760540936,-0.25780027691748586,waferagent_latency_beneficial
11,train,41,14923,1368,54,8,2.0,True,1.0,1.0,0.3730555555580487,0.9982797378217946,-0.2510530591427094,-0.9944980019649884,waferagent_latency_beneficial
12,train,36,37942,1196,51,16,2.0,False,1.0,1.0,0.0,0.957737136013846,-1.6850970717372824,0.0,low_reuse_apc_better
13,train,10,1878,1320,84,8,2.0,False,1.0,1.0,0.4143750000141463,-0.0,0.03310417741986445,-0.9902003558549918,waferagent_latency_beneficial
14,train,29,37770,128,128,32,16.0,False,1.0,1.0,0.0,0.9222175522074585,-3.0411390430735756,0.0,low_reuse_apc_better
15,train,113,24883,936,206,4,4.0,False,1.0,1.0,0.41437500000029026,1.0,0.9984065593544327,-0.9984065361953034,waferagent_latency_beneficial
16,train,105,1362,196,290,2,8.0,True,1.0,1.0,0.26916666667278333,1.0,0.985543121798683,-0.9855433357419334,waferagent_latency_beneficial
17,train,10,264,258,178,32,16.0,True,1.0,1.0,0.0,0.9889996872657367,-0.9019174799058519,-0.9931641781511112,waferagent_latency_beneficial
18,train,58,10485,220,19,32,32.0,False,1.0,1.0,0.281562500012686,0.9195615071201995,-2.9879021008811986,2.6426804163429325,traffic_reduction_only
19,train,38,1072,1101,985,8,8.0,False,1.0,1.0,0.4196875,-0.0,-1.7411527435474317,-0.9983253116469066,waferagent_latency_beneficial
20,train,92,18604,751,128,8,8.0,False,1.0,1.0,0.4196875000009491,0.999020411138581,-1.79134381523509,-0.9892388639169346,waferagent_latency_beneficial
21,train,82,2322,92,633,32,1.0,True,1.0,1.0,0.41083333333534044,0.9909882367337468,-0.9673574585801382,-0.9996432999068772,waferagent_latency_beneficial
22,train,49,3096,3954,106,2,4.0,True,1.0,1.0,0.2691666666725562,1.0,0.9766422670632621,-0.976642870423586,waferagent_latency_beneficial
23,train,36,583,80,96,4,2.0,True,1.0,1.0,0.0,1.0,0.9645147315833766,-0.9645147315833766,waferagent_latency_beneficial
24,train,78,7261,215,86,2,4.0,True,1.0,1.0,0.26916666666976186,1.0,0.9873089963467456,-0.9873087916408314,waferagent_latency_beneficial
25,train,114,6571,724,132,8,16.0,True,1.0,1.0,0.37305555555787184,0.9994265780398842,-0.3299324911809144,-0.9961800599111141,waferagent_latency_beneficial
26,train,34,54758,79,36,32,32.0,False,1.0,1.0,0.2111718750003846,0.9218161357053505,-3.0281932344535347,2.5689750030449185,traffic_reduction_only
27,train,2,36517,2845,437,2,8.0,True,1.0,1.0,0.1416666666666826,1.0,0.998855444373345,-0.998855444373345,waferagent_latency_beneficial
28,train,19,1734,1796,45,4,32.0,False,0.95,1.0,0.40375000000000005,-0.0,0.9627404386809271,-0.9627404386809271,waferagent_latency_beneficial
29,train,113,755,328,21,32,1.0,False,1.0,1.0,0.0,1.0,0.44446309747037877,0.0,low_reuse_apc_better
30,train,36,47664,1510,97,16,4.0,False,1.0,1.0,0.0,0.9490215357552927,-1.766430995452534,0.0,low_reuse_apc_better
31,train,77,1087,302,1470,4,32.0,False,1.0,1.0,0.41437500000232763,-0.0,0.997424630817153,-0.9974246442685629,waferagent_latency_beneficial
32,train,28,4682,198,25,8,32.0,True,1.0,1.0,0.3730555555555556,0.9976073268762803,-0.296060738212109,-0.9831191116931396,waferagent_latency_beneficial
33,train,42,8063,2047,516,8,1.0,False,1.0,1.0,0.41968750000036215,0.9997940616204608,-1.6546860436998798,-0.9989517545135486,waferagent_latency_beneficial
34,train,25,1416,4031,157,8,2.0,False,1.0,1.0,0.41968750001016686,-0.0,-0.3423488047659993,-0.99219266062069,waferagent_latency_beneficial
35,train,116,1358,571,212,8,4.0,False,1.0,1.0,0.41968750001046773,-0.0,-1.1929443832231217,-0.9955691570795062,waferagent_latency_beneficial
36,train,64,50777,3360,99,4,8.0,True,1.0,1.0,0.3315000000002367,1.0,0.9983681537361689,-0.9983681316435505,waferagent_latency_beneficial
37,train,67,605,709,1671,16,2.0,True,1.0,1.0,0.0,0.9904003978701472,-0.35189163845001176,-0.9986787101590296,waferagent_latency_beneficial
38,train,122,25730,72,1296,16,16.0,False,1.0,1.0,0.33734375000000005,0.9483238775850733,-1.7737973658388573,1.25388790677304,traffic_reduction_only
39,train,33,453,741,71,16,16.0,False,1.0,1.0,0.0,1.0,-1.0717237168720102,-0.9871045482343809,waferagent_latency_beneficial
40,train,55,12794,2830,458,2,16.0,False,1.0,1.0,0.4037500000003711,1.0,0.9966477390986491,-0.9966477059532163,waferagent_latency_beneficial
41,train,37,1337,841,375,32,8.0,True,1.0,1.0,0.4108333333333334,0.9907428967448064,-0.9996476480224088,-0.9991118011327959,waferagent_latency_beneficial
42,train,58,3800,802,52,32,16.0,False,1.0,1.0,0.0,1.0,-2.8987263814894764,0.0,low_reuse_apc_better
43,train,116,36008,2783,380,32,1.0,True,1.0,1.0,0.0,0.9158941212332318,-1.101760189498322,0.0,low_reuse_apc_better
44,train,61,40694,1392,26,4,8.0,True,1.0,1.0,0.33150000000056246,1.0,0.9948791921897672,-0.9948790926572599,waferagent_latency_beneficial
45,train,35,11197,1283,407,32,1.0,True,1.0,1.0,0.0,0.9178776487867991,-1.0900667940692164,0.0,low_reuse_apc_better
