baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,shared_attention_accounting_mode,shared_attention_prediction_stat,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,adaptive_policy_mix_apc,adaptive_policy_mix_pat,adaptive_policy_mix_waferagent,adaptive_wrong_choice_count,adaptive_non_worse_fraction,adaptive_effective_run_policy,config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate
apc_like,32.0,20,2.3875171772625254,46604.335300164494,7946.878651882948,7946.878651882948,7946.878651882948,7.109705133726575,7.109705133726578,10.452518043384073,0.029506299909605637,0.02950629990960564,0.029506299909605644,15833.331027839993,0.0,0.9620253164556962,76.0,0.9875,0.0,0.0,15833329827840.0,1.5,226244.0,101436.0,0.113625268224,3.166665965568,0.000673185792,0.0,0.1640482209792,10555553218560.0,10555553218560.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,211111.0643712,0.0,cohort_stage,latency_p50_ms,10555553218560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0265286400002,13295419392.0,168296448.0,0.0,6.269547156989574,17.714614048600197,0.011761672794818878,0.11852942407131195,11.387593112885952,67.62401200830936,3.381200600415468,0.0004254753027610809,0.0,0.0,0.0,0.0,0.0,,0,train,67,1284,2812,784,4,False,1.0,1.0
apc_like_global_orchestrator,32.0,20,43.45581803161895,848257.5679772019,30.21313796294757,30.2131379629476,33.555950872605074,7.109705133726571,7.109705133726578,7.109705133726578,0.029506299909605346,0.02950629990960538,0.02950629990960538,0.0,0.0,0.9620253164556962,76.0,0.9875,0.0,0.0,0.0,1.0,226244.0,101436.0,0.113625268224,0.0,0.000673185792,0.0,0.0057149227008,10555553218560.0,10555553218560.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,211111.0643712,0.0,cohort_stage,latency_p50_ms,10555553218560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0265286400002,13295419392.0,168296448.0,0.0,6.0378918424248695,17.9809108376503,0.010717660188674927,0.1024072989821434,11.067565530538559,62.213472090661526,3.1106736045330763,0.1022592480416948,0.0,0.0,0.0,0.0,0.0,,0,train,67,1284,2812,784,4,False,1.0,1.0
pat_like_global_orchestrator,32.0,20,43.45594880127754,848260.1206009376,30.211752994691686,30.21175299469172,33.717687728636456,7.10967615976041,7.109676159760426,7.109676159760426,0.02948412779969676,0.029484127799696787,0.02948999157536562,0.0,0.0,0.9620253164556962,76.0,0.9875,0.0,0.0,0.0,1.0,226244.0,101436.0,0.113625268224,0.0,0.000673185792,0.0,0.0057149227008,10555553218560.0,10555553218560.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,2.5336960703134532,0.0,cohort_stage,latency_p50_ms,10555553218560.0,20.0,3.95,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,0.0,0.0,0.0,0.0,0.0,537.0265286400002,13295419392.0,168296448.0,0.0,51.92932020872831,18.246707506477833,0.019812025129795074,0.6929859519004822,11.640510521829128,112.04133927822113,5.6020669639110565,0.18410792366913953,0.0,0.0,0.0,0.0,0.0,,0,train,67,1284,2812,784,4,False,1.0,1.0
pat_like_traffic_only,32.0,20,6.525427082053569,127376.33664168566,30.211752994691686,30.21175299469172,2488.3363599269123,7.10967615976041,7.109676159760426,7.109676159760426,0.02948412779969676,0.029484127799696787,0.029489991575365665,151.736087516,0.0,0.9620253164556962,76.0,0.9875,0.0,0.0,151736077516.0,1.0,226244.0,101436.0,0.113625268224,0.0303472155032,0.000673185792,0.0,0.00723228347596,3166665965552.0,10555553218560.0,0.7000000000015159,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,2.5336960703134532,0.0,cohort_stage,latency_p50_ms,3166665965552.0,20.0,3.95,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,0.0,0.0,0.0,0.0,0.0,537.0265286400002,13295419392.0,168296448.0,0.0,6.1410460621118546,17.258157953619957,0.011665746569633484,0.7082410156726837,11.487473733723164,64.21376299113035,3.2106881495565176,0.017646200979018308,0.0,0.0,0.0,0.0,0.0,,0,train,67,1284,2812,784,4,False,1.0,1.0
waferagent_adaptive,32.0,20,43.45595006336838,848260.1452369506,30.211739628055646,30.211739628055682,33.55568518897561,7.10967615976041,7.109676159760426,7.109676159760426,0.02949092113131172,0.029490921131311743,0.02949714953652065,0.0,0.0,0.9620253164556962,76.0,0.9879518072289156,0.0,0.0,0.0,1.0,226244.0,101436.0,0.113625268224,0.0,0.30975297847140004,0.0,0.02116891233477,6181595853588.0,10555553218560.0,0.4143750000029558,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,4.938336119055748,0.0,cohort_stage,latency_p50_ms,6181595853588.0,39.0,2.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,537.0265286400002,6195059569428.0,0.0,0.0,6.128058768808842,18.153484910726547,0.00866968184709549,1.3264315202832222,12.754175812005997,68.08512564748526,3.404256282374263,0.11191527455040516,0.0,0.0,1.0,0.0,1.0,per_prefix_mixed,0,train,67,1284,2812,784,4,False,1.0,1.0
waferagent_latency_safe,32.0,20,43.45595006336838,848260.1452369506,30.211739628055646,30.211739628055682,33.55568518897561,7.10967615976041,7.109676159760426,7.109676159760426,0.02949092113131172,0.029490921131311743,0.02949714953652065,0.0,0.0,0.9620253164556962,76.0,0.9879518072289156,0.0,0.0,0.0,1.0,226244.0,101436.0,0.113625268224,0.0,0.30975297847140004,0.0,0.02116891233477,6181595853588.0,10555553218560.0,0.4143750000029558,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,4.938336119055748,0.0,cohort_stage,latency_p50_ms,6181595853588.0,39.0,2.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,537.0265286400002,6195059569428.0,0.0,0.0,6.181484088301659,18.061747774481773,0.007693655788898468,1.3224147260189056,12.159043923020363,67.11379997432232,3.355689998716116,0.11031865299237617,0.0,0.0,0.0,0.0,0.0,,0,train,67,1284,2812,784,4,False,1.0,1.0
waferagent_no_affinity_placement,32.0,20,43.45595006336838,848260.1452369506,30.211739628055646,30.211739628055682,33.55568518897561,7.10967615976041,7.109676159760426,7.109676159760426,0.02949092113131172,0.029490921131311743,0.02949714953652065,0.0,0.0,0.9620253164556962,76.0,0.9879518072289156,0.0,0.0,0.0,1.0,226244.0,101436.0,0.113625268224,0.0,0.30975297847140004,0.0,0.02116891233477,6181595853588.0,10555553218560.0,0.4143750000029558,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,4.938336119055748,0.0,cohort_stage,latency_p50_ms,6181595853588.0,39.0,2.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,537.0265286400002,6195059569428.0,0.0,0.0,6.221424788236618,17.46770180761814,0.008827075362205505,1.3847080990672112,12.274722568690777,66.64907746016979,3.3324538730084896,0.10955476297577524,0.0,0.0,0.0,0.0,0.0,,0,train,67,1284,2812,784,4,False,1.0,1.0
waferagent_no_decode_cohort,32.0,20,43.45581803161895,848257.5679772019,30.21313796294757,30.2131379629476,33.555950872605074,7.109705133726571,7.109705133726578,7.109705133726578,0.029506299909605346,0.02950629990960538,0.02950629990960538,0.0,0.0,0.9620253164556962,76.0,0.9937888198757764,0.0,0.0,0.0,1.0,226244.0,101436.0,0.113625268224,0.0,0.52845084672,0.0,0.032103805747199995,10555553218560.0,10555553218560.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,211111.0643712,0.0,cohort_stage,latency_p50_ms,10555553218560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0265286400002,10569016934400.0,0.0,0.0,6.151203997433186,17.699596472084522,0.009452924132347107,0.09931530803442001,10.926850140094757,62.483880668878555,3.1241940334439278,0.10270371411862747,0.0,0.0,0.0,0.0,0.0,,0,train,67,1284,2812,784,4,False,1.0,1.0
waferagent_no_kv_sharing,32.0,20,43.069614738338785,840718.8796923731,34.34006748104326,34.34006748104326,34.34006748104326,11.236634651822257,11.236634651822271,11.236634651822271,0.029506299909605346,0.029506299909605366,0.02950629990960538,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,1.0,327680.0,0.0,0.1535115264,0.0,0.002147483648,0.0,0.007782950502399999,10555553218560.0,10555553218560.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,211111.0643712,0.0,cohort_stage,latency_p50_ms,10555553218560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42949672960.0,0.0,6.378458812832832,17.763810232281685,0.012506730854511261,0.1069260761141777,11.137152090668678,62.8957012668252,3.14478506334126,0.09157771938209722,0.0,0.0,0.0,0.0,0.0,,0,train,67,1284,2812,784,4,False,1.0,1.0
waferagent_no_shared_kv_placement,32.0,20,43.45595006336838,848260.1452369506,30.211739628055646,30.211739628055682,33.55568518897561,7.10967615976041,7.109676159760426,7.109676159760426,0.02949092113131172,0.029490921131311743,0.02949714953652065,0.0,0.0,0.9620253164556962,76.0,0.9875,0.0,0.0,0.0,1.0,226244.0,101436.0,0.113625268224,0.0,0.2965585369482,0.0,0.020509190258609998,6181595853588.0,10555553218560.0,0.4143750000029558,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,4.938336119055748,0.0,cohort_stage,latency_p50_ms,6181595853588.0,39.0,2.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,537.0265286400002,5931002442516.0,168296448.0,0.0,6.216883659362793,18.17203313112259,0.00909809023141861,1.3219080865383148,12.189757078886032,67.26938299834728,3.363469149917364,0.11057439338623677,0.0,0.0,0.0,0.0,0.0,,0,train,67,1284,2812,784,4,False,1.0,1.0
apc_like,16.0,20,4.5731448781482165,299047.08987186814,3513.3091975060224,3513.309197506023,3513.309197506023,22.805029665960454,22.80502966596049,59.89723044960404,0.1818552000015977,0.1818552000015984,0.1818552000015984,3483.4118150400004,0.0,0.9743589743589743,38.0,0.0,0.0,162228338688.0,3483411415040.0,1.0,68536.0,1237704.0,0.027578597376,0.696682283008,0.008319401984,0.24571323351040003,0.048914675793920004,6655521587200.0,6655521587200.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,133110.431744,0.0,cohort_stage,latency_p50_ms,6655521587200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15794.687301120006,0.0,166388039680.0,307141541888.0,3.618001937866211,9.551175870001316,0.007062219083309174,0.05362648516893387,5.777159705758095,45.05680035799742,2.252840017899871,0.0006412302166570151,0.0,0.0,0.0,0.0,0.0,,1,train,38,31736,920,40,2,False,1.0,1.0
apc_like_global_orchestrator,16.0,20,22.473267541930156,1469571.9111018968,29.89738246602279,29.897382466022805,66.98958324966634,22.80502966596045,22.80502966596049,22.80502966596049,0.1818552000015975,0.1818552000015984,0.1818552000015984,0.0,0.0,0.9743589743589743,38.0,0.0,0.0,162228338688.0,0.0,1.0,68536.0,1237704.0,0.027578597376,0.0,0.008319401984,0.24571323351040003,0.014080561643520001,6655521587200.0,6655521587200.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,133110.431744,0.0,cohort_stage,latency_p50_ms,6655521587200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15794.687301120006,0.0,166388039680.0,307141541888.0,3.6580953747034073,10.294067673385143,0.007319264113903046,0.0510290265083313,5.515671335160732,45.79856339842081,2.2899281699210405,0.0711444504804571,0.0,0.0,0.0,0.0,0.0,,1,train,38,31736,920,40,2,False,1.0,1.0
pat_like_global_orchestrator,16.0,20,22.472991183351024,1469553.8394616903,29.90832645994884,29.908326459948853,67.15366260851229,22.79957446595887,22.799574465958926,22.965993177960165,0.17926439992487495,0.1792643999248753,0.18136294798702013,0.0,0.0,0.9743589743589743,38.0,0.0,0.0,162228338688.0,0.0,1.0,68536.0,1237704.0,0.027578597376,0.0,0.008319401984,0.24571323351040003,0.014080561643520001,6655521587200.0,6655521587200.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,4.39644792675972,0.0,cohort_stage,latency_p50_ms,6655521587200.0,19.0,2.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15794.687301120006,0.0,166388039680.0,307141541888.0,3.628144972026348,10.229581966996193,0.00757165253162384,0.4745079204440117,6.26591220498085,48.44979476183653,2.4224897380918264,0.07521526534942484,0.0,0.0,0.0,0.0,0.0,,1,train,38,31736,920,40,2,False,1.0,1.0
