baseline,traffic_source,mesh_bytes,mesh_wait_ms,transfer_ms
continuum_like,kv_reload,20290365030400,0.0,405813.260608
continuum_like,message_tokens,5441126400,0.0,148.852528
kvflow_like,kv_replication,42225945804800,0.0,844532.786096
kvflow_like,message_tokens,13563340800,0.0,359.776816
oracle,kv_replication,280389222400,0.0,5607.954448
oracle,message_tokens,194086400,45.29476800798875,7.121728
wafer_naive,kv_reload,64651840716800,0.0,1293057.3843359998
wafer_naive,message_tokens,13563340800,0.0,359.776816
waferagent_full,kv_replication,280389222400,0.0,5607.954448
waferagent_full,message_tokens,194086400,45.29476799762051,7.121728
