workload,num_agents,shared_prefix_tokens,output_tokens,cohort_size,shared_kv_read_without_cohort,shared_kv_read_with_cohort,shared_kv_read_reduction_ratio,decode_attention_latency_ms
decode_heavy_shared_prefix,2,512,32,1,1879048192,2160905420.7999997,0.0,43.21810841599999
decode_heavy_shared_prefix,2,512,32,2,1879048192,1080452710.3999999,0.42500000000000004,21.609054207999996
decode_heavy_shared_prefix,2,512,32,4,1879048192,1080452710.3999999,0.42500000000000004,21.609054207999996
decode_heavy_shared_prefix,2,512,32,8,1879048192,1080452710.3999999,0.42500000000000004,21.609054207999996
decode_heavy_shared_prefix,2,512,32,16,1879048192,1080452710.3999999,0.42500000000000004,21.609054207999996
decode_heavy_shared_prefix,2,512,128,1,7516192768,8643621683.199999,0.0,172.87243366399997
decode_heavy_shared_prefix,2,512,128,2,7516192768,4321810841.599999,0.42500000000000004,86.43621683199999
decode_heavy_shared_prefix,2,512,128,4,7516192768,4321810841.599999,0.42500000000000004,86.43621683199999
decode_heavy_shared_prefix,2,512,128,8,7516192768,4321810841.599999,0.42500000000000004,86.43621683199999
decode_heavy_shared_prefix,2,512,128,16,7516192768,4321810841.599999,0.42500000000000004,86.43621683199999
decode_heavy_shared_prefix,2,512,512,1,30064771072,34574486732.799995,0.0,691.4897346559999
decode_heavy_shared_prefix,2,512,512,2,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,2,512,512,4,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,2,512,512,8,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,2,512,512,16,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,2,2048,32,1,7516192768,8643621683.199999,0.0,172.87243366399997
decode_heavy_shared_prefix,2,2048,32,2,7516192768,4321810841.599999,0.42500000000000004,86.43621683199999
decode_heavy_shared_prefix,2,2048,32,4,7516192768,4321810841.599999,0.42500000000000004,86.43621683199999
decode_heavy_shared_prefix,2,2048,32,8,7516192768,4321810841.599999,0.42500000000000004,86.43621683199999
decode_heavy_shared_prefix,2,2048,32,16,7516192768,4321810841.599999,0.42500000000000004,86.43621683199999
decode_heavy_shared_prefix,2,2048,128,1,30064771072,34574486732.799995,0.0,691.4897346559999
decode_heavy_shared_prefix,2,2048,128,2,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,2,2048,128,4,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,2,2048,128,8,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,2,2048,128,16,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,2,2048,512,1,120259084288,138297946931.19998,0.0,2765.9589386239995
decode_heavy_shared_prefix,2,2048,512,2,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,2,2048,512,4,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,2,2048,512,8,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,2,2048,512,16,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,2,8192,32,1,30064771072,34574486732.799995,0.0,691.4897346559999
decode_heavy_shared_prefix,2,8192,32,2,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,2,8192,32,4,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,2,8192,32,8,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,2,8192,32,16,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,2,8192,128,1,120259084288,138297946931.19998,0.0,2765.9589386239995
decode_heavy_shared_prefix,2,8192,128,2,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,2,8192,128,4,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,2,8192,128,8,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,2,8192,128,16,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
