baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct
apc_like,2.0,100,1.089092163507227,47710.9494989246,19675.142495169704,33471.090421399575,33477.399557694494,11.611005995535379,17.387031391037453,23.69616768585547,4.231528814337381,6.572776216218408,6.572776216218408,24631.27623235522,0.0,0.9107142857142857,765.0,0.7505882352941177,114.0,83877691392.0,123156328193024.0,4.069066450511618,2163200.0,2112000.0,0.8921284608,24.631265638604802,0.01400897536,0.06844433039360001,0.256058474051584,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,192946372608.0,87233134592.0,85555412992.0,131.37212116271257,236.0550183802843,0.02570357173681259,0.9148474782705307,54.74067572504282,558.3763271570206,5.583763271570206,0.0002832097983789374
kvflow_like,2.0,100,1.089092163507227,47710.9494989246,19675.142495169704,33471.090421399575,33477.399557694494,11.611005995535379,17.387031391037453,23.69616768585547,4.231528814337381,6.572776216218408,6.572776216218408,24631.447363548818,0.0,0.9107142857142857,765.0,0.7494117647058823,115.0,84020297728.0,123157183831040.0,4.0690567072994765,2163200.0,2112000.0,0.8921284608,24.631436766208,0.01400897536,0.0685584154624,0.256061326178304,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,192803766272.0,87375740928.0,85698019328.0,77.76542846113443,236.90974060446024,0.025966204702854156,0.9897351264953613,54.54618390649557,507.143079303205,5.07143079303205,0.0002572241734709943
no_cache,2.0,100,1.0869808489150814,47618.457029271885,19792.71074392165,33570.31709021525,33570.31709021525,18.723035439044907,27.65362898195599,27.65362898195599,4.231528814337381,6.572776216218408,6.572776216218408,24699.42871808,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,77.64170691370964,235.56168377399445,0.041814520955085754,0.9424500167369843,57.22194444388151,508.84299632161856,5.088429963216186,0.00025708605703636826
oracle,2.0,100,1.6492033317912178,72248.29955910967,1132.6317912480808,2582.6326636340136,3627.1466609281383,4.591228456621167,10.755622284908895,14.58588279196556,1.4568398072431412,3.0751527042762277,3.8320171771553575,34.232525286205515,13.488224703615561,0.9107142857142857,765.0,0.9103663289166017,85.0,51573161984.0,120259276288.0,2.6071416749352725,2163200.0,2112000.0,0.8921284608,0.0240518552576,0.9950009805988,0.0420369924096,0.01953218289066,22061099515822.0,35540854374400.0,0.37927492447360633,22061099515822.0,153.0,3.7908496732026142,0.0,0.0,0.0,0.0,13193.271705599906,19856331741512.0,43687870464.0,52546240512.0,79.77820560336113,244.22791507095098,0.038146041333675385,9.679151698946953,53.65537293255329,515.482441522181,5.15482441522181,0.0038866114716626697
pat_like,2.0,100,1.1355662687686718,49746.887102217974,17805.450078505422,30622.72660167277,30990.310615223294,9.110274582952115,17.587031391034543,23.89616768585256,2.799580710757671,5.065336287935956,5.070021574199501,15235.406192756232,0.0,0.9107142857142857,765.0,0.7564705882352941,120.0,80295755776.0,76176992764357.0,3.811588643455304,2163200.0,2112000.0,0.8921284608,15.2353985528714,0.01400897536,0.0652029722624,0.162067389612938,22506058127690.0,35540854374400.0,0.3667552870113031,22506058127690.0,149.0,3.785234899328859,0.0,0.0,0.0,0.0,13193.271705599902,196528308224.0,83651198976.0,81503715328.0,77.79489737004042,231.98150284588337,0.02277083694934845,10.505283251404762,63.80978971719742,510.512531735003,5.10512531735003,0.000304445709774099
wafer_naive,2.0,100,1.0869808489150814,47618.457029271885,19792.71074392165,33570.31709021525,33570.31709021525,18.723035439044907,27.65362898195599,27.65362898195599,4.231528814337381,6.572776216218408,6.572776216218408,24699.42871808,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,78.47452908754349,306.47066980600357,0.023892149329185486,0.908922404050827,58.47664084285498,582.1240525692701,5.821240525692701,0.00029411032177491914
waferagent_full,2.0,100,1.611340835386215,70589.61931659932,2168.5901107815353,4273.053354388162,5086.942829415587,9.047804099430408,17.587031391034543,23.89616768585256,2.69772666154972,5.065336287935949,5.065336287935949,74.52833218749535,9.087101651159319,0.9107142857142857,765.0,0.8836307214895268,110.0,70699188224.0,331249544704.0,3.0470007820294884,2163200.0,2112000.0,0.8921284608,0.0662499089408,0.9464034256447,0.057606248857600004,0.019623880442430998,22164608227658.0,35540854374400.0,0.3763625377665901,22164608227658.0,149.0,3.825503355704698,0.0,0.0,0.0,0.0,13193.271705599906,18872905026686.0,55163486208.0,72007811072.0,79.37743328511715,238.05806692689657,0.025453977286815643,9.817218407988548,52.58320551365614,510.8204269781709,5.108204269781709,0.002299375413056044
apc_like,4.0,100,1.5973975371053424,69978.79130551084,19675.14249516971,33471.09042139955,33477.39955769437,11.611005995533915,17.38703139104109,23.696167685851833,4.231528814337384,6.5727762162184185,6.5727762162184185,24618.755189376,0.0,0.9107142857142857,765.0,0.7835294117647059,94.0,72913780736.0,123093724011520.0,4.069850388718724,2163200.0,2112000.0,0.8921284608,24.618744802304,0.01400897536,0.0596732018688,0.255845554403328,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599918,203910283264.0,76269223936.0,74591502336.0,77.41703279316425,232.39596467465162,0.0308845192193985,0.9027989581227303,53.99999488145113,498.3356362208724,4.983356362208724,0.0002529177671338454
kvflow_like,4.0,100,1.5973975371053424,69978.79130551084,19675.14249516971,33471.09042139955,33477.39955769437,11.611005995533915,17.38703139104109,23.696167685851833,4.231528814337384,6.5727762162184185,6.5727762162184185,24618.897797302398,0.0,0.9107142857142857,765.0,0.7823529411764706,95.0,73056387072.0,123094437043200.0,4.069845350059797,2163200.0,2112000.0,0.8921284608,24.61888740864,0.01400897536,0.05978728693760001,0.25584812131737594,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599918,203767676928.0,76411830272.0,74734108672.0,77.72475481033325,315.9060515463352,0.02212170511484146,0.9622965008020401,55.343261919915676,583.7303707376122,5.8373037073761225,0.00029625772520457176
no_cache,4.0,100,1.592759213606425,69775.59562967026,19792.710743921652,33570.31709021519,33570.31709021519,18.723035439044907,27.65362898195599,27.65362898195599,4.231528814337384,6.5727762162184185,6.5727762162184185,24699.42871808,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,77.08252407610416,291.4960840716958,0.023188069462776184,0.9063351899385452,57.24366661161184,566.7607095092535,5.667607095092535,0.000286348200022731
