cross_job_task_group_size,unique_task_ratio,cross_job_prefix_hit_rate_observed,num_trace_records,num_unique_prefixes
1,0.0,0.9153846153846154,130,11
1,0.25,0.9153846153846154,130,11
1,0.5,0.9153846153846154,130,11
1,0.75,0.9153846153846154,130,11
1,1.0,0.9153846153846154,130,11
2,0.0,0.9461538461538461,130,7
2,0.25,0.9384615384615385,130,8
2,0.5,0.9230769230769231,130,10
2,0.75,0.9153846153846154,130,11
2,1.0,0.9153846153846154,130,11
5,0.0,0.9769230769230769,130,3
5,0.25,0.9692307692307692,130,4
5,0.5,0.9538461538461539,130,6
5,0.75,0.9384615384615385,130,8
5,1.0,0.9153846153846154,130,11
10,0.0,0.9769230769230769,130,3
10,0.25,0.9692307692307692,130,4
10,0.5,0.9538461538461539,130,6
10,0.75,0.9384615384615385,130,8
10,1.0,0.9153846153846154,130,11
50,0.0,0.9769230769230769,130,3
50,0.25,0.9692307692307692,130,4
50,0.5,0.9538461538461539,130,6
50,0.75,0.9384615384615385,130,8
50,1.0,0.9153846153846154,130,11
