shared_prefix_tokens,num_queries,rep,mode,latency_ms,dram_bytes_estimated,shared_kv_read_bytes,oom
512,1,0,naive_per_agent_shared_kv_read,201.47336274385447,8388608,8388608,False
512,1,0,cohort_shared_kv_read,0.28249341994524,8388608,8388608,False
512,1,1,naive_per_agent_shared_kv_read,0.1240205019712448,8388608,8388608,False
512,1,1,cohort_shared_kv_read,0.0742748379707336,8388608,8388608,False
512,1,2,naive_per_agent_shared_kv_read,0.0812839716672897,8388608,8388608,False
512,1,2,cohort_shared_kv_read,0.0623883679509162,8388608,8388608,False
512,4,0,naive_per_agent_shared_kv_read,1.0519130155444143,33554432,33554432,False
512,4,0,cohort_shared_kv_read,34.530301578342915,8388608,8388608,False
512,4,1,naive_per_agent_shared_kv_read,0.3815926611423492,33554432,33554432,False
512,4,1,cohort_shared_kv_read,0.0914717093110084,8388608,8388608,False
512,4,2,naive_per_agent_shared_kv_read,0.2169171348214149,33554432,33554432,False
512,4,2,cohort_shared_kv_read,0.0777272507548332,8388608,8388608,False
512,8,0,naive_per_agent_shared_kv_read,0.373009592294693,67108864,67108864,False
512,8,0,cohort_shared_kv_read,0.1057181507349014,8388608,8388608,False
512,8,1,naive_per_agent_shared_kv_read,0.4117526113986969,67108864,67108864,False
512,8,1,cohort_shared_kv_read,0.0707991421222686,8388608,8388608,False
512,8,2,naive_per_agent_shared_kv_read,0.3700191155076027,67108864,67108864,False
512,8,2,cohort_shared_kv_read,0.0691087916493415,8388608,8388608,False
2048,1,0,naive_per_agent_shared_kv_read,0.1258440315723419,33554432,33554432,False
2048,1,0,cohort_shared_kv_read,0.0728415325284004,33554432,33554432,False
2048,1,1,naive_per_agent_shared_kv_read,0.0723889097571373,33554432,33554432,False
2048,1,1,cohort_shared_kv_read,0.0667711719870567,33554432,33554432,False
2048,1,2,naive_per_agent_shared_kv_read,0.0664424151182174,33554432,33554432,False
2048,1,2,cohort_shared_kv_read,0.0644195824861526,33554432,33554432,False
2048,4,0,naive_per_agent_shared_kv_read,0.2183159813284874,134217728,134217728,False
2048,4,0,cohort_shared_kv_read,0.7444452494382858,33554432,33554432,False
2048,4,1,naive_per_agent_shared_kv_read,0.2624122425913811,134217728,134217728,False
2048,4,1,cohort_shared_kv_read,0.0683097168803215,33554432,33554432,False
2048,4,2,naive_per_agent_shared_kv_read,0.1993095502257347,134217728,134217728,False
2048,4,2,cohort_shared_kv_read,0.0636819750070571,33554432,33554432,False
2048,8,0,naive_per_agent_shared_kv_read,0.3953399136662483,268435456,268435456,False
2048,8,0,cohort_shared_kv_read,0.0786473974585533,33554432,33554432,False
2048,8,1,naive_per_agent_shared_kv_read,0.3687934949994087,268435456,268435456,False
2048,8,1,cohort_shared_kv_read,0.0620940700173378,33554432,33554432,False
2048,8,2,naive_per_agent_shared_kv_read,0.3722598776221275,268435456,268435456,False
2048,8,2,cohort_shared_kv_read,0.0609289854764938,33554432,33554432,False
8192,1,0,naive_per_agent_shared_kv_read,0.1299064606428146,134217728,134217728,False
8192,1,0,cohort_shared_kv_read,0.1012869179248809,134217728,134217728,False
8192,1,1,naive_per_agent_shared_kv_read,0.1001665368676185,134217728,134217728,False
8192,1,1,cohort_shared_kv_read,0.0896435230970382,134217728,134217728,False
8192,1,2,naive_per_agent_shared_kv_read,0.0926852226257324,134217728,134217728,False
8192,1,2,cohort_shared_kv_read,0.0902023166418075,134217728,134217728,False
8192,4,0,naive_per_agent_shared_kv_read,0.257682055234909,536870912,536870912,False
8192,4,0,cohort_shared_kv_read,0.1124721020460128,134217728,134217728,False
8192,4,1,naive_per_agent_shared_kv_read,0.257100909948349,536870912,536870912,False
8192,4,1,cohort_shared_kv_read,0.1002419739961624,134217728,134217728,False
8192,4,2,naive_per_agent_shared_kv_read,0.2612089738249779,536870912,536870912,False
8192,4,2,cohort_shared_kv_read,0.0996747985482215,134217728,134217728,False
8192,8,0,naive_per_agent_shared_kv_read,0.4639225080609321,1073741824,1073741824,False
8192,8,0,cohort_shared_kv_read,0.1105247065424919,134217728,134217728,False
8192,8,1,naive_per_agent_shared_kv_read,0.4664640873670578,1073741824,1073741824,False
8192,8,1,cohort_shared_kv_read,0.0987071543931961,134217728,134217728,False
8192,8,2,naive_per_agent_shared_kv_read,0.460590235888958,1073741824,1073741824,False
8192,8,2,cohort_shared_kv_read,0.0938596203923225,134217728,134217728,False
