baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct
no_affinity_placement,4.0,100,0.30801216171982254,13493.396780621986,70529.67554528045,293325.44901623984,298293.1992123471,9.110274582953934,17.58703139104182,23.89616768585256,2.3577765938389317,4.8411118738970496,5.572161610112013,160045.53343272282,311234.52705941314,0.9107142857142857,765.0,0.7460063897763578,216.0,157001187328.0,61380749899105.0,4.56382810307804,2163200.0,2112000.0,0.8921284608,12.276149979821,0.42009813319365,0.1282584608768,0.1371663503469145,22123376541614.0,35540854374400.0,0.37752265861257905,analytical,,273830.3234957313,0.0,22123376541614.0,148.0,4.121621621621622,148.0,148.0,0.0,0.0,0.0,4.121621621621622,0.11419990126291635,536870912.0,48318382080.0,536870912.0,0.0,13193.271705599924,8321633353665.0,80329310208.0,160323076096.0,79.634640365839,236.92877497524023,0.03965012729167938,16.442560590803623,68.81598476320505,518.057850189507,5.18057850189507,3.7770741852621494e-05
no_aggregator_placement,4.0,100,2.431927177563124,106537.86579468535,1787.9961757535266,10960.66266752676,13533.991262460999,9.110274582953934,17.58703139104182,23.89616768585256,2.2838886668817584,5.065336287935963,5.191024184653858,2252.14494732704,2370.0922699158427,0.9107142857142857,765.0,0.7917316692667706,202.0,134351945728.0,1787350832229.0,2.279947061407076,2163200.0,2112000.0,0.8921284608,0.35747016644580004,0.7551055822808501,0.1091995435008,0.021139037530274504,22277995364268.0,35540854374400.0,0.37317220544042995,analytical,,242219.35858483225,0.0,22277995364268.0,162.0,3.6419753086419755,162.0,162.0,0.0,0.0,0.0,3.6419753086419755,0.11469499212369044,0.0,0.0,0.0,0.0,13193.271705599906,15018024239025.0,84087406592.0,136499429376.0,150.8589768782258,243.91712248325348,0.022191554307937622,11.900785379111767,55.94627000391483,580.8433685451746,5.808433685451746,0.001331975586658427
no_distributed_sram_policy,4.0,100,2.431927177563124,106537.86579468535,1787.9961757535266,10960.66266752676,13533.991262460999,9.110274582953934,17.58703139104182,23.89616768585256,2.2838886668817584,5.065336287935963,5.191024184653858,2252.14494732704,2370.0922699158427,0.9107142857142857,765.0,0.7921875,201.0,134217728000.0,1787350832229.0,2.279947061407076,2163200.0,2112000.0,0.8921284608,0.35747016644580004,0.75333390827125,0.1090921693184,0.0211202470483545,22242561884076.0,35540854374400.0,0.37416918429239365,analytical,,242219.35990538265,0.0,22242561884076.0,162.0,3.654320987654321,162.0,162.0,0.0,0.0,0.0,3.654320987654321,0.11469499212369044,0.0,0.0,0.0,0.0,13193.271705599906,14982724976561.0,83953188864.0,136365211648.0,79.70164250582457,242.83223785459995,0.026660040020942688,11.871568858623505,55.074481293559074,509.9700130522251,5.099700130522251,0.0011702963943456364
no_future_reuse_policy,4.0,100,2.431927177563124,106537.86579468535,1787.9961757535266,10960.66266752676,13533.991262460999,9.110274582953934,17.58703139104182,23.89616768585256,2.2838886668817584,5.065336287935963,5.191024184653858,2252.14494732704,2370.0922699158427,0.9107142857142857,765.0,0.7921875,201.0,134217728000.0,1787350832229.0,2.279947061407076,2163200.0,2112000.0,0.8921284608,0.35747016644580004,0.75333390827125,0.1090921693184,0.0211202470483545,22242561884076.0,35540854374400.0,0.37416918429239365,analytical,,242219.35990538265,0.0,22242561884076.0,162.0,3.654320987654321,162.0,162.0,0.0,0.0,0.0,3.654320987654321,0.11469499212369044,0.0,0.0,0.0,0.0,13193.271705599906,14982724976561.0,83953188864.0,136365211648.0,80.76982386410236,245.1018039137125,0.022611580789089203,11.978430673480034,56.094312109053135,515.172315761447,5.1517231576144695,0.001182234814148907
no_kv_sharing,4.0,100,2.309763578761109,101186.12285836667,2330.6058869229078,13570.822739791465,15783.257913046938,18.24246735855195,27.853628981956717,27.853628981956717,2.182391061900449,4.250503894272338,4.250503894272338,3113.342333590343,3995.5744958825085,0.0,0.0,0.04784688995215311,747.0,128748355584.0,2125579506790.0,2.054960557005192,4275200.0,0.0,1.7226006528,0.425115901358,0.14655904808925,0.2787165339648,0.0257299213621205,20395511198434.0,35540854374400.0,0.42613897281195234,analytical,,213769.51403397133,0.0,20395511198434.0,155.0,3.9419354838709677,155.0,155.0,0.0,0.0,0.0,3.9419354838709677,0.024536678553519573,0.0,0.0,0.0,0.0,0.0,2370821947385.0,560359014400.0,348395667456.0,133.4317708387971,238.9266174286604,0.02309028059244156,11.421600356698036,58.29222686588764,561.9554603472352,5.619554603472352,0.0010946571851605052
no_shared_kv_decode_cohort,4.0,100,2.8350080305114145,124196.03180064405,2468.9315707986952,7432.910499417761,9569.595167941958,9.450284075534,17.38703139104109,23.696167685851833,4.2315288143373895,6.572776216218426,6.572776216218426,897.2410208814524,877.1624161118224,0.9107142857142857,765.0,0.847953216374269,197.0,128236650496.0,1269163027968.0,2.2047376411713056,2163200.0,2112000.0,0.8921284608,0.2538326055936,1.4444478332928,0.104253620224,0.026946625199104002,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,28803501916160.0,85454749696.0,130317025280.0,78.60977295786142,240.9505508840084,0.024563632905483246,0.9810039773583412,42.59901400655508,492.4844466149807,4.924844466149807,0.0014645690255142242
no_shared_kv_replication,4.0,100,2.431927177563124,106537.86579468535,1787.9961757535266,10960.66266752676,13533.991262460999,9.110274582953934,17.58703139104182,23.89616768585256,2.2838886668817584,5.065336287935963,5.191024184653858,2252.14494732704,2370.0922699158427,0.9107142857142857,765.0,0.7917316692667706,202.0,134351945728.0,1787350832229.0,2.279947061407076,2163200.0,2112000.0,0.8921284608,0.35747016644580004,0.7551055822808501,0.1091995435008,0.021139037530274504,22277995364268.0,35540854374400.0,0.37317220544042995,analytical,,242219.35858483225,0.0,22277995364268.0,162.0,3.6419753086419755,162.0,162.0,0.0,0.0,0.0,3.6419753086419755,0.11469499212369044,0.0,0.0,0.0,0.0,13193.271705599906,15018024239025.0,84087406592.0,136499429376.0,80.79668320715427,241.01392552256584,0.02200901508331299,11.753886006772518,55.14908395707607,508.1922262907028,5.081922262907028,0.0011653737916371954
waferagent_full,4.0,100,2.7485870105091066,120410.09975638294,2285.559511107279,6599.106745057339,8676.442625328167,9.103980308213067,17.38703139104109,23.696167685851833,3.363971971660555,5.880168681599596,5.880168681599596,835.21075024977,750.7812191813875,0.9107142857142857,765.0,0.7887205387205387,186.0,125392912384.0,1337882504704.0,2.3017655493696156,2163200.0,2112000.0,0.8921284608,0.2675765009408,1.0795903614905,0.1020323168256,0.023413276400568995,28329604284274.0,35540854374400.0,0.20290030211879906,analytical,,305046.10189475917,0.0,28329604284274.0,261.0,2.0,261.0,261.0,0.0,0.0,0.0,2.0,4.833103440899695e-06,0.0,0.0,0.0,0.0,13193.271705599907,21509263327090.0,82543902720.0,127540396032.0,79.51063197106123,244.46458648890257,0.042593106627464294,14.329219236969948,56.60420190542936,511.8445549160242,5.118445549160242,0.001632647417960056
no_affinity_placement,8.0,100,0.3534215664542023,15482.691983225694,53209.69212680035,264021.0332761786,270293.4394442006,7.3681909620191846,17.58703139104182,23.89616768585438,2.2907763884125507,5.0653362879359864,6.572776216218452,151300.41263574082,249613.36570977975,0.9107142857142857,765.0,0.7466135458167331,220.0,156866969600.0,56204978763123.0,4.454091239391652,2163200.0,2112000.0,0.8921284608,11.2409957526246,0.4901919994641,0.128043712512,0.12751359925400702,22518513532849.0,35540854374400.0,0.36640483383908085,analytical,,253283.19268864,0.0,22518513532849.0,145.0,4.165517241379311,145.0,145.0,0.0,0.0,0.0,4.165517241379311,0.13765148819413203,536870912.0,48318382080.0,536870912.0,0.0,13193.27170559992,9719786137122.0,84053852160.0,160054640640.0,81.9190414622426,233.94824471324682,0.03767944872379303,15.815452672541142,66.86453800648451,514.9959698319435,5.149959698319435,4.181292864028022e-05
no_aggregator_placement,8.0,100,2.8500852695867858,124856.53549005791,2285.301716081698,17346.970758525902,20950.577984004198,7.36745512202117,17.58703139104182,23.89616768585438,2.3139625278160296,5.06533628793596,5.194405739087557,3493.1060407312675,4151.071687524946,0.9107142857142857,765.0,0.7391304347826086,257.0,171127603200.0,1877867267993.0,2.0161243785192347,2163200.0,2112000.0,0.8921284608,0.3755734535986,0.6216824232307001,0.1389958791168,0.020283802167461,22788237479033.0,35540854374400.0,0.3588157099721464,analytical,,231155.5198590978,0.0,22788237479033.0,159.0,3.6540880503144653,159.0,159.0,0.0,0.0,0.0,3.6540880503144653,0.09524386275202104,0.0,0.0,0.0,0.0,13193.271705599907,12333622702822.0,100025761792.0,173744848896.0,79.2704438790679,239.43280056118965,0.019759871065616608,12.538125738501549,56.1774717643857,504.44585364311934,5.044458536431193,0.0008907295312611303
no_distributed_sram_policy,8.0,100,2.8500852695867858,124856.53549005791,2285.301716081698,17346.970758525902,20950.577984004198,7.36745512202117,17.58703139104182,23.89616768585438,2.3139625278160296,5.06533628793596,5.194405739087557,3493.1060407312675,4151.071687524946,0.9107142857142857,765.0,0.73950233281493,256.0,170993385472.0,1877867267993.0,2.0161243785192347,2163200.0,2112000.0,0.8921284608,0.3755734535986,0.6199107492211,0.1388885049344,0.020265011685541002,22752803998841.0,35540854374400.0,0.3598126888241101,analytical,,231155.5211796482,0.0,22752803998841.0,159.0,3.6666666666666665,159.0,159.0,0.0,0.0,0.0,3.6666666666666665,0.09524386275202104,0.0,0.0,0.0,0.0,13193.271705599907,12298323440358.0,99891544064.0,173610631168.0,80.04071563482285,310.4293756186962,0.020236708223819733,12.308118864893913,55.669830180704594,583.6730245500803,5.836730245500803,0.0010311994594269366
no_future_reuse_policy,8.0,100,2.8500852695867858,124856.53549005791,2285.301716081698,17346.970758525902,20950.577984004198,7.36745512202117,17.58703139104182,23.89616768585438,2.3139625278160296,5.06533628793596,5.194405739087557,3493.1060407312675,4151.071687524946,0.9107142857142857,765.0,0.73950233281493,256.0,170993385472.0,1877867267993.0,2.0161243785192347,2163200.0,2112000.0,0.8921284608,0.3755734535986,0.6199107492211,0.1388885049344,0.020265011685541002,22752803998841.0,35540854374400.0,0.3598126888241101,analytical,,231155.5211796482,0.0,22752803998841.0,159.0,3.6666666666666665,159.0,159.0,0.0,0.0,0.0,3.6666666666666665,0.09524386275202104,0.0,0.0,0.0,0.0,13193.271705599907,12298323440358.0,99891544064.0,173610631168.0,79.9246272072196,242.40779224783182,0.026850029826164246,12.459555640816689,56.16692826151848,508.7579991668463,5.087579991668463,0.0008988439616930889
no_kv_sharing,8.0,100,3.131777873103012,137196.92506489676,2318.2755248962303,14209.188325592726,18078.645157617466,18.242467358551494,27.853628981956717,27.853628981956717,2.201963673929921,4.250503894272329,4.657317793993506,3436.8567862494924,4402.57081358258,0.0,0.0,0.07028753993610223,720.0,116081557504.0,1634235248128.0,2.3363993878590854,4275200.0,0.0,1.7226006528,0.3268470496256,0.19990254190530002,0.268502564864,0.025178528091949,20385632773650.0,35540854374400.0,0.42641691843137774,analytical,,214164.65564712964,0.0,20385632773650.0,155.0,3.9548387096774196,155.0,155.0,0.0,0.0,0.0,3.9548387096774196,0.040139679220798766,0.0,0.0,0.0,0.0,0.0,3437691823706.0,560359014400.0,335628206080.0,78.23759689927101,237.98720352351665,0.01978222280740738,11.85790915042162,57.14497156441212,501.5186779201031,5.015186779201031,0.0009179470611686373
