baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct
apc_like,2.0,100,1.089092163507227,47710.9494989246,19675.142495169704,33471.090421399575,33477.399557694494,11.611005995535379,17.387031391037453,23.69616768585547,4.231528814337381,6.572776216218408,6.572776216218408,24631.27623235522,0.0,0.9107142857142857,765.0,0.7505882352941177,114.0,83877691392.0,123156328193024.0,4.069066450511618,2163200.0,2112000.0,0.8921284608,24.631265638604802,0.01400897536,0.06844433039360001,0.256058474051584,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,192946372608.0,87233134592.0,85555412992.0,78.07656843215227,298.2713570818305,0.024946406483650208,1.043681986629963,54.753560572862625,565.7650995999575,5.657650995999575,0.000286957401298435
ideal_next_use_cache,2.0,100,1.6052961112980508,70324.81204374501,2283.333439128215,4263.182061285139,5887.21052359697,9.103980308213067,17.387031391037453,23.69616768585547,3.3639719716605447,5.880168681599571,5.880168681599571,111.07856186146401,64.65157259072541,0.9107142857142857,765.0,0.8797250859106529,102.0,65263370240.0,331249544704.0,2.178281829104917,2163200.0,2112000.0,0.8921284608,0.0662499089408,1.2451184010781,0.053203907379200006,0.022567006781980998,27628665621562.0,35540854374400.0,0.22262235649959872,analytical,,342979.26889963617,0.0,27628665621562.0,273.0,2.0,273.0,273.0,0.0,0.0,0.0,2.0,4.620659335273142e-06,0.0,0.0,0.0,0.0,13193.271705599907,24849385573434.0,52982448128.0,66504884224.0,79.19671852141619,241.82370584458113,0.022540800273418427,14.301707036793232,55.77507242560387,509.1907577589154,5.091907577589154,0.0021519865959024487
kvflow_like,2.0,100,1.089092163507227,47710.9494989246,19675.142495169704,33471.090421399575,33477.399557694494,11.611005995535379,17.387031391037453,23.69616768585547,4.231528814337381,6.572776216218408,6.572776216218408,24631.447363548818,0.0,0.9107142857142857,765.0,0.7494117647058823,115.0,84020297728.0,123157183831040.0,4.0690567072994765,2163200.0,2112000.0,0.8921284608,24.631436766208,0.01400897536,0.0685584154624,0.256061326178304,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,192803766272.0,87375740928.0,85698019328.0,78.60046066343784,236.2169213593006,0.02106744796037674,1.0965242981910706,54.39034663140774,502.9524452984333,5.029524452984333,0.0002550986739577645
no_cache,2.0,100,1.0869808489150814,47618.457029271885,19792.71074392165,33570.31709021525,33570.31709021525,18.723035439044907,27.65362898195599,27.65362898195599,4.231528814337381,6.572776216218408,6.572776216218408,24699.42871808,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,78.04296165704727,244.111274369061,0.039507634937763214,1.1015338823199272,57.2822280228138,516.5966060012579,5.165966060012579,0.0002610034636917555
pat_like,2.0,100,1.1355662687686718,49746.887102217974,17805.450078505422,30622.72660167277,30990.310615223294,9.110274582952115,17.587031391034543,23.89616768585256,2.799580710757671,5.065336287935956,5.070021574199501,15235.406192756232,0.0,0.9107142857142857,765.0,0.7564705882352941,120.0,80295755776.0,76176992764357.0,3.811588643455304,2163200.0,2112000.0,0.8921284608,15.2353985528714,0.01400897536,0.0652029722624,0.162067389612938,22506058127690.0,35540854374400.0,0.3667552870113031,analytical,,198359.14199367684,0.0,22506058127690.0,149.0,3.785234899328859,149.0,149.0,0.0,0.0,0.0,3.785234899328859,0.03574646966746709,0.0,0.0,0.0,0.0,13193.271705599902,196528308224.0,83651198976.0,81503715328.0,77.93775852769613,235.5101341381669,0.021904706954956055,11.262865737080574,64.86610602587461,601.5775240957737,6.015775240957737,0.00035875259650345145
wafer_naive,2.0,100,1.0869808489150814,47618.457029271885,19792.71074392165,33570.31709021525,33570.31709021525,18.723035439044907,27.65362898195599,27.65362898195599,4.231528814337381,6.572776216218408,6.572776216218408,24699.42871808,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,78.85334640741348,234.70353614538908,0.02627260982990265,1.065365970134735,58.58801770955324,507.65103101730347,5.076510310173035,0.0002564838326519791
waferagent_full,2.0,100,1.6052961112980508,70324.81204374501,2283.333439128215,4263.182061285139,5887.21052359697,9.103980308213067,17.387031391037453,23.69616768585547,3.3639719716605447,5.880168681599571,5.880168681599571,111.07856186146401,64.65157259072541,0.9107142857142857,765.0,0.8797250859106529,102.0,65263370240.0,331249544704.0,2.178281829104917,2163200.0,2112000.0,0.8921284608,0.0662499089408,1.2451184010781,0.053203907379200006,0.022567006781980998,27628665621562.0,35540854374400.0,0.22262235649959872,analytical,,342979.26889963617,0.0,27628665621562.0,273.0,2.0,273.0,273.0,0.0,0.0,0.0,2.0,4.620659335273142e-06,0.0,0.0,0.0,0.0,13193.271705599907,24849385573434.0,52982448128.0,66504884224.0,77.80348230153322,238.14465664327145,0.02050679177045822,14.19850718230009,55.318147875368595,507.86078814417124,5.078607881441712,0.0021463657617842415
apc_like,4.0,100,1.5973975371053424,69978.79130551084,19675.14249516971,33471.09042139955,33477.39955769437,11.611005995533915,17.38703139104109,23.696167685851833,4.231528814337384,6.5727762162184185,6.5727762162184185,24618.755189376,0.0,0.9107142857142857,765.0,0.7835294117647059,94.0,72913780736.0,123093724011520.0,4.069850388718724,2163200.0,2112000.0,0.8921284608,24.618744802304,0.01400897536,0.0596732018688,0.255845554403328,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599918,203910283264.0,76269223936.0,74591502336.0,77.29860488325357,231.1139740049839,0.02174265682697296,1.039404422044754,53.448899649083614,493.0809922516346,4.930809922516346,0.00025025090423425153
ideal_next_use_cache,4.0,100,2.7485870105091066,120410.09975638294,2285.559511107279,6599.106745057339,8676.442625328167,9.103980308213067,17.38703139104109,23.696167685851833,3.363971971660555,5.880168681599596,5.880168681599596,835.21075024977,750.7812191813875,0.9107142857142857,765.0,0.7887205387205387,186.0,125392912384.0,1337882504704.0,2.3017655493696156,2163200.0,2112000.0,0.8921284608,0.2675765009408,1.0795903614905,0.1020323168256,0.023413276400568995,28329604284274.0,35540854374400.0,0.20290030211879906,analytical,,305046.10189475917,0.0,28329604284274.0,261.0,2.0,261.0,261.0,0.0,0.0,0.0,2.0,4.833103440899695e-06,0.0,0.0,0.0,0.0,13193.271705599907,21509263327090.0,82543902720.0,127540396032.0,79.83567286282778,241.81079491972923,0.021570362150669098,14.232178218662739,57.37899336963892,511.47896982729435,5.1147896982729435,0.0016314812991737432
kvflow_like,4.0,100,1.5973975371053424,69978.79130551084,19675.14249516971,33471.09042139955,33477.39955769437,11.611005995533915,17.38703139104109,23.696167685851833,4.231528814337384,6.5727762162184185,6.5727762162184185,24618.897797302398,0.0,0.9107142857142857,765.0,0.7823529411764706,95.0,73056387072.0,123094437043200.0,4.069845350059797,2163200.0,2112000.0,0.8921284608,24.61888740864,0.01400897536,0.05978728693760001,0.25584812131737594,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599918,203767676928.0,76411830272.0,74734108672.0,77.39363983273506,298.8161314278841,0.03157276660203934,1.1086659505963326,54.46766596287489,566.7414888739586,5.667414888739586,0.0002876354438448828
