baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct
apc_like,2.0,100,1.1402445491528908,49951.83320928984,17260.82424587237,29351.981698302065,29358.29083459694,6.911555683145707,10.869016979246226,17.178153274064243,0.10892852648025177,0.11190335356424677,0.11190335356425703,24623.104002112013,0.0,0.9107142857142857,765.0,0.7870588235294118,85.0,67779952640.0,123115467283456.0,7.11930145694717,2163200.0,2112000.0,0.8921284608,24.6230934566912,0.01400897536,0.055485608755200005,0.25584716501606397,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,209044111360.0,71135395840.0,69357010944.0,78.43883335590363,292.72041842341423,0.026856549084186554,1.1365674436092377,111.13860551267862,618.3988824486732,6.1839888244867325,0.00035687534880720023
ideal_next_use_cache,2.0,100,1.7083665747539067,74840.12290681915,83.79230026007463,112.41083139208209,1516.0938585897852,5.376376803576932,7.507301812752882,17.378153274061333,0.108613596074287,0.1114396382560719,0.11159260896057871,56.82764092144414,28.235522267212,0.9107142857142857,765.0,0.9582677165354331,45.0,17548967936.0,209916718592.0,2.6598458218338346,2163200.0,2112000.0,0.8921284608,0.0419833437184,1.0032473178072001,0.014227079168,0.019515862014936002,20949561979618.0,35540854374400.0,0.4105498489448829,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.626144066452976,0.0,20949561979618.0,153.0,3.8758169934640523,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8758169934640523,0.01552922670931274,0.0,0.0,0.0,0.0,13193.271705599906,20052229226416.0,12717129728.0,17783848960.0,80.12274745851755,242.4956327304244,0.02531427890062332,9.91396140307188,107.18279425054789,636.9587276130915,6.369587276130915,0.04583735870565899
kvflow_like,2.0,100,1.1402445491528908,49951.83320928984,17270.55531067238,29351.981698302065,29358.29083459694,6.911555683145707,10.869016979246226,17.178153274064243,0.10892852648025177,0.11190335356424677,0.11190335356425703,24623.303656572814,0.0,0.9107142857142857,765.0,0.7858823529411765,86.0,67922558976.0,123116465527808.0,7.119276165244324,2163200.0,2112000.0,0.8921284608,24.6232931055616,0.01400897536,0.055599693824,0.25585030235545597,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,208901505024.0,71278002176.0,69499617280.0,78.87768186628819,236.34985368698835,0.024209730327129364,1.171858049929142,111.31336446851492,563.4005796164274,5.634005796164274,0.0003251317822810998
no_cache,2.0,100,1.1379304596564734,49850.45757663079,17410.817491563394,29451.20836711776,29451.20836711776,14.64951938447848,21.135614570164762,21.135614570164762,0.10892852648025177,0.11190335356424677,0.11190335356425703,24699.428718079995,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,79.35790903866291,237.22531832754612,0.03869831562042236,1.1432943865656853,113.57716098427773,566.888133995235,5.66888133995235,0.00032559535717948144
pat_like,2.0,100,1.1944401944232457,52326.03603729355,13120.305183110742,25441.10777163295,26874.842658447495,5.476547910204317,11.069016979243315,17.378153274061333,0.1086135960742941,0.1114396382560719,0.1116687371939722,14549.134654346028,0.0,0.9107142857142857,765.0,0.8047058823529412,87.0,58015612928.0,72745636017410.0,3.677705947872655,2163200.0,2112000.0,0.8921284608,14.549127203482,0.01400897536,0.047164109619200006,0.155024287492612,21082705965795.0,35540854374400.0,0.4068036253799001,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.371232062578198,0.0,21082705965795.0,151.0,3.8675496688741724,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8675496688741724,0.0021855996036304576,0.0,0.0,0.0,0.0,13193.271705599902,218808451072.0,61371056128.0,58955137024.0,79.12009954452515,235.39577145129442,0.024402514100074768,11.091909371316433,122.11290560662746,658.5472654551268,6.585472654551268,0.0004570427709855053
wafer_naive,2.0,100,1.1379304596564734,49850.45757663079,17410.817491563394,29451.20836711776,29451.20836711776,14.64951938447848,21.135614570164762,21.135614570164762,0.10892852648025177,0.11190335356424677,0.11190335356425703,24699.428718079995,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,80.38024324923754,235.6974696740508,0.023786909878253937,1.156148500740528,114.09921944141388,569.0599596127868,5.690599596127868,0.0003268427573194256
waferagent_full,2.0,100,1.7085469771004305,74848.02597281565,78.72581398393595,106.23018080435,1509.9132080020531,5.376599627321411,7.307301812755792,17.178153274064243,0.10872726168626494,0.11158637729048718,0.11182410949580698,56.748025858489456,28.15629419250261,0.9107142857142857,765.0,0.9556521739130435,43.0,16475226112.0,209916718592.0,2.6598458218338346,2163200.0,2112000.0,0.8921284608,0.0419833437184,1.3126782366441,0.013368085708800001,0.022601581268713,26969817638354.0,35540854374400.0,0.24116012085009697,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,36.03711986541748,0.0,26969817638354.0,280.0,2.0,293.0,280.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,26240847603154.0,12717129728.0,16710107136.0,78.42793501913548,240.41171930730343,0.03150012344121933,14.409511350095272,111.63553223013878,583.6422182619572,5.836422182619572,0.043322811513225847
apc_like,4.0,100,1.709791218362721,74902.5336940341,17293.24924281144,29351.981698302036,29358.290834596857,6.911555683145707,10.869016979249864,17.178153274060605,0.10892852648024634,0.11190335356424692,0.11190335356424692,24621.167818575992,0.0,0.9107142857142857,765.0,0.7917647058823529,85.0,68081942528.0,123105786829824.0,4.068823602892105,2163200.0,2112000.0,0.8921284608,24.6211573659648,0.01400897536,0.0558077313024,0.255831025334272,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599915,208742121472.0,71437385728.0,69759664128.0,77.70863175392151,232.36896935850382,0.020874664187431335,1.1408450081944466,112.86475695669651,556.5865216776729,5.565865216776729,0.0003212525247459142
ideal_next_use_cache,4.0,100,3.4104510890308903,149405.04130826524,80.83089595941715,766.9444176163796,1515.6643288944579,5.5748318525020295,11.069016979250591,17.378153274061333,0.10856286519221987,0.1114396382560719,0.11159260896057756,138.32997455497735,75.49235558471199,0.9107142857142857,765.0,0.9418789808917197,61.0,28420603904.0,348429413888.0,2.3975343761893875,2163200.0,2112000.0,0.8921284608,0.0696858827776,0.95063396843115,0.0230317621248,0.0193548007413355,20670389105377.0,35540854374400.0,0.4184048338391708,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,20.385888084769245,0.0,20670389105377.0,159.0,3.8553459119496853,159.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8553459119496853,0.017628405801443654,0.0,0.0,0.0,0.0,13193.271705599906,18995063291823.0,17616076800.0,28789702656.0,80.95145039260387,243.1893926113844,0.02171192318201065,10.375723242759705,109.66754611581564,578.9918033406138,5.789918033406138,0.026265746058700003
kvflow_like,4.0,100,1.709791218362721,74902.5336940341,17293.24924281144,29351.981698302036,29358.290834596857,6.911555683145707,10.869016979249864,17.178153274060605,0.10892852648024634,0.11190335356424692,0.11190335356424692,24621.33894976959,0.0,0.9107142857142857,765.0,0.7905882352941176,86.0,68224548864.0,123106642467840.0,4.068813857367778,2163200.0,2112000.0,0.8921284608,24.621328493568,0.01400897536,0.0559218163712,0.255833877460992,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599915,208599515136.0,71579992064.0,69902270464.0,78.70184816420078,324.36441350728273,0.021657906472682953,1.200641505420208,113.64358011633158,654.7843031585217,6.5478430315852165,0.00037793065832716384
