baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,cross_job_task_group_size,unique_task_ratio,cross_job_prefix_hit_rate_observed
apc_like,1.0,300,8.904537209782546,325597.3712547687,6521.51237012398,33398.74999448736,33690.6896936114,13.429570094938194,232.09730924088632,236.9863036028681,2.0340753642793494,6.572776216218417,6.572776216218417,20936.8367763374,0.0,0.301255230125523,720.0,0.5723076923076923,1009.0,219009777664.0,312795442370560.0,3.9656304553958046,5570560.0,5079040.0,2.31626244096,62.559088474112,0.03489660928,0.1778921766912,0.21696046567014401,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30132.57461759983,446710153216.0,251222032384.0,222365220864.0,255.44414203613997,852.3896727710962,0.22956635802984238,3.605739213526249,184.2062696814537,1707.9486986622214,5.693162328874071,0.0003714104399111465,1,0.0,0.03461538461538462
waferagent_full,1.0,300,4.152186660482834,151826.08930277498,37280.0911798701,54249.79644570727,70196.37413266087,4.77839052148836,13.429570094938194,144.01109532862264,1.7273149337169373,5.187561146980755,5.880168681599583,33010.75605911872,42725.37192769322,0.301255230125523,720.0,0.3961038961038961,2496.0,535352573952.0,6665554746368.0,2.1297665426823342,5570560.0,5079040.0,2.31626244096,1.3331109492736,1.4954109756906,0.43365076828160004,0.018594783780686,72330685238228.0,87617332838400.0,0.17447058823813377,analytical,,662250.2206046229,0.0,72330685238228.0,472.0,2.0,821.0,472.0,0.0,0.0,0.0,0.0,349.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30132.574617599927,29660352924628.0,247866589184.0,542063460352.0,260.0840264931321,897.7037444710732,0.26249978691339493,192.1854019165039,339.36323318630457,1919.4912612438202,6.398304204146068,0.00022314127594691142,1,0.0,0.03461538461538462
apc_like,1.0,300,8.904537209782546,325597.3712547687,6521.51237012398,33398.74999448736,33690.6896936114,13.429570094938194,232.09730924088632,236.9863036028681,2.0340753642793494,6.572776216218417,6.572776216218417,20936.8367763374,0.0,0.301255230125523,720.0,0.5723076923076923,1009.0,219009777664.0,312795442370560.0,3.9656304553958046,5570560.0,5079040.0,2.31626244096,62.559088474112,0.03489660928,0.1778921766912,0.21696046567014401,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30132.57461759983,446710153216.0,251222032384.0,222365220864.0,259.6595427021384,865.5105289071798,0.21940376609563828,3.5522766411304474,180.50375394523144,1713.1624137982726,5.710541379327576,0.00037254421414790713,1,0.1,0.03461538461538462
waferagent_full,1.0,300,4.152186660482834,151826.08930277498,37280.0911798701,54249.79644570727,70196.37413266087,4.77839052148836,13.429570094938194,144.01109532862264,1.7273149337169373,5.187561146980755,5.880168681599583,33010.75605911872,42725.37192769322,0.301255230125523,720.0,0.3961038961038961,2496.0,535352573952.0,6665554746368.0,2.1297665426823342,5570560.0,5079040.0,2.31626244096,1.3331109492736,1.4954109756906,0.43365076828160004,0.018594783780686,72330685238228.0,87617332838400.0,0.17447058823813377,analytical,,662250.2206046229,0.0,72330685238228.0,472.0,2.0,821.0,472.0,0.0,0.0,0.0,0.0,349.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30132.574617599927,29660352924628.0,247866589184.0,542063460352.0,263.6793712154031,903.4307226538658,0.23518316447734833,189.64355066418648,333.9755805209279,1920.2781524509192,6.400927174836397,0.00022323275222061413,1,0.1,0.03461538461538462
apc_like,1.0,300,8.904537209782546,325597.3712547687,6521.51237012398,33398.74999448736,33690.6896936114,13.429570094938194,232.09730924088632,236.9863036028681,2.0340753642793494,6.572776216218417,6.572776216218417,20936.8367763374,0.0,0.301255230125523,720.0,0.5723076923076923,1009.0,219009777664.0,312795442370560.0,3.9656304553958046,5570560.0,5079040.0,2.31626244096,62.559088474112,0.03489660928,0.1778921766912,0.21696046567014401,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30132.57461759983,446710153216.0,251222032384.0,222365220864.0,257.7365664765239,792.2742897644639,0.1996094360947609,3.601602278649807,261.5457773208618,1716.5706809610128,5.721902269870043,0.00037328537575729247,1,0.25,0.03461538461538462
waferagent_full,1.0,300,4.152186660482834,151826.08930277498,37280.0911798701,54249.79644570727,70196.37413266087,4.77839052148836,13.429570094938194,144.01109532862264,1.7273149337169373,5.187561146980755,5.880168681599583,33010.75605911872,42725.37192769322,0.301255230125523,720.0,0.3961038961038961,2496.0,535352573952.0,6665554746368.0,2.1297665426823342,5570560.0,5079040.0,2.31626244096,1.3331109492736,1.4954109756906,0.43365076828160004,0.018594783780686,72330685238228.0,87617332838400.0,0.17447058823813377,analytical,,662250.2206046229,0.0,72330685238228.0,472.0,2.0,821.0,472.0,0.0,0.0,0.0,0.0,349.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30132.574617599927,29660352924628.0,247866589184.0,542063460352.0,258.98369401693344,798.2324939221144,0.2382323145866394,190.17636682838202,333.5046311840415,1809.5092792063951,6.0316975973546505,0.00021035584665191244,1,0.25,0.03461538461538462
apc_like,1.0,300,8.904537209782546,325597.3712547687,6521.51237012398,33398.74999448736,33690.6896936114,13.429570094938194,232.09730924088632,236.9863036028681,2.0340753642793494,6.572776216218417,6.572776216218417,20936.8367763374,0.0,0.301255230125523,720.0,0.5723076923076923,1009.0,219009777664.0,312795442370560.0,3.9656304553958046,5570560.0,5079040.0,2.31626244096,62.559088474112,0.03489660928,0.1778921766912,0.21696046567014401,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30132.57461759983,446710153216.0,251222032384.0,222365220864.0,258.33094492554665,883.6505180224776,0.2098865807056427,3.5624103620648384,187.3706141486764,1734.8902393132448,5.782967464377482,0.00037726914601450795,1,0.5,0.03461538461538462
waferagent_full,1.0,300,4.152186660482834,151826.08930277498,37280.0911798701,54249.79644570727,70196.37413266087,4.77839052148836,13.429570094938194,144.01109532862264,1.7273149337169373,5.187561146980755,5.880168681599583,33010.75605911872,42725.37192769322,0.301255230125523,720.0,0.3961038961038961,2496.0,535352573952.0,6665554746368.0,2.1297665426823342,5570560.0,5079040.0,2.31626244096,1.3331109492736,1.4954109756906,0.43365076828160004,0.018594783780686,72330685238228.0,87617332838400.0,0.17447058823813377,analytical,,662250.2206046229,0.0,72330685238228.0,472.0,2.0,821.0,472.0,0.0,0.0,0.0,0.0,349.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30132.574617599927,29660352924628.0,247866589184.0,542063460352.0,260.7839750126004,887.4066900461912,0.2428768202662468,191.93221163004637,341.19408018887043,1910.7256885617971,6.369085628539324,0.00022212227621913743,1,0.5,0.03461538461538462
apc_like,1.0,300,8.904537209782546,325597.3712547687,6521.51237012398,33398.74999448736,33690.6896936114,13.429570094938194,232.09730924088632,236.9863036028681,2.0340753642793494,6.572776216218417,6.572776216218417,20936.8367763374,0.0,0.301255230125523,720.0,0.5723076923076923,1009.0,219009777664.0,312795442370560.0,3.9656304553958046,5570560.0,5079040.0,2.31626244096,62.559088474112,0.03489660928,0.1778921766912,0.21696046567014401,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30132.57461759983,446710153216.0,251222032384.0,222365220864.0,257.89446383714676,851.3565836474299,0.19958894699811935,3.6956146359443665,268.12563370913267,1784.6512626856565,5.9488375422855215,0.0003880901757068239,1,0.75,0.03461538461538462
waferagent_full,1.0,300,4.152186660482834,151826.08930277498,37280.0911798701,54249.79644570727,70196.37413266087,4.77839052148836,13.429570094938194,144.01109532862264,1.7273149337169373,5.187561146980755,5.880168681599583,33010.75605911872,42725.37192769322,0.301255230125523,720.0,0.3961038961038961,2496.0,535352573952.0,6665554746368.0,2.1297665426823342,5570560.0,5079040.0,2.31626244096,1.3331109492736,1.4954109756906,0.43365076828160004,0.018594783780686,72330685238228.0,87617332838400.0,0.17447058823813377,analytical,,662250.2206046229,0.0,72330685238228.0,472.0,2.0,821.0,472.0,0.0,0.0,0.0,0.0,349.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30132.574617599927,29660352924628.0,247866589184.0,542063460352.0,260.12167427688837,798.0320882052183,0.26095472276210785,190.51890168339014,338.6909458786249,1817.1471245586872,6.05715708186229,0.00021124374783271346,1,0.75,0.03461538461538462
apc_like,1.0,300,8.904537209782546,325597.3712547687,6521.51237012398,33398.74999448736,33690.6896936114,13.429570094938194,232.09730924088632,236.9863036028681,2.0340753642793494,6.572776216218417,6.572776216218417,20936.8367763374,0.0,0.301255230125523,720.0,0.5723076923076923,1009.0,219009777664.0,312795442370560.0,3.9656304553958046,5570560.0,5079040.0,2.31626244096,62.559088474112,0.03489660928,0.1778921766912,0.21696046567014401,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30132.57461759983,446710153216.0,251222032384.0,222365220864.0,258.09123553335667,786.5051748231053,0.20198896527290344,3.8057733327150345,250.81501621752977,1702.6614248752594,5.675538082917531,0.00037026066961378073,1,1.0,0.03461538461538462
waferagent_full,1.0,300,4.152186660482834,151826.08930277498,37280.0911798701,54249.79644570727,70196.37413266087,4.77839052148836,13.429570094938194,144.01109532862264,1.7273149337169373,5.187561146980755,5.880168681599583,33010.75605911872,42725.37192769322,0.301255230125523,720.0,0.3961038961038961,2496.0,535352573952.0,6665554746368.0,2.1297665426823342,5570560.0,5079040.0,2.31626244096,1.3331109492736,1.4954109756906,0.43365076828160004,0.018594783780686,72330685238228.0,87617332838400.0,0.17447058823813377,analytical,,662250.2206046229,0.0,72330685238228.0,472.0,2.0,821.0,472.0,0.0,0.0,0.0,0.0,349.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30132.574617599927,29660352924628.0,247866589184.0,542063460352.0,262.78694067150354,799.0830047056079,0.2357596531510353,268.09455547481775,414.9392191320658,1950.34312736243,6.501143757874767,0.0002267278120828399,1,1.0,0.03461538461538462
apc_like,1.0,300,8.905679525190012,325639.14039841446,6521.51237012398,33398.74999448736,33686.368249771396,13.429570094938194,227.77586540088632,232.6648597628681,2.0340753642793494,6.572776216218417,6.572776216218417,20939.79368615026,0.0,0.6506024096385542,1620.0,0.6934615384615385,693.0,185832833024.0,312589334272000.0,3.96647834933515,5468160.0,5181440.0,2.2759971225599998,62.5178668544,0.03489660928,0.15135062097920002,0.21660037069073065,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30564.719001599817,493308870656.0,204623314944.0,189188276224.0,260.9478598460555,872.1986683085561,0.11390168219804764,3.6287782713770866,179.53798733651638,1723.2482815161347,5.7441609383871155,0.0003749389770876671,2,0.0,0.07307692307692308
waferagent_full,1.0,300,4.06641651738629,148689.87543040214,28588.786798904115,53901.62773071846,71720.31690922382,4.77839052148836,13.429570094938194,144.01109532862264,1.727314933716934,5.187561146980762,5.880168681599583,28466.930105199634,36152.71538202684,0.6506024096385542,1620.0,0.491943359375,1880.0,479803211776.0,6323056270336.0,2.3069568814210255,5468160.0,5181440.0,2.2759971225599998,1.2646112540671999,1.6461106406849502,0.38921127854080007,0.018586434319509834,70262658485123.0,87617332838400.0,0.1980735294155288,analytical,,715593.8926952458,0.0,70262658485123.0,607.0,2.0,1331.0,607.0,0.0,0.0,0.0,0.0,724.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30564.71900159989,32704603933571.0,217608880128.0,486514098176.0,263.4132318198681,896.4902963489294,0.15245098620653152,192.74521619081497,337.35454361885786,1916.0063890740275,6.3866879635800915,0.00023512623042192774,2,0.0,0.07307692307692308
apc_like,1.0,300,8.904969917777654,325613.19336684584,6521.51237012398,33398.74999448736,33689.052604331395,13.429570094938194,227.77586540088632,235.34921432286808,2.0340753642793494,6.572776216218417,6.572776216218417,20937.75582778021,0.0,0.5966046887631367,1476.0,0.6803846153846154,727.0,180573175808.0,312572808714240.0,3.9664188232091675,5484544.0,5165056.0,2.282439573504,62.514561742848,0.03489660928,0.1471428952064,0.21659680273612802,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30495.575900159816,496421044224.0,201511141376.0,183928619008.0,260.22859290242195,859.4744838774204,0.12129824608564377,3.5747578367590904,178.78209706395864,1704.1490552946925,5.680496850982308,0.0003708304025426746,2,0.1,0.06692307692307692
waferagent_full,1.0,300,4.06665685187031,148698.66334092183,29329.671524024106,53944.57802415849,71715.95689450382,4.77839052148836,13.429570094938194,144.01109532862264,1.727314933716934,5.187561146980762,5.880168681599583,29026.685560017726,36786.07229861331,0.5966046887631367,1476.0,0.4769008662175168,1973.0,487076134912.0,6324985650176.0,2.3061152334513397,5484544.0,5165056.0,2.282439573504,1.2649971300351999,1.6242707319854501,0.39502961704960005,0.0185557901752475,70598954424413.0,87617332838400.0,0.1942352941212605,analytical,,706900.8498360333,0.0,70598954424413.0,585.0,2.0,1264.0,585.0,0.0,0.0,0.0,0.0,679.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30495.57590015989,32264156715101.0,221257924608.0,493787021312.0,261.5665914490819,883.363832719624,0.14601834118366241,192.16163083910942,336.9307769462466,1899.1249864920974,6.330416621640325,0.0002306290275139449,2,0.1,0.06692307692307692
apc_like,1.0,300,8.904537209782546,325597.3712547687,6521.51237012398,33398.74999448736,33690.6896936114,13.429570094938194,230.46021996088632,236.9863036028681,2.0340753642793494,6.572776216218417,6.572776216218417,20942.119670135744,0.0,0.5038823048630977,1233.0,0.64,832.0,200605171712.0,312680384223232.0,3.9660998548843014,5512192.0,5137408.0,2.293311209472,62.5360768446464,0.03489660928,0.1631684919296,0.21675817718442664,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30378.89691647982,472765169664.0,225167015936.0,203960614912.0,257.01424293220043,846.377489157021,0.153995119035244,3.6410223692655563,252.33716052025557,1761.7205418646336,5.8724018062154455,0.0003832137798126602,2,0.25,0.05653846153846154
waferagent_full,1.0,300,4.102973399868769,150026.5900240015,30811.439702584084,55404.867274078504,71062.99237066375,4.77839052148836,13.429570094938194,144.01109532862264,1.7273149337169365,5.187561146980762,5.880168681599583,30147.669039626773,37930.34156294632,0.5038823048630977,1233.0,0.45076380728554644,2136.0,501840084992.0,6365351631872.0,2.2709746053159887,5512192.0,5137408.0,2.293311209472,1.2730703263744,1.58591667403325,0.4068407771136,0.018530463289977497,71150428225241.0,87617332838400.0,0.18794117647395514,analytical,,692675.8706118672,0.0,71150428225241.0,549.0,2.0,1132.0,549.0,0.0,0.0,0.0,0.0,583.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30378.89691647988,31488720502489.0,229612978176.0,508550971392.0,260.6980511918664,798.3759483322501,0.17892569303512573,189.7746678441763,333.9802920818329,1809.8423341289163,6.032807780429721,0.00021453404292705238,2,0.25,0.05653846153846154
apc_like,1.0,300,8.904537209782546,325597.3712547687,6521.51237012398,33398.74999448736,33690.6896936114,13.429570094938194,232.09730924088632,236.9863036028681,2.0340753642793494,6.572776216218417,6.572776216218417,20940.445604605968,0.0,0.39842780306164666,963.0,0.6026923076923076,929.0,210738610176.0,312743600773120.0,3.9658371934492918,5542912.0,5106688.0,2.3053908049919998,62.548720154624,0.03489660928,0.17127524270080002,0.21686760937198932,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30249.253601279823,458605199360.0,239326986240.0,214094053376.0,328.89384403824806,792.1189861372113,0.21824613213539124,3.6493148654699326,184.34219248592854,1709.6245009452105,5.698748336484035,0.00037182532493201727,2,0.5,0.045
waferagent_full,1.0,300,4.138516643020608,151326.24055759623,34864.824095544,58685.709832926135,70435.0281498637,4.77839052148836,13.429570094938194,144.01109532862264,1.7273149337169373,5.187561146980755,5.880168681599583,31850.398257487104,40502.00771790994,0.39842780306164666,963.0,0.41779099016693344,2345.0,523054874624.0,6569102531584.0,2.1814178728394173,5542912.0,5106688.0,2.3053908049919998,1.3138205063168,1.53187524803265,0.4238126088192,0.018582997227202167,71827315071117.0,87617332838400.0,0.18021568627757545,analytical,,675289.7848934418,0.0,71827315071117.0,505.0,2.0,957.0,505.0,0.0,0.0,0.0,0.0,452.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30249.253601279903,30396466698381.0,241038262272.0,529765761024.0,259.65222902595997,882.0949215441942,0.1974673941731453,187.8292253240943,332.0741755887866,1890.728009864688,6.30242669954896,0.00022065298243032026,2,0.5,0.045
apc_like,1.0,300,8.904537209782546,325597.3712547687,6521.51237012398,33398.74999448736,33690.6896936114,13.429570094938194,232.09730924088632,236.9863036028681,2.0340753642793494,6.572776216218417,6.572776216218417,20938.28994163059,0.0,0.3121604680317593,747.0,0.5753846153846154,1001.0,218288357376.0,312790308542464.0,3.965651775291633,5567488.0,5082112.0,2.315054481408,62.5580617084928,0.03489660928,0.17731504046080002,0.2169510927988053,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30145.538949119826,447834226688.0,250097958912.0,221643800576.0,260.5914231389761,859.6801608800888,0.2158619463443756,3.571470268070698,182.9091915860772,1704.550194554031,5.681833981846769,0.0003706750798866022,2,0.75,0.03576923076923077
