baseline,job_id,workload,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,cache_hit_rate,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,communication_time_ms,queue_wait_ms_total,prefill_utilization,decode_utilization,energy_estimated_j,energy_per_job_j,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,link_bandwidth_GBps
wafer_naive,sensitivity_link_bandwidth_GBps_10,debate,166.8090304,30.576810719999997,31.15840448,31.15840448,5.994879279629216,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.0133216,0.0,0.9383947788956155,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,10
waferagent_full,sensitivity_link_bandwidth_GBps_10,debate,110.86192298237086,21.027155223423996,21.1185099190016,22.538831486252025,9.020229607229696,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,0.9444444444444444,2717908992.0,0.0,51.0026672759296,312.15038400000003,0.02869982752927262,0.0,0.4600557694100254,1.0,0.0161565455872,0.0161565455872,432896.0,61842.28571428572,143104.0,2.314015375517445,10
wafer_naive,sensitivity_link_bandwidth_GBps_25,debate,166.80870784,30.57679536,31.158373760000003,31.158373760000014,5.994890871999215,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.012768640000000001,0.0,0.9383965934808599,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,25
waferagent_full,sensitivity_link_bandwidth_GBps_25,debate,110.85359277912829,21.026364951424,21.117800287001604,22.538710848812027,9.020907441335376,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,0.9444444444444444,2717908992.0,0.0,51.0026672759296,312.15038400000003,0.013499096286694262,0.0,0.4600903407573857,1.0,0.0161565455872,0.0161565455872,432896.0,61842.28571428572,143104.0,2.314015375517445,25
wafer_naive,sensitivity_link_bandwidth_GBps_50,debate,166.80860032,30.57679024,31.158363520000005,31.15836352000001,5.994894736132511,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.012584320000000001,0.0,0.9383971983441676,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,50
waferagent_full,sensitivity_link_bandwidth_GBps_50,debate,110.8508160447141,21.026101527423997,21.1175637430016,22.53867063633203,9.02113340867629,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,0.9444444444444444,2717908992.0,0.0,51.0026672759296,312.15038400000003,0.008432185872501477,0.0,0.46010186569448946,1.0,0.0161565455872,0.0161565455872,432896.0,61842.28571428572,143104.0,2.314015375517445,50
wafer_naive,sensitivity_link_bandwidth_GBps_100,debate,166.80854656,30.576787680000002,31.1583584,31.15835840000001,5.994896668201028,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.01249216,0.0,0.9383975007761138,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,100
waferagent_full,sensitivity_link_bandwidth_GBps_100,debate,110.84942767750701,21.025969815424002,21.117445471001606,22.538650530092028,9.021246396592039,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,0.9444444444444444,2717908992.0,0.0,51.0026672759296,312.15038400000003,0.005898730665405086,0.0,0.46010762837956265,1.0,0.0161565455872,0.0161565455872,432896.0,61842.28571428572,143104.0,2.314015375517445,100
wafer_naive,sensitivity_link_bandwidth_GBps_200,debate,166.80851968000002,30.576786400000003,31.158355840000013,31.158355840000013,5.994897634235752,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.01244608,0.0,0.93839765199216,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,200
waferagent_full,sensitivity_link_bandwidth_GBps_200,debate,110.84873349390345,21.025903959424,21.1173863350016,22.538640476972027,9.021302891611287,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,0.9444444444444444,2717908992.0,0.0,51.0026672759296,312.15038400000003,0.004632003061856889,0.0,0.460110509776232,1.0,0.0161565455872,0.0161565455872,432896.0,61842.28571428572,143104.0,2.314015375517445,200
