src,dst,edge_type,token_size,metadata
S_task,O_analyst_0,consume,800,{}
S_market_context,O_analyst_0,consume,800,{}
S_role_instruction,O_analyst_0,consume,800,{}
S_market_signal_0,O_analyst_0,consume,445,{}
S_task,O_researcher_0,consume,800,{}
S_market_context,O_researcher_0,consume,800,{}
S_tool_schema,O_researcher_0,consume,800,{}
S_market_signal_0,O_researcher_0,consume,445,{}
O_analyst_0,S_analyst_0_view,produce,208,{}
O_researcher_0,S_research_0_evidence,produce,219,{}
S_task,O_trader_0,consume,800,{}
S_market_context,O_trader_0,consume,800,{}
S_analyst_0_view,O_trader_0,consume,208,{}
S_research_0_evidence,O_trader_0,consume,219,{}
O_trader_0,S_trade_0,produce,247,{}
S_task,O_risk_0,consume,800,{}
S_risk_policy,O_risk_0,consume,800,{}
S_market_context,O_risk_0,consume,800,{}
S_trade_0,O_risk_0,consume,247,{}
O_risk_0,S_risk_0,produce,210,{}
S_task,O_analyst_1,consume,800,{}
S_market_context,O_analyst_1,consume,800,{}
S_role_instruction,O_analyst_1,consume,800,{}
S_market_signal_1,O_analyst_1,consume,409,{}
S_task,O_researcher_1,consume,800,{}
S_market_context,O_researcher_1,consume,800,{}
S_tool_schema,O_researcher_1,consume,800,{}
S_market_signal_1,O_researcher_1,consume,409,{}
O_analyst_1,S_analyst_1_view,produce,225,{}
O_researcher_1,S_research_1_evidence,produce,249,{}
S_task,O_trader_1,consume,800,{}
S_market_context,O_trader_1,consume,800,{}
S_analyst_1_view,O_trader_1,consume,225,{}
S_research_1_evidence,O_trader_1,consume,249,{}
O_trader_1,S_trade_1,produce,249,{}
S_task,O_risk_1,consume,800,{}
S_risk_policy,O_risk_1,consume,800,{}
S_market_context,O_risk_1,consume,800,{}
S_trade_1,O_risk_1,consume,249,{}
O_risk_1,S_risk_1,produce,315,{}
S_task,O_analyst_2,consume,800,{}
S_market_context,O_analyst_2,consume,800,{}
S_role_instruction,O_analyst_2,consume,800,{}
S_market_signal_2,O_analyst_2,consume,438,{}
S_task,O_researcher_2,consume,800,{}
S_market_context,O_researcher_2,consume,800,{}
S_tool_schema,O_researcher_2,consume,800,{}
S_market_signal_2,O_researcher_2,consume,438,{}
O_analyst_2,S_analyst_2_view,produce,189,{}
O_researcher_2,S_research_2_evidence,produce,286,{}
S_task,O_trader_2,consume,800,{}
S_market_context,O_trader_2,consume,800,{}
S_analyst_2_view,O_trader_2,consume,189,{}
S_research_2_evidence,O_trader_2,consume,286,{}
O_trader_2,S_trade_2,produce,222,{}
S_task,O_risk_2,consume,800,{}
S_risk_policy,O_risk_2,consume,800,{}
S_market_context,O_risk_2,consume,800,{}
S_trade_2,O_risk_2,consume,222,{}
O_risk_2,S_risk_2,produce,212,{}
S_task,O_analyst_3,consume,800,{}
S_market_context,O_analyst_3,consume,800,{}
S_role_instruction,O_analyst_3,consume,800,{}
S_market_signal_3,O_analyst_3,consume,426,{}
S_task,O_researcher_3,consume,800,{}
S_market_context,O_researcher_3,consume,800,{}
S_tool_schema,O_researcher_3,consume,800,{}
S_market_signal_3,O_researcher_3,consume,426,{}
O_analyst_3,S_analyst_3_view,produce,283,{}
O_researcher_3,S_research_3_evidence,produce,242,{}
S_task,O_trader_3,consume,800,{}
S_market_context,O_trader_3,consume,800,{}
S_analyst_3_view,O_trader_3,consume,283,{}
S_research_3_evidence,O_trader_3,consume,242,{}
O_trader_3,S_trade_3,produce,262,{}
S_task,O_risk_3,consume,800,{}
S_risk_policy,O_risk_3,consume,800,{}
S_market_context,O_risk_3,consume,800,{}
S_trade_3,O_risk_3,consume,262,{}
O_risk_3,S_risk_3,produce,214,{}
S_task,O_analyst_4,consume,800,{}
S_market_context,O_analyst_4,consume,800,{}
S_role_instruction,O_analyst_4,consume,800,{}
S_market_signal_4,O_analyst_4,consume,390,{}
S_task,O_researcher_4,consume,800,{}
S_market_context,O_researcher_4,consume,800,{}
S_tool_schema,O_researcher_4,consume,800,{}
S_market_signal_4,O_researcher_4,consume,390,{}
O_analyst_4,S_analyst_4_view,produce,220,{}
O_researcher_4,S_research_4_evidence,produce,284,{}
S_task,O_trader_4,consume,800,{}
S_market_context,O_trader_4,consume,800,{}
S_analyst_4_view,O_trader_4,consume,220,{}
S_research_4_evidence,O_trader_4,consume,284,{}
O_trader_4,S_trade_4,produce,250,{}
S_task,O_risk_4,consume,800,{}
S_risk_policy,O_risk_4,consume,800,{}
S_market_context,O_risk_4,consume,800,{}
S_trade_4,O_risk_4,consume,250,{}
O_risk_4,S_risk_4,produce,222,{}
S_task,O_analyst_5,consume,800,{}
S_market_context,O_analyst_5,consume,800,{}
S_role_instruction,O_analyst_5,consume,800,{}
S_market_signal_5,O_analyst_5,consume,486,{}
S_task,O_researcher_5,consume,800,{}
S_market_context,O_researcher_5,consume,800,{}
S_tool_schema,O_researcher_5,consume,800,{}
S_market_signal_5,O_researcher_5,consume,486,{}
O_analyst_5,S_analyst_5_view,produce,229,{}
O_researcher_5,S_research_5_evidence,produce,240,{}
S_task,O_trader_5,consume,800,{}
S_market_context,O_trader_5,consume,800,{}
S_analyst_5_view,O_trader_5,consume,229,{}
S_research_5_evidence,O_trader_5,consume,240,{}
O_trader_5,S_trade_5,produce,238,{}
S_task,O_risk_5,consume,800,{}
S_risk_policy,O_risk_5,consume,800,{}
S_market_context,O_risk_5,consume,800,{}
S_trade_5,O_risk_5,consume,238,{}
O_risk_5,S_risk_5,produce,253,{}
S_task,O_analyst_6,consume,800,{}
S_market_context,O_analyst_6,consume,800,{}
S_role_instruction,O_analyst_6,consume,800,{}
S_market_signal_6,O_analyst_6,consume,288,{}
S_task,O_researcher_6,consume,800,{}
S_market_context,O_researcher_6,consume,800,{}
S_tool_schema,O_researcher_6,consume,800,{}
S_market_signal_6,O_researcher_6,consume,288,{}
O_analyst_6,S_analyst_6_view,produce,246,{}
O_researcher_6,S_research_6_evidence,produce,239,{}
S_task,O_trader_6,consume,800,{}
S_market_context,O_trader_6,consume,800,{}
S_analyst_6_view,O_trader_6,consume,246,{}
S_research_6_evidence,O_trader_6,consume,239,{}
O_trader_6,S_trade_6,produce,213,{}
S_task,O_risk_6,consume,800,{}
S_risk_policy,O_risk_6,consume,800,{}
S_market_context,O_risk_6,consume,800,{}
S_trade_6,O_risk_6,consume,213,{}
O_risk_6,S_risk_6,produce,289,{}
S_task,O_analyst_7,consume,800,{}
S_market_context,O_analyst_7,consume,800,{}
S_role_instruction,O_analyst_7,consume,800,{}
S_market_signal_7,O_analyst_7,consume,385,{}
S_task,O_researcher_7,consume,800,{}
S_market_context,O_researcher_7,consume,800,{}
S_tool_schema,O_researcher_7,consume,800,{}
S_market_signal_7,O_researcher_7,consume,385,{}
O_analyst_7,S_analyst_7_view,produce,211,{}
O_researcher_7,S_research_7_evidence,produce,263,{}
S_task,O_trader_7,consume,800,{}
S_market_context,O_trader_7,consume,800,{}
S_analyst_7_view,O_trader_7,consume,211,{}
S_research_7_evidence,O_trader_7,consume,263,{}
O_trader_7,S_trade_7,produce,245,{}
S_task,O_risk_7,consume,800,{}
S_risk_policy,O_risk_7,consume,800,{}
S_market_context,O_risk_7,consume,800,{}
S_trade_7,O_risk_7,consume,245,{}
O_risk_7,S_risk_7,produce,268,{}
S_task,O_analyst_8,consume,800,{}
S_market_context,O_analyst_8,consume,800,{}
S_role_instruction,O_analyst_8,consume,800,{}
S_market_signal_8,O_analyst_8,consume,346,{}
S_task,O_researcher_8,consume,800,{}
S_market_context,O_researcher_8,consume,800,{}
S_tool_schema,O_researcher_8,consume,800,{}
S_market_signal_8,O_researcher_8,consume,346,{}
O_analyst_8,S_analyst_8_view,produce,221,{}
O_researcher_8,S_research_8_evidence,produce,252,{}
S_task,O_trader_8,consume,800,{}
S_market_context,O_trader_8,consume,800,{}
S_analyst_8_view,O_trader_8,consume,221,{}
S_research_8_evidence,O_trader_8,consume,252,{}
O_trader_8,S_trade_8,produce,188,{}
S_task,O_risk_8,consume,800,{}
S_risk_policy,O_risk_8,consume,800,{}
S_market_context,O_risk_8,consume,800,{}
S_trade_8,O_risk_8,consume,188,{}
O_risk_8,S_risk_8,produce,304,{}
S_task,O_analyst_9,consume,800,{}
S_market_context,O_analyst_9,consume,800,{}
S_role_instruction,O_analyst_9,consume,800,{}
S_market_signal_9,O_analyst_9,consume,335,{}
S_task,O_researcher_9,consume,800,{}
S_market_context,O_researcher_9,consume,800,{}
S_tool_schema,O_researcher_9,consume,800,{}
S_market_signal_9,O_researcher_9,consume,335,{}
O_analyst_9,S_analyst_9_view,produce,213,{}
O_researcher_9,S_research_9_evidence,produce,279,{}
S_task,O_trader_9,consume,800,{}
S_market_context,O_trader_9,consume,800,{}
S_analyst_9_view,O_trader_9,consume,213,{}
S_research_9_evidence,O_trader_9,consume,279,{}
O_trader_9,S_trade_9,produce,287,{}
S_task,O_risk_9,consume,800,{}
S_risk_policy,O_risk_9,consume,800,{}
S_market_context,O_risk_9,consume,800,{}
S_trade_9,O_risk_9,consume,287,{}
O_risk_9,S_risk_9,produce,198,{}
S_task,O_analyst_10,consume,800,{}
S_market_context,O_analyst_10,consume,800,{}
S_role_instruction,O_analyst_10,consume,800,{}
S_market_signal_10,O_analyst_10,consume,460,{}
S_task,O_researcher_10,consume,800,{}
S_market_context,O_researcher_10,consume,800,{}
S_tool_schema,O_researcher_10,consume,800,{}
S_market_signal_10,O_researcher_10,consume,460,{}
O_analyst_10,S_analyst_10_view,produce,237,{}
O_researcher_10,S_research_10_evidence,produce,316,{}
S_task,O_trader_10,consume,800,{}
S_market_context,O_trader_10,consume,800,{}
S_analyst_10_view,O_trader_10,consume,237,{}
S_research_10_evidence,O_trader_10,consume,316,{}
O_trader_10,S_trade_10,produce,248,{}
