op_id,kind,role,input_states,output_states,deps,estimated_input_tokens,estimated_output_tokens,phase_profile,deterministic,criticality,ready_time,metadata
O_analyst_0,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_0""]","[""S_analyst_0_view""]",[],2845,0,prefill_heavy,False,1.1,0,{}
O_researcher_0,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_0""]","[""S_research_0_evidence""]",[],2845,0,prefill_heavy,False,1.0,0,{}
O_trader_0,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_0_view"", ""S_research_0_evidence""]","[""S_trade_0""]",[],2027,0,prefill_heavy,False,1.5,0,{}
O_risk_0,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_0""]","[""S_risk_0""]",[],2647,0,prefill_heavy,False,1.7,0,{}
O_analyst_1,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_1""]","[""S_analyst_1_view""]",[],2809,0,prefill_heavy,False,1.1,0,{}
O_researcher_1,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_1""]","[""S_research_1_evidence""]",[],2809,0,prefill_heavy,False,1.0,0,{}
O_trader_1,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_1_view"", ""S_research_1_evidence""]","[""S_trade_1""]",[],2074,0,prefill_heavy,False,1.5,0,{}
O_risk_1,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_1""]","[""S_risk_1""]",[],2649,0,prefill_heavy,False,1.7,0,{}
O_analyst_2,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_2""]","[""S_analyst_2_view""]",[],2838,0,prefill_heavy,False,1.1,0,{}
O_researcher_2,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_2""]","[""S_research_2_evidence""]",[],2838,0,prefill_heavy,False,1.0,0,{}
O_trader_2,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_2_view"", ""S_research_2_evidence""]","[""S_trade_2""]",[],2075,0,prefill_heavy,False,1.5,0,{}
O_risk_2,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_2""]","[""S_risk_2""]",[],2622,0,prefill_heavy,False,1.7,0,{}
O_analyst_3,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_3""]","[""S_analyst_3_view""]",[],2826,0,prefill_heavy,False,1.1,0,{}
O_researcher_3,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_3""]","[""S_research_3_evidence""]",[],2826,0,prefill_heavy,False,1.0,0,{}
