state_id,kind,token_size,kv_size_bytes,producer,consumers,lifetime_start,lifetime_end,materialized_form,location,static_hotness,dynamic_hotness,deterministic,metadata
S_task,task,800,819200,,"[""O_analyst_0"", ""O_researcher_0"", ""O_trader_0"", ""O_risk_0"", ""O_analyst_1"", ""O_researcher_1"", ""O_trader_1"", ""O_risk_1"", ""O_analyst_2"", ""O_researcher_2"", ""O_trader_2"", ""O_risk_2"", ""O_analyst_3"", ""O_researcher_3"", ""O_trader_3"", ""O_risk_3"", ""O_analyst_4"", ""O_researcher_4"", ""O_trader_4"", ""O_risk_4"", ""O_analyst_5"", ""O_researcher_5"", ""O_trader_5"", ""O_risk_5"", ""O_analyst_6"", ""O_researcher_6"", ""O_trader_6"", ""O_risk_6"", ""O_analyst_7"", ""O_researcher_7"", ""O_trader_7"", ""O_risk_7"", ""O_analyst_8"", ""O_researcher_8"", ""O_trader_8"", ""O_risk_8"", ""O_analyst_9"", ""O_researcher_9"", ""O_trader_9"", ""O_risk_9"", ""O_analyst_10"", ""O_researcher_10"", ""O_trader_10"", ""O_risk_10"", ""O_analyst_11"", ""O_researcher_11"", ""O_trader_11"", ""O_risk_11"", ""O_analyst_12"", ""O_researcher_12"", ""O_trader_12"", ""O_risk_12"", ""O_analyst_13"", ""O_researcher_13"", ""O_trader_13"", ""O_risk_13"", ""O_analyst_14"", ""O_researcher_14"", ""O_trader_14"", ""O_risk_14"", ""O_analyst_15"", ""O_researcher_15"", ""O_trader_15"", ""O_risk_15"", ""O_manager""]",0,64,text,,2232320.0,0.0,True,{}
S_market_context,market_context,800,819200,,"[""O_analyst_0"", ""O_researcher_0"", ""O_trader_0"", ""O_risk_0"", ""O_analyst_1"", ""O_researcher_1"", ""O_trader_1"", ""O_risk_1"", ""O_analyst_2"", ""O_researcher_2"", ""O_trader_2"", ""O_risk_2"", ""O_analyst_3"", ""O_researcher_3"", ""O_trader_3"", ""O_risk_3"", ""O_analyst_4"", ""O_researcher_4"", ""O_trader_4"", ""O_risk_4"", ""O_analyst_5"", ""O_researcher_5"", ""O_trader_5"", ""O_risk_5"", ""O_analyst_6"", ""O_researcher_6"", ""O_trader_6"", ""O_risk_6"", ""O_analyst_7"", ""O_researcher_7"", ""O_trader_7"", ""O_risk_7"", ""O_analyst_8"", ""O_researcher_8"", ""O_trader_8"", ""O_risk_8"", ""O_analyst_9"", ""O_researcher_9"", ""O_trader_9"", ""O_risk_9"", ""O_analyst_10"", ""O_researcher_10"", ""O_trader_10"", ""O_risk_10"", ""O_analyst_11"", ""O_researcher_11"", ""O_trader_11"", ""O_risk_11"", ""O_analyst_12"", ""O_researcher_12"", ""O_trader_12"", ""O_risk_12"", ""O_analyst_13"", ""O_researcher_13"", ""O_trader_13"", ""O_risk_13"", ""O_analyst_14"", ""O_researcher_14"", ""O_trader_14"", ""O_risk_14"", ""O_analyst_15"", ""O_researcher_15"", ""O_trader_15"", ""O_risk_15"", ""O_manager""]",0,64,text,,2232320.0,0.0,True,{}
S_risk_policy,risk_policy,800,819200,,"[""O_risk_0"", ""O_risk_1"", ""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7"", ""O_risk_8"", ""O_risk_9"", ""O_risk_10"", ""O_risk_11"", ""O_risk_12"", ""O_risk_13"", ""O_risk_14"", ""O_risk_15"", ""O_manager""]",0,64,text,,189440.0,0.0,True,{}
S_tool_schema,tool_schema,800,819200,,"[""O_researcher_0"", ""O_researcher_1"", ""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7"", ""O_researcher_8"", ""O_researcher_9"", ""O_researcher_10"", ""O_researcher_11"", ""O_researcher_12"", ""O_researcher_13"", ""O_researcher_14"", ""O_researcher_15""]",0,31,text,,96000.0,0.0,True,{}
S_role_instruction,role_instruction,800,819200,,"[""O_analyst_0"", ""O_analyst_1"", ""O_analyst_2"", ""O_analyst_3"", ""O_analyst_4"", ""O_analyst_5"", ""O_analyst_6"", ""O_analyst_7"", ""O_analyst_8"", ""O_analyst_9"", ""O_analyst_10"", ""O_analyst_11"", ""O_analyst_12"", ""O_analyst_13"", ""O_analyst_14"", ""O_analyst_15""]",0,15,text,,105600.00000000001,0.0,True,{}
S_market_signal_0,retrieval,445,455680,,"[""O_analyst_0"", ""O_researcher_0""]",0,16,inline,,467.25,0.0,True,{}
S_analyst_0_view,intermediate_summary,208,212992,O_analyst_0,"[""O_trader_0""]",0,32,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_research_0_evidence,retrieval_result,219,224256,O_researcher_0,"[""O_trader_0""]",16,32,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_trade_0,planner_output,247,252928,O_trader_0,"[""O_risk_0"", ""O_manager""]",32,64,output,,506.34999999999997,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_0,critic_feedback,210,215040,O_risk_0,"[""O_manager""]",48,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
