baseline,wave_id,time,operator_id,state_id,region_id,policy_before,policy_after,dynamic_hotness_before,dynamic_hotness_after,materialization_bytes,movement_byte_hop,cache_hit,dynamic_hot_state_probability,state_policy
WaferStateFlow,0,0.0,O_analyst_0,S_task,R_0_0,replicate,replicate,0.0,308.0,3200,0,False,0.0,static
WaferStateFlow,0,0.0,O_analyst_0,S_market_context,R_0_0,replicate,replicate,0.0,308.0,3200,0,False,0.0,static
WaferStateFlow,0,0.0,O_analyst_0,S_role_instruction,R_0_0,replicate,replicate,0.0,308.0,3200,0,False,0.0,static
WaferStateFlow,0,0.0,O_analyst_0,S_market_signal_0,R_0_0,inline,inline,0.0,171.32500000000002,1780,13670400,False,0.0,static
WaferStateFlow,0,0.0,O_analyst_1,S_task,R_0_31,replicate,replicate,308.0,508.20000000000005,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_1,S_market_context,R_0_31,replicate,replicate,308.0,508.20000000000005,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_1,S_role_instruction,R_0_31,replicate,replicate,308.0,508.20000000000005,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_1,S_market_signal_1,R_0_31,inline,inline,0.0,157.465,1636,13820928,False,0.0,static
WaferStateFlow,0,0.0,O_analyst_10,S_task,R_31_0,replicate,replicate,508.20000000000005,638.33,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_10,S_market_context,R_31_0,replicate,replicate,508.20000000000005,638.33,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_10,S_role_instruction,R_31_0,replicate,replicate,508.20000000000005,638.33,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_10,S_market_signal_10,R_31_0,inline,inline,0.0,177.10000000000002,1840,13660160,False,0.0,static
WaferStateFlow,0,0.0,O_analyst_11,S_task,R_31_31,replicate,replicate,638.33,722.9145000000001,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_11,S_market_context,R_31_31,replicate,replicate,638.33,722.9145000000001,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_11,S_role_instruction,R_31_31,replicate,replicate,638.33,722.9145000000001,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_11,S_market_signal_11,R_31_31,inline,inline,0.0,139.755,1452,11894784,False,0.0,static
WaferStateFlow,0,0.0,O_analyst_12,S_task,R_16_16,replicate,replicate,722.9145000000001,777.8944250000001,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_12,S_market_context,R_16_16,replicate,replicate,722.9145000000001,777.8944250000001,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_12,S_role_instruction,R_16_16,replicate,replicate,722.9145000000001,777.8944250000001,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_12,S_market_signal_12,R_16_16,inline,inline,0.0,157.07999999999998,1632,835584,False,0.0,static
WaferStateFlow,0,0.0,O_analyst_13,S_task,R_0_16,replicate,replicate,777.8944250000001,813.6313762500001,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_13,S_market_context,R_0_16,replicate,replicate,777.8944250000001,813.6313762500001,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_13,S_role_instruction,R_0_16,replicate,replicate,777.8944250000001,813.6313762500001,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_13,S_market_signal_13,R_0_16,inline,inline,0.0,149.76500000000001,1556,7170048,False,0.0,static
WaferStateFlow,0,0.0,O_analyst_14,S_task,R_16_0,replicate,replicate,813.6313762500001,836.8603945625001,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_14,S_market_context,R_16_0,replicate,replicate,813.6313762500001,836.8603945625001,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_14,S_role_instruction,R_16_0,replicate,replicate,813.6313762500001,836.8603945625001,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_14,S_market_signal_14,R_16_0,inline,inline,0.0,165.165,1716,6150144,False,0.0,static
