wave_id,baseline,scheduler,seed_state_id,operator_ids,region_ids,start_time,end_time,batch_size,materialization_bytes,movement_byte_hop,benefit,wait_penalty
0,flat_sequential,flat_sequential,,"[""O_analyst_0""]","[""R_0_0""]",0.0,5.7400064008890626,1,11380,11380,0.0,0.0
1,flat_sequential,flat_sequential,,"[""O_analyst_1""]","[""R_0_0""]",5.7400064008890626,11.408012801766876,1,11236,11236,0.0,0.0
2,flat_sequential,flat_sequential,,"[""O_analyst_10""]","[""R_0_0""]",11.408012801766876,17.178019202660625,1,11440,11440,0.0,0.0
3,flat_sequential,flat_sequential,,"[""O_analyst_11""]","[""R_0_0""]",17.178019202660625,22.754025603524063,1,11052,11052,0.0,0.0
4,flat_sequential,flat_sequential,,"[""O_analyst_12""]","[""R_0_0""]",22.754025603524063,28.420032004401563,1,11232,11232,0.0,0.0
5,flat_sequential,flat_sequential,,"[""O_analyst_13""]","[""R_0_0""]",28.420032004401563,34.048038405273125,1,11156,11156,0.0,0.0
6,flat_sequential,flat_sequential,,"[""O_analyst_14""]","[""R_0_0""]",34.048038405273125,39.75604480615719,1,11316,11316,0.0,0.0
7,flat_sequential,flat_sequential,,"[""O_analyst_15""]","[""R_0_0""]",39.75604480615719,45.45005120703907,1,11288,11288,0.0,0.0
8,flat_sequential,flat_sequential,,"[""O_analyst_2""]","[""R_0_0""]",45.45005120703907,51.17605760792594,1,11352,11352,0.0,0.0
9,flat_sequential,flat_sequential,,"[""O_analyst_3""]","[""R_0_0""]",51.17605760792594,56.87806400880906,1,11304,11304,0.0,0.0
10,flat_sequential,flat_sequential,,"[""O_analyst_4""]","[""R_0_0""]",56.87806400880906,62.50807040968094,1,11160,11160,0.0,0.0
11,flat_sequential,flat_sequential,,"[""O_analyst_5""]","[""R_0_0""]",62.50807040968094,68.33007681058281,1,11544,11544,0.0,0.0
12,flat_sequential,flat_sequential,,"[""O_analyst_6""]","[""R_0_0""]",68.33007681058281,73.7560832114228,1,10752,10752,0.0,0.0
13,flat_sequential,flat_sequential,,"[""O_analyst_7""]","[""R_0_0""]",73.7560832114228,79.37608961229311,1,11140,11140,0.0,0.0
14,flat_sequential,flat_sequential,,"[""O_analyst_8""]","[""R_0_0""]",79.37608961229311,84.91809601315124,1,10984,10984,0.0,0.0
15,flat_sequential,flat_sequential,,"[""O_analyst_9""]","[""R_0_0""]",84.91809601315124,90.43810241400593,1,10940,10940,0.0,0.0
16,flat_sequential,flat_sequential,,"[""O_researcher_0""]","[""R_0_0""]",90.43810241400593,96.17810881489498,1,11380,11380,0.0,0.0
17,flat_sequential,flat_sequential,,"[""O_researcher_1""]","[""R_0_0""]",96.17810881489498,101.8461152157728,1,11236,11236,0.0,0.0
18,flat_sequential,flat_sequential,,"[""O_researcher_10""]","[""R_0_0""]",101.8461152157728,107.61612161666655,1,11440,11440,0.0,0.0
19,flat_sequential,flat_sequential,,"[""O_researcher_11""]","[""R_0_0""]",107.61612161666655,113.19212801752998,1,11052,11052,0.0,0.0
20,flat_sequential,flat_sequential,,"[""O_researcher_12""]","[""R_0_0""]",113.19212801752998,118.85813441840749,1,11232,11232,0.0,0.0
21,flat_sequential,flat_sequential,,"[""O_researcher_13""]","[""R_0_0""]",118.85813441840749,124.48614081927906,1,11156,11156,0.0,0.0
22,flat_sequential,flat_sequential,,"[""O_researcher_14""]","[""R_0_0""]",124.48614081927906,130.19414722016313,1,11316,11316,0.0,0.0
23,flat_sequential,flat_sequential,,"[""O_researcher_15""]","[""R_0_0""]",130.19414722016313,135.888153621045,1,11288,11288,0.0,0.0
24,flat_sequential,flat_sequential,,"[""O_researcher_2""]","[""R_0_0""]",135.888153621045,141.6141600219319,1,11352,11352,0.0,0.0
25,flat_sequential,flat_sequential,,"[""O_researcher_3""]","[""R_0_0""]",141.6141600219319,147.31616642281503,1,11304,11304,0.0,0.0
26,flat_sequential,flat_sequential,,"[""O_researcher_4""]","[""R_0_0""]",147.31616642281503,152.9461728236869,1,11160,11160,0.0,0.0
27,flat_sequential,flat_sequential,,"[""O_researcher_5""]","[""R_0_0""]",152.9461728236869,158.76817922458878,1,11544,11544,0.0,0.0
28,flat_sequential,flat_sequential,,"[""O_researcher_6""]","[""R_0_0""]",158.76817922458878,164.1941856254288,1,10752,10752,0.0,0.0
29,flat_sequential,flat_sequential,,"[""O_researcher_7""]","[""R_0_0""]",164.1941856254288,169.8141920262991,1,11140,11140,0.0,0.0
30,flat_sequential,flat_sequential,,"[""O_researcher_8""]","[""R_0_0""]",169.8141920262991,175.35619842715724,1,10984,10984,0.0,0.0
31,flat_sequential,flat_sequential,,"[""O_researcher_9""]","[""R_0_0""]",175.35619842715724,180.87620482801194,1,10940,10940,0.0,0.0
32,flat_sequential,flat_sequential,,"[""O_trader_0""]","[""R_0_0""]",180.87620482801194,184.98021122864537,1,8108,8108,0.0,0.0
33,flat_sequential,flat_sequential,,"[""O_trader_1""]","[""R_0_0""]",184.98021122864537,189.1782176292935,1,8296,8296,0.0,0.0
34,flat_sequential,flat_sequential,,"[""O_trader_10""]","[""R_0_0""]",189.1782176292935,193.5342240299663,1,8612,8612,0.0,0.0
35,flat_sequential,flat_sequential,,"[""O_trader_11""]","[""R_0_0""]",193.5342240299663,197.77023043062036,1,8372,8372,0.0,0.0
