src,dst,edge_type,token_size,metadata
S_task,O_refine_0,consume,68,{}
S_rubric,O_refine_0,consume,66,{}
S_global_context,O_refine_0,consume,66,{}
S_chunk_0,O_refine_0,consume,230,{}
O_refine_0,S_running_summary_0,produce,293,{}
S_task,O_refine_1,consume,68,{}
S_rubric,O_refine_1,consume,66,{}
S_global_context,O_refine_1,consume,66,{}
S_chunk_1,O_refine_1,consume,199,{}
S_running_summary_0,O_refine_1,consume,293,{}
O_refine_1,S_running_summary_1,produce,285,{}
S_task,O_refine_2,consume,68,{}
S_rubric,O_refine_2,consume,66,{}
S_global_context,O_refine_2,consume,66,{}
S_chunk_2,O_refine_2,consume,175,{}
S_running_summary_1,O_refine_2,consume,285,{}
O_refine_2,S_running_summary_2,produce,206,{}
S_task,O_refine_3,consume,68,{}
S_rubric,O_refine_3,consume,66,{}
S_global_context,O_refine_3,consume,66,{}
S_chunk_3,O_refine_3,consume,244,{}
S_running_summary_2,O_refine_3,consume,206,{}
O_refine_3,S_running_summary_3,produce,260,{}
