state_id,policy,expected_saved_cost,materialization_cost,storage_cost,movement_cost,contention_cost,reason,baseline
S_task,inline,470.01599999999996,1.088,0.69632,1.39264,1.39264,low fanout or low hotness,flat_sequential
S_rubric,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,flat_sequential
S_global_context,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,flat_sequential
S_chunk_0,inline,0.0,0.92,2.3552000000000004,4.710400000000001,1.1776000000000002,low fanout or low hotness,flat_sequential
S_running_summary_0,inline,0.0,1.172,3.0003200000000003,6.000640000000001,1.5001600000000002,low fanout or low hotness,flat_sequential
S_chunk_1,inline,0.0,0.796,2.03776,4.07552,1.01888,low fanout or low hotness,flat_sequential
S_running_summary_1,inline,0.0,1.1400000000000001,2.9184,5.8368,1.4592,low fanout or low hotness,flat_sequential
S_chunk_2,inline,0.0,0.7000000000000001,1.792,3.584,0.896,low fanout or low hotness,flat_sequential
S_running_summary_2,inline,0.0,0.8240000000000001,2.10944,4.21888,1.05472,low fanout or low hotness,flat_sequential
S_chunk_3,inline,0.0,0.976,2.4985600000000003,4.997120000000001,1.2492800000000002,low fanout or low hotness,flat_sequential
S_running_summary_3,inline,0.0,1.04,2.6624000000000003,5.324800000000001,0.0,low fanout or low hotness,flat_sequential
S_task,inline,470.01599999999996,1.088,0.69632,1.39264,1.39264,low fanout or low hotness,request_parallel_gpu_like
S_rubric,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,request_parallel_gpu_like
S_global_context,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,request_parallel_gpu_like
S_chunk_0,inline,0.0,0.92,2.3552000000000004,4.710400000000001,1.1776000000000002,low fanout or low hotness,request_parallel_gpu_like
S_running_summary_0,inline,0.0,1.172,3.0003200000000003,6.000640000000001,1.5001600000000002,low fanout or low hotness,request_parallel_gpu_like
S_chunk_1,inline,0.0,0.796,2.03776,4.07552,1.01888,low fanout or low hotness,request_parallel_gpu_like
S_running_summary_1,inline,0.0,1.1400000000000001,2.9184,5.8368,1.4592,low fanout or low hotness,request_parallel_gpu_like
S_chunk_2,inline,0.0,0.7000000000000001,1.792,3.584,0.896,low fanout or low hotness,request_parallel_gpu_like
S_running_summary_2,inline,0.0,0.8240000000000001,2.10944,4.21888,1.05472,low fanout or low hotness,request_parallel_gpu_like
S_chunk_3,inline,0.0,0.976,2.4985600000000003,4.997120000000001,1.2492800000000002,low fanout or low hotness,request_parallel_gpu_like
S_running_summary_3,inline,0.0,1.04,2.6624000000000003,5.324800000000001,0.0,low fanout or low hotness,request_parallel_gpu_like
S_task,inline,470.01599999999996,1.088,0.69632,1.39264,1.39264,low fanout or low hotness,prefix_cache_like
S_rubric,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,prefix_cache_like
S_global_context,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,prefix_cache_like
S_chunk_0,inline,0.0,0.92,2.3552000000000004,4.710400000000001,1.1776000000000002,low fanout or low hotness,prefix_cache_like
S_running_summary_0,inline,0.0,1.172,3.0003200000000003,6.000640000000001,1.5001600000000002,low fanout or low hotness,prefix_cache_like
S_chunk_1,inline,0.0,0.796,2.03776,4.07552,1.01888,low fanout or low hotness,prefix_cache_like
S_running_summary_1,inline,0.0,1.1400000000000001,2.9184,5.8368,1.4592,low fanout or low hotness,prefix_cache_like
S_chunk_2,inline,0.0,0.7000000000000001,1.792,3.584,0.896,low fanout or low hotness,prefix_cache_like
S_running_summary_2,inline,0.0,0.8240000000000001,2.10944,4.21888,1.05472,low fanout or low hotness,prefix_cache_like
S_chunk_3,inline,0.0,0.976,2.4985600000000003,4.997120000000001,1.2492800000000002,low fanout or low hotness,prefix_cache_like
S_running_summary_3,inline,0.0,1.04,2.6624000000000003,5.324800000000001,0.0,low fanout or low hotness,prefix_cache_like
S_task,inline,470.01599999999996,1.088,0.69632,1.39264,1.39264,low fanout or low hotness,helium_like_operator_schedule
S_rubric,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,helium_like_operator_schedule
S_global_context,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,helium_like_operator_schedule
S_chunk_0,inline,0.0,0.92,2.3552000000000004,4.710400000000001,1.1776000000000002,low fanout or low hotness,helium_like_operator_schedule
S_running_summary_0,inline,0.0,1.172,3.0003200000000003,6.000640000000001,1.5001600000000002,low fanout or low hotness,helium_like_operator_schedule
S_chunk_1,inline,0.0,0.796,2.03776,4.07552,1.01888,low fanout or low hotness,helium_like_operator_schedule
S_running_summary_1,inline,0.0,1.1400000000000001,2.9184,5.8368,1.4592,low fanout or low hotness,helium_like_operator_schedule
S_chunk_2,inline,0.0,0.7000000000000001,1.792,3.584,0.896,low fanout or low hotness,helium_like_operator_schedule
S_running_summary_2,inline,0.0,0.8240000000000001,2.10944,4.21888,1.05472,low fanout or low hotness,helium_like_operator_schedule
S_chunk_3,inline,0.0,0.976,2.4985600000000003,4.997120000000001,1.2492800000000002,low fanout or low hotness,helium_like_operator_schedule
S_running_summary_3,inline,0.0,1.04,2.6624000000000003,5.324800000000001,0.0,low fanout or low hotness,helium_like_operator_schedule
S_task,inline,470.01599999999996,1.088,0.69632,1.39264,1.39264,low fanout or low hotness,kvflow_like_future_eviction
S_rubric,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,kvflow_like_future_eviction
S_global_context,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,kvflow_like_future_eviction
S_chunk_0,inline,0.0,0.92,2.3552000000000004,4.710400000000001,1.1776000000000002,low fanout or low hotness,kvflow_like_future_eviction
S_running_summary_0,inline,0.0,1.172,3.0003200000000003,6.000640000000001,1.5001600000000002,low fanout or low hotness,kvflow_like_future_eviction
S_chunk_1,inline,0.0,0.796,2.03776,4.07552,1.01888,low fanout or low hotness,kvflow_like_future_eviction
S_running_summary_1,inline,0.0,1.1400000000000001,2.9184,5.8368,1.4592,low fanout or low hotness,kvflow_like_future_eviction
S_chunk_2,inline,0.0,0.7000000000000001,1.792,3.584,0.896,low fanout or low hotness,kvflow_like_future_eviction
S_running_summary_2,inline,0.0,0.8240000000000001,2.10944,4.21888,1.05472,low fanout or low hotness,kvflow_like_future_eviction
S_chunk_3,inline,0.0,0.976,2.4985600000000003,4.997120000000001,1.2492800000000002,low fanout or low hotness,kvflow_like_future_eviction
S_running_summary_3,inline,0.0,1.04,2.6624000000000003,5.324800000000001,0.0,low fanout or low hotness,kvflow_like_future_eviction
S_task,inline,470.01599999999996,1.088,0.69632,1.39264,1.39264,low fanout or low hotness,wafer_request_centric
S_rubric,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,wafer_request_centric
S_global_context,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,wafer_request_centric
S_chunk_0,inline,0.0,0.92,2.3552000000000004,4.710400000000001,1.1776000000000002,low fanout or low hotness,wafer_request_centric
S_running_summary_0,inline,0.0,1.172,3.0003200000000003,6.000640000000001,1.5001600000000002,low fanout or low hotness,wafer_request_centric
S_chunk_1,inline,0.0,0.796,2.03776,4.07552,1.01888,low fanout or low hotness,wafer_request_centric
S_running_summary_1,inline,0.0,1.1400000000000001,2.9184,5.8368,1.4592,low fanout or low hotness,wafer_request_centric
S_chunk_2,inline,0.0,0.7000000000000001,1.792,3.584,0.896,low fanout or low hotness,wafer_request_centric
S_running_summary_2,inline,0.0,0.8240000000000001,2.10944,4.21888,1.05472,low fanout or low hotness,wafer_request_centric
S_chunk_3,inline,0.0,0.976,2.4985600000000003,4.997120000000001,1.2492800000000002,low fanout or low hotness,wafer_request_centric
S_running_summary_3,inline,0.0,1.04,2.6624000000000003,5.324800000000001,0.0,low fanout or low hotness,wafer_request_centric
S_task,inline,470.01599999999996,1.088,0.69632,1.39264,1.39264,low fanout or low hotness,replicate_all_hot_states
S_rubric,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,replicate_all_hot_states
S_global_context,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,replicate_all_hot_states
S_chunk_0,inline,0.0,0.92,2.3552000000000004,4.710400000000001,1.1776000000000002,low fanout or low hotness,replicate_all_hot_states
S_running_summary_0,inline,0.0,1.172,3.0003200000000003,6.000640000000001,1.5001600000000002,low fanout or low hotness,replicate_all_hot_states
S_chunk_1,inline,0.0,0.796,2.03776,4.07552,1.01888,low fanout or low hotness,replicate_all_hot_states
S_running_summary_1,inline,0.0,1.1400000000000001,2.9184,5.8368,1.4592,low fanout or low hotness,replicate_all_hot_states
S_chunk_2,inline,0.0,0.7000000000000001,1.792,3.584,0.896,low fanout or low hotness,replicate_all_hot_states
S_running_summary_2,inline,0.0,0.8240000000000001,2.10944,4.21888,1.05472,low fanout or low hotness,replicate_all_hot_states
S_chunk_3,inline,0.0,0.976,2.4985600000000003,4.997120000000001,1.2492800000000002,low fanout or low hotness,replicate_all_hot_states
S_running_summary_3,inline,0.0,1.04,2.6624000000000003,5.324800000000001,0.0,low fanout or low hotness,replicate_all_hot_states
S_task,inline,470.01599999999996,1.088,0.69632,1.39264,1.39264,low fanout or low hotness,single_pin_hot_state
S_rubric,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,single_pin_hot_state
S_global_context,inline,456.19199999999995,1.056,0.6758400000000001,1.3516800000000002,1.3516800000000002,low fanout or low hotness,single_pin_hot_state
S_chunk_0,inline,0.0,0.92,2.3552000000000004,4.710400000000001,1.1776000000000002,low fanout or low hotness,single_pin_hot_state
S_running_summary_0,inline,0.0,1.172,3.0003200000000003,6.000640000000001,1.5001600000000002,low fanout or low hotness,single_pin_hot_state
