state_id,kind,token_size,kv_size_bytes,producer,consumers,lifetime_start,lifetime_end,materialized_form,location,prefix_compatible,kv_cacheable,prompt_position,static_hotness,dynamic_hotness,deterministic,metadata
S_task,task,68,69632,,"[""O_refine_0"", ""O_refine_1"", ""O_refine_2"", ""O_refine_3""]",0,3,text,,True,True,0,469.2,81.68182977849969,True,{}
S_rubric,rubric,66,67584,,"[""O_refine_0"", ""O_refine_1"", ""O_refine_2"", ""O_refine_3""]",0,3,text,,True,True,1,455.4,79.27942302030853,True,{}
S_global_context,global_context,66,67584,,"[""O_refine_0"", ""O_refine_1"", ""O_refine_2"", ""O_refine_3""]",0,3,text,,True,True,2,455.4,79.27942302030853,True,{}
S_chunk_0,document,230,235520,,"[""O_refine_0""]",0,0,inline,,False,False,,0.0,225.23626004728516,True,{}
S_running_summary_0,intermediate_summary,293,300032,O_refine_0,"[""O_refine_1""]",0,1,output,,False,False,,0.0,315.6245504923478,False,"{""dynamic_hot_candidate"": false}"
S_chunk_1,document,199,203776,,"[""O_refine_1""]",0,1,inline,,False,False,,0.0,214.36616227978573,True,{}
S_running_summary_1,intermediate_summary,285,291840,O_refine_1,"[""O_refine_2""]",1,2,output,,False,False,,0.0,334.9165258094414,False,"{""dynamic_hot_candidate"": false}"
S_chunk_2,document,175,179200,,"[""O_refine_2""]",0,2,inline,,False,False,,0.0,205.65049830404297,True,{}
S_running_summary_2,intermediate_summary,206,210944,O_refine_2,"[""O_refine_3""]",2,3,output,,False,False,,0.0,262.2533497420129,False,"{""dynamic_hot_candidate"": true}"
S_chunk_3,document,244,249856,,"[""O_refine_3""]",0,3,inline,,False,False,,0.0,310.6301812478211,True,{}
S_running_summary_3,intermediate_summary,260,266240,O_refine_3,[],3,3,output,,False,False,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
