wave_id,baseline,scheduler,seed_state_id,operator_ids,region_ids,start_time,end_time,batch_size,materialization_bytes,movement_byte_hop,max_link_load_delta,benefit,wait_penalty
0,flat_sequential,flat_sequential,,"[""O_refine_0""]","[""R_0_0""]",0.0,0.9100064001343751,1,1720,1720,0,0.0,0.0
1,flat_sequential,flat_sequential,,"[""O_refine_1""]","[""R_0_0""]",0.9100064001343751,2.344012800350625,1,2768,2768,0,0.0,0.0
2,flat_sequential,flat_sequential,,"[""O_refine_2""]","[""R_0_0""]",2.344012800350625,3.7140192005568755,1,2640,2640,0,0.0,0.0
3,flat_sequential,flat_sequential,,"[""O_refine_3""]","[""R_0_0""]",3.7140192005568755,5.064025600760001,1,2600,2600,0,0.0,0.0
0,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_refine_0""]","[""R_0_0""]",0.0,0.9100064001343751,1,1720,1720,0,1.0,0.0
1,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_refine_1""]","[""R_0_0""]",0.9100064001343751,2.3440128002881253,1,1968,1968,0,1.0,0.0
2,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_refine_2""]","[""R_0_0""]",2.3440128002881253,3.7140192004318755,1,1840,1840,0,1.0,0.0
3,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_refine_3""]","[""R_0_0""]",3.7140192004318755,5.064025600572501,1,1800,1800,0,1.0,0.0
0,prefix_cache_like,prefix_cache_like,,"[""O_refine_0""]","[""R_0_0""]",0.0,0.9100064001343751,1,1720,1720,0,1.0,0.0
1,prefix_cache_like,prefix_cache_like,,"[""O_refine_1""]","[""R_0_0""]",0.9100064001343751,2.3440128002881253,1,1968,1968,0,1.0,0.0
2,prefix_cache_like,prefix_cache_like,,"[""O_refine_2""]","[""R_0_0""]",2.3440128002881253,3.7140192004318755,1,1840,1840,0,1.0,0.0
3,prefix_cache_like,prefix_cache_like,,"[""O_refine_3""]","[""R_0_0""]",3.7140192004318755,5.064025600572501,1,1800,1800,0,1.0,0.0
0,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_refine_0""]","[""R_0_0""]",0.0,0.9100064001343751,1,1720,1720,0,1.0,0.0
1,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_refine_1""]","[""R_0_0""]",0.9100064001343751,2.3440128002881253,1,1968,1968,0,1.0,0.0
2,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_refine_2""]","[""R_0_0""]",2.3440128002881253,3.7140192004318755,1,1840,1840,0,1.0,0.0
3,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_refine_3""]","[""R_0_0""]",3.7140192004318755,5.064025600572501,1,1800,1800,0,1.0,0.0
0,kvflow_like_future_eviction,operator_centric,,"[""O_refine_0""]","[""R_0_0""]",0.0,0.9100064001343751,1,1720,1720,0,1.0,0.0
1,kvflow_like_future_eviction,operator_centric,,"[""O_refine_1""]","[""R_0_0""]",0.9100064001343751,2.3440128002881253,1,1968,1968,0,1.0,0.0
2,kvflow_like_future_eviction,operator_centric,,"[""O_refine_2""]","[""R_0_0""]",2.3440128002881253,3.7140192004318755,1,1840,1840,0,1.0,0.0
3,kvflow_like_future_eviction,operator_centric,,"[""O_refine_3""]","[""R_0_0""]",3.7140192004318755,5.064025600572501,1,1800,1800,0,1.0,0.0
0,wafer_request_centric,wafer_request_centric,,"[""O_refine_0""]","[""R_0_0""]",0.0,0.91,1,1720,0,0,1.0,0.0
1,wafer_request_centric,wafer_request_centric,,"[""O_refine_1""]","[""R_0_0""]",0.91,2.3440000000000003,1,1968,0,0,1.0,0.0
2,wafer_request_centric,wafer_request_centric,,"[""O_refine_2""]","[""R_0_0""]",2.3440000000000003,3.7140000000000004,1,1840,0,0,1.0,0.0
3,wafer_request_centric,wafer_request_centric,,"[""O_refine_3""]","[""R_0_0""]",3.7140000000000004,5.064,1,1800,0,0,1.0,0.0
