op_id,kind,role,input_states,output_states,deps,estimated_input_tokens,estimated_output_tokens,phase_profile,deterministic,criticality,ready_time,metadata
O_analyst_0,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_0""]","[""S_analyst_0_view""]",[],7645,0,prefill_heavy,False,1.1,0,{}
O_researcher_0,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_0""]","[""S_research_0_evidence""]",[],7645,0,prefill_heavy,False,1.0,0,{}
O_trader_0,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_0_view"", ""S_research_0_evidence""]","[""S_trade_0""]",[],5227,0,prefill_heavy,False,1.5,0,{}
O_risk_0,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_0""]","[""S_risk_0""]",[],7447,0,prefill_heavy,False,1.7,0,{}
O_analyst_1,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_1""]","[""S_analyst_1_view""]",[],7609,0,prefill_heavy,False,1.1,0,{}
O_researcher_1,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_1""]","[""S_research_1_evidence""]",[],7609,0,prefill_heavy,False,1.0,0,{}
O_trader_1,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_1_view"", ""S_research_1_evidence""]","[""S_trade_1""]",[],5274,0,prefill_heavy,False,1.5,0,{}
O_risk_1,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_1""]","[""S_risk_1""]",[],7449,0,prefill_heavy,False,1.7,0,{}
O_analyst_2,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_2""]","[""S_analyst_2_view""]",[],7638,0,prefill_heavy,False,1.1,0,{}
O_researcher_2,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_2""]","[""S_research_2_evidence""]",[],7638,0,prefill_heavy,False,1.0,0,{}
O_trader_2,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_2_view"", ""S_research_2_evidence""]","[""S_trade_2""]",[],5275,0,prefill_heavy,False,1.5,0,{}
O_risk_2,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_2""]","[""S_risk_2""]",[],7422,0,prefill_heavy,False,1.7,0,{}
O_analyst_3,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_3""]","[""S_analyst_3_view""]",[],7626,0,prefill_heavy,False,1.1,0,{}
O_researcher_3,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_3""]","[""S_research_3_evidence""]",[],7626,0,prefill_heavy,False,1.0,0,{}
O_trader_3,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_3_view"", ""S_research_3_evidence""]","[""S_trade_3""]",[],5325,0,prefill_heavy,False,1.5,0,{}
