state_id,kind,token_size,kv_size_bytes,producer,consumers,lifetime_start,lifetime_end,materialized_form,location,prefix_compatible,kv_cacheable,prompt_position,static_hotness,dynamic_hotness,deterministic,metadata
S_task,task,2400,2457600,,"[""O_analyst_0"", ""O_researcher_0"", ""O_trader_0"", ""O_risk_0"", ""O_analyst_1"", ""O_researcher_1"", ""O_trader_1"", ""O_risk_1"", ""O_analyst_2"", ""O_researcher_2"", ""O_trader_2"", ""O_risk_2"", ""O_analyst_3"", ""O_researcher_3"", ""O_trader_3"", ""O_risk_3"", ""O_analyst_4"", ""O_researcher_4"", ""O_trader_4"", ""O_risk_4"", ""O_analyst_5"", ""O_researcher_5"", ""O_trader_5"", ""O_risk_5"", ""O_analyst_6"", ""O_researcher_6"", ""O_trader_6"", ""O_risk_6"", ""O_analyst_7"", ""O_researcher_7"", ""O_trader_7"", ""O_risk_7"", ""O_manager""]",0,32,text,,True,True,0,1720320.0,4657.272711522687,True,{}
S_market_context,market_context,2400,2457600,,"[""O_analyst_0"", ""O_researcher_0"", ""O_trader_0"", ""O_risk_0"", ""O_analyst_1"", ""O_researcher_1"", ""O_trader_1"", ""O_risk_1"", ""O_analyst_2"", ""O_researcher_2"", ""O_trader_2"", ""O_risk_2"", ""O_analyst_3"", ""O_researcher_3"", ""O_trader_3"", ""O_risk_3"", ""O_analyst_4"", ""O_researcher_4"", ""O_trader_4"", ""O_risk_4"", ""O_analyst_5"", ""O_researcher_5"", ""O_trader_5"", ""O_risk_5"", ""O_analyst_6"", ""O_researcher_6"", ""O_trader_6"", ""O_risk_6"", ""O_analyst_7"", ""O_researcher_7"", ""O_trader_7"", ""O_risk_7"", ""O_manager""]",0,32,text,,True,True,1,1720320.0,4657.272711522687,True,{}
S_risk_policy,risk_policy,2400,2457600,,"[""O_risk_0"", ""O_risk_1"", ""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7"", ""O_manager""]",0,32,text,,True,True,2,153600.0,4680.435320538246,True,{}
S_tool_schema,tool_schema,2400,2457600,,"[""O_researcher_0"", ""O_researcher_1"", ""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7""]",0,15,text,,True,True,3,67200.0,2399.9975257780566,True,{}
S_role_instruction,role_instruction,2400,2457600,,"[""O_analyst_0"", ""O_analyst_1"", ""O_analyst_2"", ""O_analyst_3"", ""O_analyst_4"", ""O_analyst_5"", ""O_analyst_6"", ""O_analyst_7""]",0,7,text,,True,True,4,73920.0,2639.997278355862,True,{}
S_market_signal_0,retrieval,445,455680,,"[""O_analyst_0"", ""O_researcher_0""]",0,8,inline,,False,False,,467.25,447.7920148437696,True,{}
S_analyst_0_view,intermediate_summary,208,212992,O_analyst_0,"[""O_trader_0""]",0,16,output,,False,False,,0.0,256.30604999999997,False,"{""dynamic_hot_candidate"": false}"
S_research_0_evidence,retrieval_result,219,224256,O_researcher_0,"[""O_trader_0""]",8,16,output,,False,False,,0.0,269.86069687500003,False,"{""dynamic_hot_candidate"": false}"
S_trade_0,planner_output,247,252928,O_trader_0,"[""O_risk_0"", ""O_manager""]",16,32,output,,False,False,,506.34999999999997,507.96897169164447,False,"{""dynamic_hot_candidate"": false}"
S_risk_0,critic_feedback,210,215040,O_risk_0,"[""O_manager""]",24,32,output,,False,False,,0.0,414.03284999999994,False,"{""dynamic_hot_candidate"": false}"
