state_id,kind,token_size,kv_size_bytes,consumer_count,producer,token_weighted_state_fanout,static_hotness,dynamic_hotness,dynamic_hot_candidate,lifetime_start,lifetime_end,rank,hotness,cumulative_hotness,cumulative_hotness_fraction
S_task,task,1334,1366016,8,,9338,50425.200000000004,0.0,False,0,7,1,50425.200000000004,50425.200000000004,0.3335
S_rubric,rubric,1333,1364992,8,,9331,50387.4,0.0,False,0,7,2,50387.4,100812.6,0.6667500000000001
S_global_context,global_context,1333,1364992,8,,9331,50387.4,0.0,False,0,7,3,50387.4,151200.0,1.0
S_chunk_0,document,890,911360,1,,0,0.0,0.0,False,0,0,4,0.0,151200.0,1.0
S_chunk_6,document,876,897024,1,,0,0.0,0.0,False,0,6,5,0.0,151200.0,1.0
S_chunk_2,document,817,836608,1,,0,0.0,0.0,False,0,2,6,0.0,151200.0,1.0
S_chunk_5,document,799,818176,1,,0,0.0,0.0,False,0,5,7,0.0,151200.0,1.0
S_chunk_1,document,793,812032,1,,0,0.0,0.0,False,0,1,8,0.0,151200.0,1.0
S_chunk_7,document,774,792576,1,,0,0.0,0.0,False,0,7,9,0.0,151200.0,1.0
S_chunk_4,document,767,785408,1,,0,0.0,0.0,False,0,4,10,0.0,151200.0,1.0
S_chunk_3,document,618,632832,1,,0,0.0,0.0,False,0,3,11,0.0,151200.0,1.0
S_running_summary_5,intermediate_summary,315,322560,1,O_refine_5,0,0.0,0.0,False,5,6,12,0.0,151200.0,1.0
S_running_summary_4,intermediate_summary,299,306176,1,O_refine_4,0,0.0,0.0,False,4,5,13,0.0,151200.0,1.0
S_running_summary_1,intermediate_summary,285,291840,1,O_refine_1,0,0.0,0.0,False,1,2,14,0.0,151200.0,1.0
S_running_summary_2,intermediate_summary,225,230400,1,O_refine_2,0,0.0,0.0,False,2,3,15,0.0,151200.0,1.0
S_running_summary_3,intermediate_summary,217,222208,1,O_refine_3,0,0.0,0.0,False,3,4,16,0.0,151200.0,1.0
S_running_summary_0,intermediate_summary,208,212992,1,O_refine_0,0,0.0,0.0,False,0,1,17,0.0,151200.0,1.0
S_running_summary_6,intermediate_summary,189,193536,1,O_refine_6,0,0.0,0.0,False,6,7,18,0.0,151200.0,1.0
S_running_summary_7,intermediate_summary,186,190464,0,O_refine_7,0,0.0,0.0,False,7,7,19,0.0,151200.0,1.0
