state_id,kind,token_size,kv_size_bytes,producer,consumers,lifetime_start,lifetime_end,materialized_form,location,static_hotness,dynamic_hotness,deterministic,metadata
S_task,task,1334,1366016,,"[""O_refine_0"", ""O_refine_1"", ""O_refine_2"", ""O_refine_3"", ""O_refine_4"", ""O_refine_5"", ""O_refine_6"", ""O_refine_7""]",0,7,text,,50425.200000000004,0.0,True,{}
S_rubric,rubric,1333,1364992,,"[""O_refine_0"", ""O_refine_1"", ""O_refine_2"", ""O_refine_3"", ""O_refine_4"", ""O_refine_5"", ""O_refine_6"", ""O_refine_7""]",0,7,text,,50387.4,0.0,True,{}
S_global_context,global_context,1333,1364992,,"[""O_refine_0"", ""O_refine_1"", ""O_refine_2"", ""O_refine_3"", ""O_refine_4"", ""O_refine_5"", ""O_refine_6"", ""O_refine_7""]",0,7,text,,50387.4,0.0,True,{}
S_chunk_0,document,890,911360,,"[""O_refine_0""]",0,0,inline,,0.0,0.0,True,{}
S_running_summary_0,intermediate_summary,208,212992,O_refine_0,"[""O_refine_1""]",0,1,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_chunk_1,document,793,812032,,"[""O_refine_1""]",0,1,inline,,0.0,0.0,True,{}
S_running_summary_1,intermediate_summary,285,291840,O_refine_1,"[""O_refine_2""]",1,2,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_chunk_2,document,817,836608,,"[""O_refine_2""]",0,2,inline,,0.0,0.0,True,{}
S_running_summary_2,intermediate_summary,225,230400,O_refine_2,"[""O_refine_3""]",2,3,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_chunk_3,document,618,632832,,"[""O_refine_3""]",0,3,inline,,0.0,0.0,True,{}
S_running_summary_3,intermediate_summary,217,222208,O_refine_3,"[""O_refine_4""]",3,4,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_chunk_4,document,767,785408,,"[""O_refine_4""]",0,4,inline,,0.0,0.0,True,{}
S_running_summary_4,intermediate_summary,299,306176,O_refine_4,"[""O_refine_5""]",4,5,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_chunk_5,document,799,818176,,"[""O_refine_5""]",0,5,inline,,0.0,0.0,True,{}
S_running_summary_5,intermediate_summary,315,322560,O_refine_5,"[""O_refine_6""]",5,6,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_chunk_6,document,876,897024,,"[""O_refine_6""]",0,6,inline,,0.0,0.0,True,{}
S_running_summary_6,intermediate_summary,189,193536,O_refine_6,"[""O_refine_7""]",6,7,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_chunk_7,document,774,792576,,"[""O_refine_7""]",0,7,inline,,0.0,0.0,True,{}
S_running_summary_7,intermediate_summary,186,190464,O_refine_7,[],7,7,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
