state_id,kind,token_size,kv_size_bytes,producer,consumers,lifetime_start,lifetime_end,materialized_form,location,static_hotness,dynamic_hotness,deterministic,metadata
S_task,task,1000,1024000,,"[""O_expert_0"", ""O_expert_1"", ""O_expert_2"", ""O_expert_3"", ""O_summarizer""]",0,4,text,,12000.0,0.0,True,{}
S_document,document,1000,1024000,,"[""O_expert_0"", ""O_expert_1"", ""O_expert_2"", ""O_expert_3""]",0,3,text,,6000.0,0.0,True,{}
S_rubric,rubric,1000,1024000,,"[""O_expert_0"", ""O_expert_1"", ""O_expert_2"", ""O_expert_3"", ""O_summarizer""]",0,4,text,,12000.0,0.0,True,{}
S_tool_schema,tool_schema,1000,1024000,,[],0,0,text,,0.0,0.0,True,{}
S_unique_expert_0,unique_context,445,455680,,"[""O_expert_0""]",0,0,inline,,0.0,0.0,True,{}
S_expert_0_summary,intermediate_summary,208,212992,O_expert_0,"[""O_summarizer""]",0,4,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_unique_expert_1,unique_context,396,405504,,"[""O_expert_1""]",0,1,inline,,0.0,0.0,True,{}
S_expert_1_summary,intermediate_summary,285,291840,O_expert_1,"[""O_summarizer""]",1,4,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_unique_expert_2,unique_context,408,417792,,"[""O_expert_2""]",0,2,inline,,0.0,0.0,True,{}
S_expert_2_summary,intermediate_summary,225,230400,O_expert_2,"[""O_summarizer""]",2,4,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_unique_expert_3,unique_context,309,316416,,"[""O_expert_3""]",0,3,inline,,0.0,0.0,True,{}
S_expert_3_summary,intermediate_summary,217,222208,O_expert_3,"[""O_summarizer""]",3,4,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_final_summary,output,251,257024,O_summarizer,[],4,4,output,,0.0,0.0,True,"{""dynamic_hot_candidate"": false}"
