src,dst,edge_type,token_size,metadata
S_task,O_chain_0_0,consume,1000,{}
S_document,O_chain_0_0,consume,1000,{}
S_rubric,O_chain_0_0,consume,1000,{}
S_chain_0_context,O_chain_0_0,consume,445,{}
O_chain_0_0,S_chain_0_0_out,produce,208,{}
S_task,O_chain_0_1,consume,1000,{}
S_document,O_chain_0_1,consume,1000,{}
S_rubric,O_chain_0_1,consume,1000,{}
S_chain_0_context,O_chain_0_1,consume,445,{}
S_chain_0_0_out,O_chain_0_1,consume,208,{}
O_chain_0_1,S_chain_0_1_out,produce,219,{}
S_task,O_chain_1_0,consume,1000,{}
S_document,O_chain_1_0,consume,1000,{}
S_rubric,O_chain_1_0,consume,1000,{}
S_chain_1_context,O_chain_1_0,consume,396,{}
O_chain_1_0,S_chain_1_0_out,produce,238,{}
S_task,O_chain_1_1,consume,1000,{}
S_document,O_chain_1_1,consume,1000,{}
S_rubric,O_chain_1_1,consume,1000,{}
S_chain_1_context,O_chain_1_1,consume,396,{}
S_chain_1_0_out,O_chain_1_1,consume,238,{}
O_chain_1_1,S_chain_1_1_out,produce,282,{}
S_task,O_chain_2_0,consume,1000,{}
S_document,O_chain_2_0,consume,1000,{}
S_rubric,O_chain_2_0,consume,1000,{}
S_chain_2_context,O_chain_2_0,consume,447,{}
O_chain_2_0,S_chain_2_0_out,produce,230,{}
S_task,O_chain_2_1,consume,1000,{}
S_document,O_chain_2_1,consume,1000,{}
S_rubric,O_chain_2_1,consume,1000,{}
S_chain_2_context,O_chain_2_1,consume,447,{}
S_chain_2_0_out,O_chain_2_1,consume,230,{}
O_chain_2_1,S_chain_2_1_out,produce,233,{}
S_task,O_chain_3_0,consume,1000,{}
S_document,O_chain_3_0,consume,1000,{}
S_rubric,O_chain_3_0,consume,1000,{}
S_chain_3_context,O_chain_3_0,consume,375,{}
O_chain_3_0,S_chain_3_0_out,produce,304,{}
S_task,O_chain_3_1,consume,1000,{}
S_document,O_chain_3_1,consume,1000,{}
S_rubric,O_chain_3_1,consume,1000,{}
S_chain_3_context,O_chain_3_1,consume,375,{}
S_chain_3_0_out,O_chain_3_1,consume,304,{}
O_chain_3_1,S_chain_3_1_out,produce,244,{}
S_task,O_writer,consume,1000,{}
S_rubric,O_writer,consume,1000,{}
S_chain_0_1_out,O_writer,consume,219,{}
S_chain_1_1_out,O_writer,consume,282,{}
S_chain_2_1_out,O_writer,consume,233,{}
S_chain_3_1_out,O_writer,consume,244,{}
O_writer,S_parallel_report,produce,241,{}
