wave_id,baseline,scheduler,seed_state_id,operator_ids,region_ids,start_time,end_time,batch_size,materialization_bytes,movement_byte_hop,max_link_load_delta,benefit,wait_penalty
0,flat_sequential,flat_sequential,,"[""O_refine_0""]","[""R_0_0""]",0.0,9.83000320305625,1,19560,19560,0,0.0,0.0
1,flat_sequential,flat_sequential,,"[""O_refine_1""]","[""R_0_0""]",9.83000320305625,19.882006406181876,1,20004,20004,0,0.0,0.0
2,flat_sequential,flat_sequential,,"[""O_refine_2""]","[""R_0_0""]",19.882006406181876,30.13600960937063,1,20408,20408,0,0.0,0.0
3,flat_sequential,flat_sequential,,"[""O_refine_3""]","[""R_0_0""]",30.13600960937063,39.8720128123975,1,19372,19372,0,0.0,0.0
4,flat_sequential,flat_sequential,,"[""O_refine_4""]","[""R_0_0""]",39.8720128123975,49.8900160155125,1,19936,19936,0,0.0,0.0
5,flat_sequential,flat_sequential,,"[""O_refine_5""]","[""R_0_0""]",49.8900160155125,60.13601921869875,1,20392,20392,0,0.0,0.0
6,flat_sequential,flat_sequential,,"[""O_refine_6""]","[""R_0_0""]",60.13601921869875,70.56802242194313,1,20764,20764,0,0.0,0.0
7,flat_sequential,flat_sequential,,"[""O_refine_7""]","[""R_0_0""]",70.56802242194313,80.54402562504501,1,19852,19852,0,0.0,0.0
0,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_refine_0""]","[""R_0_0""]",0.0,9.83000320305625,1,19560,19560,0,1.0,0.0
1,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_refine_1""]","[""R_0_0""]",9.83000320305625,19.882006403681878,1,4004,4004,0,1.0,0.0
2,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_refine_2""]","[""R_0_0""]",19.882006403681878,30.136009604370628,1,4408,4408,0,1.0,0.0
3,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_refine_3""]","[""R_0_0""]",30.136009604370628,39.8720128048975,1,3372,3372,0,1.0,0.0
4,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_refine_4""]","[""R_0_0""]",39.8720128048975,49.8900160055125,1,3936,3936,0,1.0,0.0
5,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_refine_5""]","[""R_0_0""]",49.8900160055125,60.13601920619875,1,4392,4392,0,1.0,0.0
6,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_refine_6""]","[""R_0_0""]",60.13601920619875,70.56802240694313,1,4764,4764,0,1.0,0.0
7,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_refine_7""]","[""R_0_0""]",70.56802240694313,80.54402560754501,1,3852,3852,0,1.0,0.0
0,prefix_cache_like,prefix_cache_like,,"[""O_refine_0""]","[""R_0_0""]",0.0,9.83000320305625,1,19560,19560,0,1.0,0.0
1,prefix_cache_like,prefix_cache_like,,"[""O_refine_1""]","[""R_0_0""]",9.83000320305625,19.882006403681878,1,4004,4004,0,1.0,0.0
2,prefix_cache_like,prefix_cache_like,,"[""O_refine_2""]","[""R_0_0""]",19.882006403681878,30.136009604370628,1,4408,4408,0,1.0,0.0
3,prefix_cache_like,prefix_cache_like,,"[""O_refine_3""]","[""R_0_0""]",30.136009604370628,39.8720128048975,1,3372,3372,0,1.0,0.0
4,prefix_cache_like,prefix_cache_like,,"[""O_refine_4""]","[""R_0_0""]",39.8720128048975,49.8900160055125,1,3936,3936,0,1.0,0.0
5,prefix_cache_like,prefix_cache_like,,"[""O_refine_5""]","[""R_0_0""]",49.8900160055125,60.13601920619875,1,4392,4392,0,1.0,0.0
6,prefix_cache_like,prefix_cache_like,,"[""O_refine_6""]","[""R_0_0""]",60.13601920619875,70.56802240694313,1,4764,4764,0,1.0,0.0
7,prefix_cache_like,prefix_cache_like,,"[""O_refine_7""]","[""R_0_0""]",70.56802240694313,80.54402560754501,1,3852,3852,0,1.0,0.0
0,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_refine_0""]","[""R_0_0""]",0.0,9.83000320305625,1,19560,19560,0,1.0,0.0
1,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_refine_1""]","[""R_0_0""]",9.83000320305625,19.882006403681878,1,4004,4004,0,1.0,0.0
