src,dst,edge_type,token_size,metadata
S_task,O_expert_0,consume,1000,{}
S_document,O_expert_0,consume,1000,{}
S_rubric,O_expert_0,consume,1000,{}
S_unique_expert_0,O_expert_0,consume,445,{}
O_expert_0,S_expert_0_summary,produce,208,{}
S_task,O_expert_1,consume,1000,{}
S_document,O_expert_1,consume,1000,{}
S_rubric,O_expert_1,consume,1000,{}
S_unique_expert_1,O_expert_1,consume,396,{}
O_expert_1,S_expert_1_summary,produce,285,{}
S_task,O_expert_2,consume,1000,{}
S_document,O_expert_2,consume,1000,{}
S_rubric,O_expert_2,consume,1000,{}
S_unique_expert_2,O_expert_2,consume,408,{}
O_expert_2,S_expert_2_summary,produce,225,{}
S_task,O_expert_3,consume,1000,{}
S_document,O_expert_3,consume,1000,{}
S_rubric,O_expert_3,consume,1000,{}
S_unique_expert_3,O_expert_3,consume,309,{}
O_expert_3,S_expert_3_summary,produce,217,{}
S_task,O_summarizer,consume,1000,{}
S_rubric,O_summarizer,consume,1000,{}
S_expert_0_summary,O_summarizer,consume,208,{}
S_expert_1_summary,O_summarizer,consume,285,{}
S_expert_2_summary,O_summarizer,consume,225,{}
S_expert_3_summary,O_summarizer,consume,217,{}
O_summarizer,S_final_summary,produce,251,{}
