state_id,kind,token_size,kv_size_bytes,consumer_count,producer,token_weighted_state_fanout,static_hotness,dynamic_hotness,dynamic_hot_candidate,lifetime_start,lifetime_end,rank,hotness,cumulative_hotness,cumulative_hotness_fraction
S_task,task,1000,1024000,9,,8000,42400.0,0.0,False,0,8,1,42400.0,42400.0,0.3633629844098854
S_rubric,rubric,1000,1024000,9,,8000,42400.0,0.0,False,0,8,2,42400.0,84800.0,0.7267259688197708
S_document,document,1000,1024000,8,,7000,30100.0,0.0,False,0,7,3,30100.0,114900.0,0.9846794082239584
S_chain_2_context,unique_context,447,457728,2,,447,480.525,0.0,False,0,6,4,480.525,115380.525,0.9887974506315895
S_chain_0_context,unique_context,445,455680,2,,445,478.375,0.0,False,0,4,5,478.375,115858.9,0.9928970677935489
S_chain_1_context,unique_context,396,405504,2,,396,425.7,0.0,False,0,5,6,425.7,116284.59999999999,0.996545266436551
S_chain_3_context,unique_context,375,384000,2,,375,403.125,0.0,False,0,7,7,403.125,116687.72499999999,0.9999999999999999
S_tool_schema,tool_schema,1000,1024000,0,,0,0.0,0.0,False,0,0,8,0.0,116687.72499999999,0.9999999999999999
S_chain_3_0_out,intermediate_summary,304,311296,1,O_chain_3_0,0,0.0,0.0,False,3,7,9,0.0,116687.72499999999,0.9999999999999999
S_chain_1_1_out,intermediate_summary,282,288768,1,O_chain_1_1,0,0.0,0.0,False,5,8,10,0.0,116687.72499999999,0.9999999999999999
S_chain_3_1_out,intermediate_summary,244,249856,1,O_chain_3_1,0,0.0,0.0,False,7,8,11,0.0,116687.72499999999,0.9999999999999999
S_parallel_report,output,241,246784,0,O_writer,0,0.0,0.0,False,8,8,12,0.0,116687.72499999999,0.9999999999999999
S_chain_1_0_out,intermediate_summary,238,243712,1,O_chain_1_0,0,0.0,0.0,False,1,5,13,0.0,116687.72499999999,0.9999999999999999
S_chain_2_1_out,intermediate_summary,233,238592,1,O_chain_2_1,0,0.0,0.0,False,6,8,14,0.0,116687.72499999999,0.9999999999999999
S_chain_2_0_out,intermediate_summary,230,235520,1,O_chain_2_0,0,0.0,0.0,False,2,6,15,0.0,116687.72499999999,0.9999999999999999
S_chain_0_1_out,intermediate_summary,219,224256,1,O_chain_0_1,0,0.0,0.0,False,4,8,16,0.0,116687.72499999999,0.9999999999999999
S_chain_0_0_out,intermediate_summary,208,212992,1,O_chain_0_0,0,0.0,0.0,False,0,4,17,0.0,116687.72499999999,0.9999999999999999
