state_id,kind,token_size,kv_size_bytes,producer,consumers,lifetime_start,lifetime_end,materialized_form,location,prefix_compatible,kv_cacheable,prompt_position,static_hotness,dynamic_hotness,deterministic,metadata
S_task,task,1000,1024000,,"[""O_chain_0_0"", ""O_chain_0_1"", ""O_chain_1_0"", ""O_chain_1_1"", ""O_chain_2_0"", ""O_chain_2_1"", ""O_chain_3_0"", ""O_chain_3_1"", ""O_writer""]",0,8,text,,True,True,0,42400.0,1439.1921501581605,True,{}
S_document,document,1000,1024000,,"[""O_chain_0_0"", ""O_chain_0_1"", ""O_chain_1_0"", ""O_chain_1_1"", ""O_chain_2_0"", ""O_chain_2_1"", ""O_chain_3_0"", ""O_chain_3_1""]",0,7,text,,True,True,1,30100.0,1127.279766229458,True,{}
S_rubric,rubric,1000,1024000,,"[""O_chain_0_0"", ""O_chain_0_1"", ""O_chain_1_0"", ""O_chain_1_1"", ""O_chain_2_0"", ""O_chain_2_1"", ""O_chain_3_0"", ""O_chain_3_1"", ""O_writer""]",0,8,text,,True,True,2,42400.0,1439.1921501581605,True,{}
S_tool_schema,tool_schema,1000,1024000,,[],0,0,text,,True,True,3,0.0,0.0,True,{}
S_chain_0_context,unique_context,445,455680,,"[""O_chain_0_0"", ""O_chain_0_1""]",0,4,inline,,False,False,,478.375,485.24629354542003,True,{}
S_chain_0_0_out,intermediate_summary,208,212992,O_chain_0_0,"[""O_chain_0_1""]",0,4,output,,False,False,,0.0,234.2457104491765,False,"{""dynamic_hot_candidate"": false}"
S_chain_0_1_out,intermediate_summary,219,224256,O_chain_0_1,"[""O_writer""]",4,8,output,,False,False,,0.0,428.9281821770039,False,"{""dynamic_hot_candidate"": false}"
S_chain_1_context,unique_context,396,405504,,"[""O_chain_1_0"", ""O_chain_1_1""]",0,5,inline,,False,False,,425.7,431.8146791999693,True,{}
S_chain_1_0_out,intermediate_summary,238,243712,O_chain_1_0,"[""O_chain_1_1""]",1,5,output,,False,False,,0.0,268.0311494562693,False,"{""dynamic_hot_candidate"": false}"
S_chain_1_1_out,intermediate_summary,282,288768,O_chain_1_1,"[""O_writer""]",5,8,output,,False,False,,0.0,552.3184811594297,False,"{""dynamic_hot_candidate"": false}"
S_chain_2_context,unique_context,447,457728,,"[""O_chain_2_0"", ""O_chain_2_1""]",0,6,inline,,False,False,,480.525,487.42717576360167,True,{}
S_chain_2_0_out,intermediate_summary,230,235520,O_chain_2_0,"[""O_chain_2_1""]",2,6,output,,False,False,,0.0,259.0216990543779,False,"{""dynamic_hot_candidate"": false}"
S_chain_2_1_out,intermediate_summary,233,238592,O_chain_2_1,"[""O_writer""]",6,8,output,,False,False,,0.0,456.34824861754294,False,"{""dynamic_hot_candidate"": false}"
S_chain_3_context,unique_context,375,384000,,"[""O_chain_3_0"", ""O_chain_3_1""]",0,7,inline,,False,False,,403.125,408.91541590906184,True,{}
S_chain_3_0_out,intermediate_summary,304,311296,O_chain_3_0,"[""O_chain_3_1""]",3,7,output,,False,False,,0.0,342.3591152718734,False,"{""dynamic_hot_candidate"": false}"
S_chain_3_1_out,intermediate_summary,244,249856,O_chain_3_1,"[""O_writer""]",7,8,output,,False,False,,0.0,477.89258653510933,False,"{""dynamic_hot_candidate"": false}"
S_parallel_report,output,241,246784,O_writer,[],8,8,output,,False,False,,0.0,0.0,True,"{""dynamic_hot_candidate"": false}"
