wave_id,baseline,scheduler,seed_state_id,operator_ids,region_ids,start_time,end_time,batch_size,materialization_bytes,movement_byte_hop,benefit,wait_penalty
0,flat_sequential,flat_sequential,,"[""O_chain_0_0""]","[""R_0_0""]",0.0,6.940003202153125,1,13780,13780,0.0,0.0
1,flat_sequential,flat_sequential,,"[""O_chain_1_0""]","[""R_0_0""]",6.940003202153125,13.782006404275624,1,13584,13584,0.0,0.0
2,flat_sequential,flat_sequential,,"[""O_chain_2_0""]","[""R_0_0""]",13.782006404275624,20.726009606429997,1,13788,13788,0.0,0.0
3,flat_sequential,flat_sequential,,"[""O_chain_3_0""]","[""R_0_0""]",20.726009606429997,27.52601280853937,1,13500,13500,0.0,0.0
4,flat_sequential,flat_sequential,,"[""O_chain_0_1""]","[""R_0_0""]",27.52601280853937,34.8820160108225,1,14612,14612,0.0,0.0
5,flat_sequential,flat_sequential,,"[""O_chain_1_1""]","[""R_0_0""]",34.8820160108225,42.200019213093746,1,14536,14536,0.0,0.0
6,flat_sequential,flat_sequential,,"[""O_chain_2_1""]","[""R_0_0""]",42.200019213093746,49.604022415391874,1,14708,14708,0.0,0.0
7,flat_sequential,flat_sequential,,"[""O_chain_3_1""]","[""R_0_0""]",49.604022415391874,57.01202561769125,1,14716,14716,0.0,0.0
8,flat_sequential,flat_sequential,,"[""O_writer""]","[""R_0_0""]",57.01202561769125,63.0180288195525,1,11912,11912,0.0,0.0
0,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_chain_0_0"", ""O_chain_1_0"", ""O_chain_2_0"", ""O_chain_3_0""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15""]",0.0,6.944003208539375,4,54652,54652,4.0,0.0
1,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_chain_0_1"", ""O_chain_1_1"", ""O_chain_2_1"", ""O_chain_3_1""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15""]",6.944003208539375,14.352006409151876,4,3920,3920,4.0,0.0
2,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_writer""]","[""R_0_0""]",14.352006409151876,20.358009609763126,1,3912,3912,1.0,0.0
0,prefix_cache_like,prefix_cache_like,,"[""O_chain_0_0"", ""O_chain_1_0"", ""O_chain_2_0"", ""O_chain_3_0""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15""]",0.0,6.944003204789375,4,30652,30652,4.0,0.0
1,prefix_cache_like,prefix_cache_like,,"[""O_chain_0_1"", ""O_chain_1_1"", ""O_chain_2_1"", ""O_chain_3_1""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15""]",6.944003204789375,14.35200640894125,4,26572,26572,4.0,0.0
2,prefix_cache_like,prefix_cache_like,,"[""O_writer""]","[""R_0_0""]",14.35200640894125,20.3580096101775,1,7912,7912,1.0,0.0
0,helium_like_operator_schedule,operator_centric,,"[""O_chain_0_0"", ""O_chain_1_0"", ""O_chain_2_0"", ""O_chain_3_0""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15""]",0.0,5.909903202914374,4,18652,18652,4.0,0.0
1,helium_like_operator_schedule,operator_centric,,"[""O_chain_0_1"", ""O_chain_1_1"", ""O_chain_2_1"", ""O_chain_3_1""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15""]",5.909903202914374,12.214206403526875,4,3920,3920,4.0,0.0
2,helium_like_operator_schedule,operator_centric,,"[""O_writer""]","[""R_0_0""]",12.214206403526875,18.220209604138127,1,3912,3912,1.0,0.0
0,kvflow_like_future_eviction,operator_centric,,"[""O_chain_0_0"", ""O_chain_1_0"", ""O_chain_2_0"", ""O_chain_3_0""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15""]",0.0,5.909903202914374,4,18652,18652,4.0,0.0
1,kvflow_like_future_eviction,operator_centric,,"[""O_chain_0_1"", ""O_chain_1_1"", ""O_chain_2_1"", ""O_chain_3_1""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15""]",5.909903202914374,12.214206403526875,4,3920,3920,4.0,0.0
