src,dst,edge_type,token_size,metadata
S_task,O_expert_draft,consume,1000,{}
S_document,O_expert_draft,consume,1000,{}
S_style_guide,O_expert_draft,consume,1000,{}
O_expert_draft,S_draft,produce,251,{}
S_task,O_critic_0,consume,1000,{}
S_rubric,O_critic_0,consume,1000,{}
S_draft,O_critic_0,consume,251,{}
S_critic_lens_0,O_critic_0,consume,349,{}
O_critic_0,S_critic_0_feedback,produce,219,{}
S_task,O_critic_1,consume,1000,{}
S_rubric,O_critic_1,consume,1000,{}
S_draft,O_critic_1,consume,251,{}
S_critic_lens_1,O_critic_1,consume,396,{}
O_critic_1,S_critic_1_feedback,produce,238,{}
S_task,O_critic_2,consume,1000,{}
S_rubric,O_critic_2,consume,1000,{}
S_draft,O_critic_2,consume,251,{}
S_critic_lens_2,O_critic_2,consume,451,{}
O_critic_2,S_critic_2_feedback,produce,279,{}
S_task,O_revise,consume,1000,{}
S_document,O_revise,consume,1000,{}
S_draft,O_revise,consume,251,{}
S_critic_0_feedback,O_revise,consume,219,{}
S_critic_1_feedback,O_revise,consume,238,{}
S_critic_2_feedback,O_revise,consume,279,{}
O_revise,S_revised_answer,produce,230,{}
