state_id,kind,token_size,kv_size_bytes,producer,consumers,lifetime_start,lifetime_end,materialized_form,location,prefix_compatible,kv_cacheable,prompt_position,static_hotness,dynamic_hotness,deterministic,metadata
S_task,task,800,819200,,"[""O_analyst_0"", ""O_researcher_0"", ""O_trader_0"", ""O_risk_0"", ""O_analyst_1"", ""O_researcher_1"", ""O_trader_1"", ""O_risk_1"", ""O_analyst_2"", ""O_researcher_2"", ""O_trader_2"", ""O_risk_2"", ""O_analyst_3"", ""O_researcher_3"", ""O_trader_3"", ""O_risk_3"", ""O_analyst_4"", ""O_researcher_4"", ""O_trader_4"", ""O_risk_4"", ""O_analyst_5"", ""O_researcher_5"", ""O_trader_5"", ""O_risk_5"", ""O_analyst_6"", ""O_researcher_6"", ""O_trader_6"", ""O_risk_6"", ""O_analyst_7"", ""O_researcher_7"", ""O_trader_7"", ""O_risk_7"", ""O_manager""]",0,32,text,,True,True,0,573440.0,1552.4242371742291,True,{}
S_market_context,market_context,800,819200,,"[""O_analyst_0"", ""O_researcher_0"", ""O_trader_0"", ""O_risk_0"", ""O_analyst_1"", ""O_researcher_1"", ""O_trader_1"", ""O_risk_1"", ""O_analyst_2"", ""O_researcher_2"", ""O_trader_2"", ""O_risk_2"", ""O_analyst_3"", ""O_researcher_3"", ""O_trader_3"", ""O_risk_3"", ""O_analyst_4"", ""O_researcher_4"", ""O_trader_4"", ""O_risk_4"", ""O_analyst_5"", ""O_researcher_5"", ""O_trader_5"", ""O_risk_5"", ""O_analyst_6"", ""O_researcher_6"", ""O_trader_6"", ""O_risk_6"", ""O_analyst_7"", ""O_researcher_7"", ""O_trader_7"", ""O_risk_7"", ""O_manager""]",0,32,text,,True,True,1,573440.0,1552.4242371742291,True,{}
S_risk_policy,risk_policy,800,819200,,"[""O_risk_0"", ""O_risk_1"", ""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7"", ""O_manager""]",0,32,text,,True,True,2,51200.0,1560.1453939544897,True,{}
S_tool_schema,tool_schema,800,819200,,"[""O_researcher_0"", ""O_researcher_1"", ""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7""]",0,15,text,,True,True,3,22400.0,799.9999999999729,True,{}
S_role_instruction,role_instruction,800,819200,,"[""O_analyst_0"", ""O_analyst_1"", ""O_analyst_2"", ""O_analyst_3"", ""O_analyst_4"", ""O_analyst_5"", ""O_analyst_6"", ""O_analyst_7""]",0,7,text,,True,True,4,24640.000000000004,879.9999999999702,True,{}
S_market_signal_0,retrieval,445,455680,,"[""O_analyst_0"", ""O_researcher_0""]",0,8,inline,,False,False,,467.25,462.3318852391086,True,{}
S_analyst_0_view,intermediate_summary,208,212992,O_analyst_0,"[""O_trader_0""]",0,16,output,,False,False,,0.0,305.5378831945781,False,"{""dynamic_hot_candidate"": false}"
S_research_0_evidence,retrieval_result,219,224256,O_researcher_0,"[""O_trader_0""]",8,16,output,,False,False,,0.0,321.69613663275294,False,"{""dynamic_hot_candidate"": false}"
S_trade_0,planner_output,247,252928,O_trader_0,"[""O_risk_0"", ""O_manager""]",16,32,output,,False,False,,506.34999999999997,524.4627964326394,False,"{""dynamic_hot_candidate"": false}"
S_risk_0,critic_feedback,210,215040,O_risk_0,"[""O_manager""]",24,32,output,,False,False,,0.0,493.5611959297031,False,"{""dynamic_hot_candidate"": false}"
S_market_signal_1,retrieval,409,418816,,"[""O_analyst_1"", ""O_researcher_1""]",0,9,inline,,False,False,,429.45000000000005,424.92975519729305,True,{}
S_analyst_1_view,intermediate_summary,225,230400,O_analyst_1,"[""O_trader_1""]",1,17,output,,False,False,,0.0,330.50972941721193,False,"{""dynamic_hot_candidate"": false}"
S_research_1_evidence,retrieval_result,249,254976,O_researcher_1,"[""O_trader_1""]",9,17,output,,False,False,,0.0,365.7641005550479,False,"{""dynamic_hot_candidate"": false}"
S_trade_1,planner_output,249,254976,O_trader_1,"[""O_risk_1"", ""O_manager""]",17,32,output,,False,False,,510.44999999999993,528.7094587519322,False,"{""dynamic_hot_candidate"": false}"
S_risk_1,critic_feedback,315,322560,O_risk_1,"[""O_manager""]",25,32,output,,False,False,,0.0,740.3417938945546,False,"{""dynamic_hot_candidate"": false}"
S_market_signal_2,retrieval,438,448512,,"[""O_analyst_2"", ""O_researcher_2""]",0,10,inline,,False,False,,459.90000000000003,455.0592488420889,True,{}
S_analyst_2_view,intermediate_summary,189,193536,O_analyst_2,"[""O_trader_2""]",2,18,output,,False,False,,0.0,277.628172710458,False,"{""dynamic_hot_candidate"": false}"
S_research_2_evidence,retrieval_result,286,292864,O_researcher_2,"[""O_trader_2""]",10,18,output,,False,False,,0.0,420.1145893925449,False,"{""dynamic_hot_candidate"": false}"
S_trade_2,planner_output,222,227328,O_trader_2,"[""O_risk_2"", ""O_manager""]",18,32,output,,False,False,,455.09999999999997,471.3795174414816,False,"{""dynamic_hot_candidate"": false}"
S_risk_2,critic_feedback,212,217088,O_risk_2,"[""O_manager""]",26,32,output,,False,False,,0.0,498.2617787480812,False,"{""dynamic_hot_candidate"": true}"
S_market_signal_3,retrieval,426,436224,,"[""O_analyst_3"", ""O_researcher_3""]",0,11,inline,,False,False,,447.3,442.5918721614837,True,{}
S_analyst_3_view,intermediate_summary,283,289792,O_analyst_3,"[""O_trader_3""]",3,19,output,,False,False,,0.0,415.7077930003154,False,"{""dynamic_hot_candidate"": false}"
S_research_3_evidence,retrieval_result,242,247808,O_researcher_3,"[""O_trader_3""]",11,19,output,,False,False,,0.0,355.4815756398457,False,"{""dynamic_hot_candidate"": false}"
S_trade_3,planner_output,262,268288,O_trader_3,"[""O_risk_3"", ""O_manager""]",19,32,output,,False,False,,537.0999999999999,556.3127638273342,False,"{""dynamic_hot_candidate"": false}"
