wave_id,baseline,scheduler,seed_state_id,operator_ids,region_ids,start_time,end_time,batch_size,materialization_bytes,movement_byte_hop,benefit,wait_penalty
0,flat_sequential,flat_sequential,,"[""O_analyst_0""]","[""R_0_0""]",0.0,5.7400032017781255,1,11380,11380,0.0,0.0
1,flat_sequential,flat_sequential,,"[""O_analyst_1""]","[""R_0_0""]",5.7400032017781255,11.40800640353375,1,11236,11236,0.0,0.0
2,flat_sequential,flat_sequential,,"[""O_analyst_2""]","[""R_0_0""]",11.40800640353375,17.1340096053075,1,11352,11352,0.0,0.0
3,flat_sequential,flat_sequential,,"[""O_analyst_3""]","[""R_0_0""]",17.1340096053075,22.83601280707375,1,11304,11304,0.0,0.0
4,flat_sequential,flat_sequential,,"[""O_analyst_4""]","[""R_0_0""]",22.83601280707375,28.4660160088175,1,11160,11160,0.0,0.0
5,flat_sequential,flat_sequential,,"[""O_analyst_5""]","[""R_0_0""]",28.4660160088175,34.28801921062125,1,11544,11544,0.0,0.0
6,flat_sequential,flat_sequential,,"[""O_analyst_6""]","[""R_0_0""]",34.28801921062125,39.71402241230125,1,10752,10752,0.0,0.0
7,flat_sequential,flat_sequential,,"[""O_analyst_7""]","[""R_0_0""]",39.71402241230125,45.33402561404187,1,11140,11140,0.0,0.0
8,flat_sequential,flat_sequential,,"[""O_researcher_0""]","[""R_0_0""]",45.33402561404187,51.07402881581999,1,11380,11380,0.0,0.0
9,flat_sequential,flat_sequential,,"[""O_researcher_1""]","[""R_0_0""]",51.07402881581999,56.74203201757562,1,11236,11236,0.0,0.0
10,flat_sequential,flat_sequential,,"[""O_researcher_2""]","[""R_0_0""]",56.74203201757562,62.46803521934937,1,11352,11352,0.0,0.0
11,flat_sequential,flat_sequential,,"[""O_researcher_3""]","[""R_0_0""]",62.46803521934937,68.17003842111562,1,11304,11304,0.0,0.0
12,flat_sequential,flat_sequential,,"[""O_researcher_4""]","[""R_0_0""]",68.17003842111562,73.80004162285937,1,11160,11160,0.0,0.0
13,flat_sequential,flat_sequential,,"[""O_researcher_5""]","[""R_0_0""]",73.80004162285937,79.62204482466312,1,11544,11544,0.0,0.0
14,flat_sequential,flat_sequential,,"[""O_researcher_6""]","[""R_0_0""]",79.62204482466312,85.04804802634312,1,10752,10752,0.0,0.0
15,flat_sequential,flat_sequential,,"[""O_researcher_7""]","[""R_0_0""]",85.04804802634312,90.66805122808375,1,11140,11140,0.0,0.0
16,flat_sequential,flat_sequential,,"[""O_trader_0""]","[""R_0_0""]",90.66805122808375,94.77205442935063,1,8108,8108,0.0,0.0
17,flat_sequential,flat_sequential,,"[""O_trader_1""]","[""R_0_0""]",94.77205442935063,98.97005763064688,1,8296,8296,0.0,0.0
18,flat_sequential,flat_sequential,,"[""O_trader_2""]","[""R_0_0""]",98.97005763064688,103.17006083194376,1,8300,8300,0.0,0.0
19,flat_sequential,flat_sequential,,"[""O_trader_3""]","[""R_0_0""]",103.17006083194376,107.47006403327188,1,8500,8500,0.0,0.0
20,flat_sequential,flat_sequential,,"[""O_trader_4""]","[""R_0_0""]",107.47006403327188,111.72806723458689,1,8416,8416,0.0,0.0
21,flat_sequential,flat_sequential,,"[""O_trader_5""]","[""R_0_0""]",111.72806723458689,115.91607043588002,1,8276,8276,0.0,0.0
22,flat_sequential,flat_sequential,,"[""O_trader_6""]","[""R_0_0""]",115.91607043588002,120.13607363718315,1,8340,8340,0.0,0.0
23,flat_sequential,flat_sequential,,"[""O_trader_7""]","[""R_0_0""]",120.13607363718315,124.33407683847939,1,8296,8296,0.0,0.0
24,flat_sequential,flat_sequential,,"[""O_risk_0""]","[""R_0_0""]",124.33407683847939,129.67808004013378,1,10588,10588,0.0,0.0
25,flat_sequential,flat_sequential,,"[""O_risk_1""]","[""R_0_0""]",129.67808004013378,135.0260832417894,1,10596,10596,0.0,0.0
26,flat_sequential,flat_sequential,,"[""O_risk_2""]","[""R_0_0""]",135.0260832417894,140.32008644342815,1,10488,10488,0.0,0.0
