baseline,workflow_latency,state_materialization_bytes,state_movement_byte_hop,max_link_utilization,region_memory_pressure,critical_path_wait,average_wave_batch_size,wave_count,duplicate_state_materialization_bytes,notes,workflow
flat_sequential,33.23601601030812,65972,65972,1.033830789346407e-11,0.0,0.0,1.0,5,44000,sequential flat prompt materialization; no cache or parallelism,mapreduce
request_parallel_gpu_like,12.860006409058126,57972,57972,2.347879856322047e-11,0.033416748046875,0.0,2.5,2,44000,ready requests assigned to worker-local caches,mapreduce
prefix_cache_like,12.860006405933126,37972,37972,1.537875076345913e-11,0.0,0.0,2.5,2,44000,only exact root prefix-like states are globally reused,mapreduce
helium_like_operator_schedule,11.826506403433125,21972,21972,9.676357167217181e-12,0.0,0.0,2.5,2,44000,operator-centric wave with per-wave unique-state reuse,mapreduce
kvflow_like_future_eviction,11.826506403433125,21972,21972,9.676357167217181e-12,0.0,0.0,2.5,2,44000,future-aware cache admits highest token-weighted fanout states,mapreduce
wafer_request_centric,12.860043397440002,57972,236783616,9.5897654610209e-08,0.01738739013671875,0.0,2.5,2,44000,wafer backend without state-centric wave formation,mapreduce
replicate_all_hot_states,12.86000691744,21972,23791616,9.63566096520685e-09,0.015010833740234375,0.0,2.5,2,44000,ablation that blindly replicates hot states,mapreduce
single_pin_hot_state,12.860043397440002,21972,236783616,9.5897654610209e-08,0.01738739013671875,0.0,2.5,2,44000,ablation that pins hot states centrally and exposes hotspots,mapreduce
WaferStateFlow,10.93080691744,21972,23791616,1.1336278062780706e-08,0.015010833740234375,4.0,2.5,2,44000,hot-state-seeded wave scheduling with policy-driven placement,mapreduce
flat_sequential,84.53803522738627,175272,175272,1.0798393853661177e-11,0.0,0.0,1.0,11,131220,sequential flat prompt materialization; no cache or parallelism,debate
request_parallel_gpu_like,26.064016016136257,103272,103272,2.063668928330159e-11,0.066192626953125,0.0,2.2,5,131220,ready requests assigned to worker-local caches,debate
prefix_cache_like,26.06401601363625,87272,87272,1.7439433218152497e-11,0.0,0.0,2.2,5,131220,only exact root prefix-like states are globally reused,debate
helium_like_operator_schedule,23.11861600688313,44052,44052,9.924361386152585e-12,0.0,0.0,2.2,5,131220,operator-centric wave with per-wave unique-state reuse,debate
kvflow_like_future_eviction,23.11861600688313,44052,44052,9.924361386152585e-12,0.0,0.0,2.2,5,131220,future-aware cache admits highest token-weighted fanout states,debate
wafer_request_centric,26.06410743088,103272,626117632,1.2511571102065673e-07,0.0308990478515625,0.0,2.2,5,131220,wafer backend without state-centric wave formation,debate
replicate_all_hot_states,26.064013974879998,44052,48479232,9.687533172877777e-09,0.029937744140625,0.0,2.2,5,131220,ablation that blindly replicates hot states,debate
