src_tool,dst_tool,dependency_type,count
read_file,read_file,file_path_from_output_to_next_arg,15499
edit,edit,file_path_from_output_to_next_arg,8361
execute,execute,file_path_from_output_to_next_arg,6125
read_file,execute,file_path_from_output_to_next_arg,2253
execute,read_file,file_path_from_output_to_next_arg,2230
read_file,edit,file_path_from_output_to_next_arg,1837
edit,read_file,file_path_from_output_to_next_arg,1615
read_file,read_file,url_from_search_to_open,906
out.html,out.html,file_path_from_output_to_next_arg,834
out.html,edit,file_path_from_output_to_next_arg,474
execute,edit,file_path_from_output_to_next_arg,455
edit,execute,file_path_from_output_to_next_arg,427
cd,cd,file_path_from_output_to_next_arg,419
out.html,execute,file_path_from_output_to_next_arg,320
list_files,read_file,file_path_from_output_to_next_arg,318
unknown,unknown,file_path_from_output_to_next_arg,314
str_replace,edit,file_path_from_output_to_next_arg,298
read_file,unknown,file_path_from_output_to_next_arg,275
unknown,execute,file_path_from_output_to_next_arg,272
edit,read_file,url_from_search_to_open,265
search,edit,file_path_from_output_to_next_arg,235
list_files,unknown,file_path_from_output_to_next_arg,145
list_files,execute,file_path_from_output_to_next_arg,138
edit,printf,file_path_from_output_to_next_arg,134
str_replace,execute,file_path_from_output_to_next_arg,132
execute,unknown,file_path_from_output_to_next_arg,125
printf,printf,file_path_from_output_to_next_arg,94
printf,read_file,file_path_from_output_to_next_arg,83
execute,read_file,url_from_search_to_open,77
read_file,wc,file_path_from_output_to_next_arg,74
cd,execute,file_path_from_output_to_next_arg,71
rscript,read_file,file_path_from_output_to_next_arg,66
pyknotid,spacecurve.py,file_path_from_output_to_next_arg,65
read_file,list_files,file_path_from_output_to_next_arg,57
cd,read_file,file_path_from_output_to_next_arg,57
unknown,read_file,file_path_from_output_to_next_arg,54
read_file,printf,file_path_from_output_to_next_arg,51
list_files,edit,file_path_from_output_to_next_arg,51
printf,edit,file_path_from_output_to_next_arg,50
r,read_file,file_path_from_output_to_next_arg,50
search,read_file,file_path_from_output_to_next_arg,46
list_files,cd,file_path_from_output_to_next_arg,45
openknot.py,openknot.py,file_path_from_output_to_next_arg,44
cd,edit,file_path_from_output_to_next_arg,41
execute,torus.py,file_path_from_output_to_next_arg,41
test,test,error_file_to_read_or_edit,40
wc,unknown,file_path_from_output_to_next_arg,39
execute_ipython_cell,read_file,file_path_from_output_to_next_arg,38
source,source,file_path_from_output_to_next_arg,37
read_file,search,file_path_from_output_to_next_arg,37
list_files,test,file_path_from_output_to_next_arg,34
edit,unknown,file_path_from_output_to_next_arg,34
edit,execute,url_from_search_to_open,33
search,search,file_path_from_output_to_next_arg,32
cd,unknown,file_path_from_output_to_next_arg,32
execute_ipython_cell,unknown,file_path_from_output_to_next_arg,30
invariants.py,invariants.py,file_path_from_output_to_next_arg,30
pyknotid,invariants.py,file_path_from_output_to_next_arg,29
str_replace,unset,file_path_from_output_to_next_arg,28
read_file,.,file_path_from_output_to_next_arg,27
spacecurve.py,spacecurve.py,file_path_from_output_to_next_arg,26
read_file,cd,file_path_from_output_to_next_arg,25
edit,cd,file_path_from_output_to_next_arg,25
execute,search,file_path_from_output_to_next_arg,24
wc,read_file,file_path_from_output_to_next_arg,24
str_replace,read_file,file_path_from_output_to_next_arg,22
out.html,printf,file_path_from_output_to_next_arg,22
execute_ipython_cell,execute,file_path_from_output_to_next_arg,21
execute,wc,file_path_from_output_to_next_arg,20
insert,execute,file_path_from_output_to_next_arg,20
str_replace,search,file_path_from_output_to_next_arg,20
.,.,file_path_from_output_to_next_arg,19
read_file,execute,url_from_search_to_open,19
source,intervention.py,file_path_from_output_to_next_arg,17
search,execute,file_path_from_output_to_next_arg,17
execute,out.html,file_path_from_output_to_next_arg,16
edit,search,file_path_from_output_to_next_arg,16
execute,list_files,file_path_from_output_to_next_arg,16
execute_ipython_cell,list_files,file_path_from_output_to_next_arg,16
insert,read_file,file_path_from_output_to_next_arg,16
c-c,execute,file_path_from_output_to_next_arg,15
execute,causal_script.py,file_path_from_output_to_next_arg,14
unknown,edit,file_path_from_output_to_next_arg,14
list_files,wc,file_path_from_output_to_next_arg,14
ps,execute,file_path_from_output_to_next_arg,13
pip,pip,url_from_search_to_open,12
__init__.py,__init__.py,file_path_from_output_to_next_arg,12
od,edit,file_path_from_output_to_next_arg,12
list_files,list_files,file_path_from_output_to_next_arg,12
setup.py,setup.py,file_path_from_output_to_next_arg,12
set,read_file,file_path_from_output_to_next_arg,12
execute_ipython_cell,read_file,url_from_search_to_open,11
.,edit,file_path_from_output_to_next_arg,11
cd,torus.py,file_path_from_output_to_next_arg,10
unknown,wc,file_path_from_output_to_next_arg,10
unknown,list_files,file_path_from_output_to_next_arg,10
rscript,rscript,file_path_from_output_to_next_arg,10
edit,od,file_path_from_output_to_next_arg,10
git,git,file_path_from_output_to_next_arg,10
execute,ps,file_path_from_output_to_next_arg,10
execute,test,file_path_from_output_to_next_arg,10
apt-get,apt-get,file_path_from_output_to_next_arg,10
cd,test,file_path_from_output_to_next_arg,10
unset,unset,file_path_from_output_to_next_arg,10
str_replace,cd,file_path_from_output_to_next_arg,9
edit,chmod,file_path_from_output_to_next_arg,9
dtnotation.py,dtnotation.py,file_path_from_output_to_next_arg,9
execute,printf,file_path_from_output_to_next_arg,9
20,20,file_path_from_output_to_next_arg,9
edit,source,file_path_from_output_to_next_arg,8
source,execute,file_path_from_output_to_next_arg,8
edit,xxd,file_path_from_output_to_next_arg,8
edit,unset,file_path_from_output_to_next_arg,8
edit,list_files,file_path_from_output_to_next_arg,8
unknown,cd,file_path_from_output_to_next_arg,8
unknown,pip3,file_path_from_output_to_next_arg,8
xxd,edit,file_path_from_output_to_next_arg,8
export,execute,file_path_from_output_to_next_arg,8
knot.py,knot.py,file_path_from_output_to_next_arg,8
visualise.py,visualise.py,file_path_from_output_to_next_arg,8
wc,execute,file_path_from_output_to_next_arg,8
test,edit,error_file_to_read_or_edit,8
execute_ipython_cell,wc,file_path_from_output_to_next_arg,8
