motif,n,support_traces,support_tasks,support_harnesses,success_rate,heldout_support_traces
file_object -> file_object,2,630,4,8,0.25984251968503935,259
file_object -> file_object -> file_object,3,460,4,8,0.24031007751937986,185
file_object -> file_object -> file_object -> file_object,4,332,4,8,0.24468085106382978,138
error_signature_object -> file_object,2,327,4,7,0.22964509394572025,152
file_object -> error_signature_object,2,291,4,7,0.2685851318944844,126
execute -> read_file,2,279,4,6,0.1784776902887139,102
read_file -> execute,2,278,4,5,0.17525773195876287,110
list_files -> read_file,2,277,4,5,0.17287234042553193,99
error_signature_object -> file_object -> file_object,3,263,4,7,0.22631578947368422,117
file_object -> file_object -> file_object -> file_object -> file_object,5,257,4,7,0.22727272727272727,95
file_object -> file_object -> error_signature_object,3,243,4,7,0.24645892351274787,110
url_object -> file_object,2,220,4,8,0.20198675496688742,82
pip -> execute,2,203,3,6,0.26804123711340205,88
execute -> pip,2,200,3,6,0.2768166089965398,89
url_object -> file_object -> file_object,3,196,4,8,0.17293233082706766,70
error_signature_object -> file_object -> file_object -> file_object,4,194,4,7,0.22939068100358423,85
edit -> execute,2,192,4,6,0.22614840989399293,91
file_object -> file_object -> file_object -> error_signature_object,4,188,4,6,0.22641509433962265,77
read_file -> edit,2,185,4,5,0.19622641509433963,80
file_object -> test_case_object,2,171,4,7,0.2289156626506024,78
execute -> list_files,2,169,4,6,0.24892703862660945,64
error_signature_object -> error_signature_object,2,168,4,6,0.25892857142857145,56
url_object -> file_object -> file_object -> file_object,4,162,4,7,0.1527777777777778,54
file_object -> error_signature_object -> file_object,3,159,4,7,0.25217391304347825,71
file_object -> file_object -> test_case_object,3,156,4,7,0.22608695652173913,74
execute -> read_file -> execute,3,149,3,4,0.11961722488038277,60
list_files -> execute,2,147,4,6,0.2727272727272727,62
execute -> edit,2,146,4,5,0.24390243902439024,59
error_signature_object -> file_object -> file_object -> file_object -> file_object,5,141,4,7,0.24257425742574257,61
file_object -> file_object -> error_signature_object -> file_object,4,138,4,6,0.25,62
read_file -> execute -> read_file,3,137,3,4,0.12041884816753927,54
execute -> file_object,2,135,4,7,0.23880597014925373,66
url_object -> url_object,2,135,4,4,0.10160427807486631,52
read_file -> file_object,2,134,4,6,0.23232323232323232,64
test_case_object -> error_signature_object,2,130,3,5,0.19047619047619047,59
file_object -> error_signature_object -> file_object -> file_object,4,124,4,6,0.24858757062146894,53
file_object -> file_object -> file_object -> file_object -> error_signature_object,5,123,4,6,0.25146198830409355,48
cd -> read_file,2,120,4,3,0.1728395061728395,42
url_object -> file_object -> file_object -> file_object -> file_object,5,117,4,6,0.15625,43
execute -> pip -> execute,3,116,3,6,0.2658959537572254,57
file_object -> file_object -> file_object -> error_signature_object -> file_object,5,114,4,6,0.26380368098159507,49
edit -> read_file,2,112,4,4,0.2658959537572254,61
read_file -> list_files,2,111,4,5,0.17307692307692307,45
cd -> execute,2,110,4,6,0.2111801242236025,51
execute -> cd,2,110,3,6,0.175,50
file_object -> file_object -> error_signature_object -> file_object -> file_object,5,109,4,6,0.25477707006369427,48
file_object -> url_object,2,106,4,6,0.11194029850746269,28
pip -> cd,2,105,3,4,0.22535211267605634,37
test_case_object -> error_signature_object -> file_object,3,105,3,5,0.14666666666666667,45
file_object -> error_signature_object -> error_signature_object,3,104,4,5,0.23880597014925373,30
cd -> pip,2,101,3,4,0.2246376811594203,37
file_object -> test_case_object -> error_signature_object,3,101,3,5,0.1736111111111111,43
read_file -> file_object -> file_object,3,99,4,6,0.25517241379310346,46
execute -> file_object -> file_object,3,99,4,7,0.2638888888888889,45
list_files -> read_file -> execute,3,99,3,3,0.10869565217391304,39
error_signature_object -> url_object,2,96,4,7,0.1984126984126984,30
list_files -> edit,2,96,4,5,0.34558823529411764,40
file_object -> file_object -> test_case_object -> error_signature_object,4,95,3,5,0.17518248175182483,42
which -> apt-get,2,95,2,5,0.19117647058823528,41
file_object -> error_signature_object -> file_object -> file_object -> file_object,5,93,4,6,0.25190839694656486,38
test_case_object -> file_object,2,92,3,7,0.3235294117647059,44
file_object -> file_object -> file_object -> test_case_object,4,90,4,6,0.19708029197080293,47
read_file -> execute -> read_file -> execute,4,89,3,4,0.0859375,39
execute -> read_file -> execute -> read_file,4,88,3,4,0.07258064516129033,36
test_case_object -> error_signature_object -> file_object -> file_object,4,87,3,5,0.15873015873015872,39
file_object -> test_case_object -> file_object,3,85,3,6,0.33858267716535434,42
file_object -> test_case_object -> error_signature_object -> file_object,4,85,3,5,0.15254237288135594,33
edit -> cd,2,84,4,4,0.2727272727272727,26
cd -> pip -> cd,3,82,3,4,0.22429906542056074,25
pip -> execute -> pip,3,81,3,6,0.30701754385964913,33
file_object -> file_object -> test_case_object -> error_signature_object -> file_object,5,80,3,5,0.15178571428571427,32
file_object -> file_object -> error_signature_object -> error_signature_object,4,78,4,5,0.21904761904761905,27
read_file -> str_replace,2,77,4,1,0.09433962264150944,29
test_case_object -> file_object -> file_object,3,77,3,5,0.32142857142857145,35
error_signature_object -> error_signature_object -> error_signature_object,3,77,4,5,0.23076923076923078,27
execute -> edit -> execute,3,76,4,5,0.17543859649122806,38
url_object -> error_signature_object,2,75,4,6,0.19090909090909092,35
file_object -> test_case_object -> file_object -> file_object,4,73,2,5,0.32710280373831774,34
edit -> execute -> read_file,3,72,4,5,0.1326530612244898,26
file_object -> file_object -> url_object,3,72,4,5,0.0898876404494382,17
file_object -> file_object -> test_case_object -> file_object,4,72,2,6,0.3577981651376147,37
execute -> search,2,71,3,4,0.1619047619047619,34
read_file -> cd,2,71,4,4,0.18811881188118812,30
url_object -> url_object -> file_object,3,70,4,4,0.07526881720430108,23
file_object -> test_case_object -> error_signature_object -> file_object -> file_object,5,70,3,5,0.17346938775510204,28
error_signature_object -> error_signature_object -> file_object,3,70,4,5,0.25263157894736843,25
execute -> read_file -> execute -> read_file -> execute,5,70,3,4,0.09090909090909091,29
file_object -> file_object -> file_object -> file_object -> test_case_object,5,70,4,5,0.1743119266055046,39
read_file -> edit -> execute,3,68,3,4,0.13861386138613863,33
read_file -> search,2,67,4,4,0.09473684210526316,28
read_file -> pip,2,65,3,6,0.3118279569892473,28
list_files -> file_object,2,64,4,5,0.2823529411764706,21
test_case_object -> error_signature_object -> file_object -> file_object -> file_object,5,63,3,4,0.16853932584269662,26
edit -> file_object,2,63,4,4,0.34146341463414637,19
search -> edit,2,63,4,4,0.10891089108910891,38
pip3 -> execute,2,62,3,4,0.2682926829268293,20
url_object -> url_object -> file_object -> file_object,4,62,4,3,0.06172839506172839,19
file_object -> file_object -> test_case_object -> file_object -> file_object,5,61,2,5,0.3626373626373626,30
read_file -> execute -> read_file -> execute -> read_file,5,61,3,4,0.07608695652173914,31
cd -> list_files,2,60,4,5,0.26506024096385544,23
