motif,n,support_traces,support_tasks,support_harnesses,success_rate,heldout_support_traces
execute -> read_file,2,281,4,6,0.1801566579634465,102
read_file -> execute,2,279,4,5,0.17480719794344474,110
list_files -> read_file,2,278,4,5,0.1724137931034483,99
pip -> execute,2,203,3,6,0.26804123711340205,88
execute -> pip,2,200,3,6,0.2768166089965398,89
edit -> execute,2,193,4,6,0.22535211267605634,91
read_file -> edit,2,185,4,5,0.19622641509433963,80
execute -> list_files,2,170,4,6,0.24786324786324787,64
execute -> read_file -> execute,3,150,3,4,0.11904761904761904,60
list_files -> execute,2,147,4,6,0.2727272727272727,62
execute -> edit,2,146,4,5,0.24271844660194175,60
read_file -> execute -> read_file,3,138,3,4,0.11979166666666667,54
cd -> read_file,2,120,4,3,0.1728395061728395,42
execute -> pip -> execute,3,116,3,6,0.2658959537572254,57
edit -> read_file,2,113,4,5,0.26436781609195403,61
read_file -> list_files,2,111,4,5,0.17307692307692307,45
execute -> cd,2,110,3,6,0.175,50
cd -> execute,2,110,4,6,0.2111801242236025,51
pip -> cd,2,105,3,4,0.22535211267605634,37
cd -> pip,2,101,3,4,0.2246376811594203,37
list_files -> read_file -> execute,3,99,3,3,0.10869565217391304,39
list_files -> edit,2,96,4,5,0.34558823529411764,40
which -> apt-get,2,95,2,5,0.19117647058823528,41
read_file -> execute -> read_file -> execute,4,89,3,4,0.0859375,39
execute -> read_file -> execute -> read_file,4,89,3,4,0.072,36
edit -> cd,2,84,4,4,0.2727272727272727,26
cd -> pip -> cd,3,82,3,4,0.22429906542056074,25
pip -> execute -> pip,3,81,3,6,0.30701754385964913,33
read_file -> str_replace,2,77,4,1,0.09433962264150944,29
execute -> edit -> execute,3,77,4,5,0.1724137931034483,39
edit -> execute -> read_file,3,74,4,5,0.13,26
read_file -> cd,2,72,4,4,0.19607843137254902,30
execute -> search,2,71,3,4,0.16037735849056603,35
execute -> read_file -> execute -> read_file -> execute,5,70,3,4,0.09090909090909091,29
read_file -> edit -> execute,3,68,3,4,0.13861386138613863,33
read_file -> search,2,67,4,4,0.09473684210526316,28
read_file -> pip,2,65,3,6,0.3118279569892473,28
search -> edit,2,63,4,4,0.10891089108910891,38
pip3 -> execute,2,62,3,4,0.2682926829268293,20
read_file -> execute -> read_file -> execute -> read_file,5,61,3,4,0.07608695652173914,31
cd -> list_files,2,60,4,5,0.26506024096385544,23
str_replace -> read_file,2,60,4,1,0.0759493670886076,19
execute -> read_file -> edit,3,59,3,4,0.1411764705882353,26
read_file -> execute -> pip,3,59,3,4,0.24691358024691357,22
apt-get -> r,2,58,1,5,0.1875,22
cd -> edit,2,58,4,3,0.25333333333333335,17
str_replace -> cd,2,56,4,1,0.14473684210526316,20
execute -> apt,2,56,2,5,0.14285714285714285,21
read_file -> edit -> read_file,3,56,4,4,0.17647058823529413,29
read_file -> execute -> list_files,3,55,4,3,0.10666666666666667,20
pip -> execute -> pip -> execute,4,54,3,6,0.24675324675324675,23
search -> read_file,2,54,3,5,0.11842105263157894,22
pip -> execute -> read_file,3,53,3,5,0.2714285714285714,17
list_files -> read_file -> edit,3,53,4,4,0.12857142857142856,17
apt -> execute,2,50,1,5,0.12307692307692308,15
list_files -> pip,2,50,3,6,0.14084507042253522,21
execute -> pip -> execute -> pip,4,50,3,5,0.2727272727272727,16
your_command_here -> list_files,2,49,4,1,0.20634920634920634,14
read_file -> execute -> edit,3,49,3,3,0.24242424242424243,17
list_files -> cd,2,49,4,4,0.13636363636363635,17
edit -> execute -> edit,3,49,3,5,0.1917808219178082,24
read_file -> list_files -> read_file,3,48,4,3,0.15942028985507245,21
execute -> pip3,2,46,3,4,0.2835820895522388,21
execute -> which,2,46,3,4,0.11290322580645161,16
which -> execute,2,46,3,3,0.1746031746031746,17
str_replace -> read_file -> str_replace,3,45,4,1,0.016666666666666666,15
edit -> search,2,44,4,4,0.12121212121212122,22
cd -> read_file -> cd,3,43,3,3,0.14285714285714285,13
read_file -> plan,2,43,4,1,0.22580645161290322,19
pip -> list_files,2,43,3,5,0.26666666666666666,17
rscript -> list_files,2,43,2,5,0.390625,21
edit -> execute -> read_file -> execute,4,43,2,4,0.08333333333333333,17
git -> list_files,2,43,1,5,0.10714285714285714,13
edit -> read_file -> edit,3,42,4,4,0.21875,22
which -> apt-get -> r,3,42,1,5,0.16071428571428573,14
rscript -> read_file,2,42,2,4,0.2647058823529412,26
cd -> edit -> cd,3,42,4,3,0.2692307692307692,10
execute -> apt -> execute,3,42,1,5,0.12727272727272726,13
r -> apt-get,2,41,1,5,0.22807017543859648,16
edit -> read_file -> execute,3,40,3,4,0.29508196721311475,21
pip -> cd -> execute,3,40,2,4,0.17543859649122806,17
cd -> str_replace,2,40,4,1,0.22807017543859648,17
test -> execute,2,40,2,6,0.44642857142857145,16
execute -> pip -> execute -> pip -> execute,5,40,3,5,0.23076923076923078,12
read_file -> str_replace -> cd,3,40,3,1,0.07272727272727272,15
list_files -> execute -> pip,3,39,3,5,0.2413793103448276,19
execute -> apt-get,2,39,3,5,0.33962264150943394,14
git -> cd,2,39,1,4,0.12727272727272726,16
cd -> read_file -> str_replace,3,39,3,1,0.07407407407407407,15
read_file -> wc,2,39,3,4,0.2641509433962264,14
execute -> list_files -> execute,3,39,3,4,0.23214285714285715,17
search -> execute,2,39,3,4,0.1568627450980392,12
execute -> cd -> pip,3,38,3,4,0.20408163265306123,11
cd -> execute -> cd,3,38,3,4,0.17307692307692307,14
str_replace -> execute,2,38,4,1,0.13043478260869565,8
execute -> pip3 -> execute,3,37,3,4,0.2708333333333333,11
read_file -> edit -> execute -> read_file,4,37,3,3,0.04,13
read_file -> rscript,2,36,2,4,0.32727272727272727,19
r -> read_file,2,36,2,4,0.1836734693877551,13
execute -> read_file -> execute -> list_files,4,35,3,3,0.13333333333333333,10
