motif_kind,motif,train_support,heldout_support,support_harnesses,appears_in_heldout
phase,explore/read -> execute/test,473,196,7,True
phase,execute/test -> explore/read,440,176,6,True
phase,explore/read -> execute/test -> explore/read,342,140,6,True
phase,explore/read -> edit/write,326,143,5,True
phase,execute/test -> explore/read -> execute/test,287,111,6,True
phase,edit/write -> execute/test,243,113,6,True
phase,edit/write -> explore/read,241,108,6,True
phase,execute/test -> explore/read -> execute/test -> explore/read,224,87,6,True
phase,explore/read -> execute/test -> explore/read -> execute/test,217,82,6,True
phase,execute/test -> edit/write,203,85,7,True
phase,edit/write -> execute/test -> explore/read,184,74,5,True
phase,explore/read -> edit/write -> execute/test,178,83,5,True
phase,execute/test -> explore/read -> edit/write,176,75,5,True
phase,explore/read -> execute/test -> explore/read -> execute/test -> explore/read,173,69,6,True
phase,explore/read -> edit/write -> explore/read,172,78,5,True
phase,execute/test -> explore/read -> execute/test -> explore/read -> execute/test,163,64,6,True
phase,explore/read -> execute/test -> edit/write,153,54,6,True
phase,explore/read -> edit/write -> execute/test -> explore/read,133,52,5,True
phase,execute/test -> edit/write -> execute/test,125,60,6,True
phase,edit/write -> explore/read -> edit/write,125,54,5,True
phase,explore/read -> execute/test -> explore/read -> edit/write,121,57,5,True
phase,edit/write -> execute/test -> explore/read -> execute/test,118,48,5,True
phase,execute/test -> explore/read -> edit/write -> execute/test,105,48,4,True
phase,explore/read -> edit/write -> explore/read -> edit/write,100,48,5,True
phase,edit/write -> execute/test -> edit/write,91,46,6,True
phase,explore/read -> execute/test -> edit/write -> execute/test,84,36,5,True
phase,edit/write -> explore/read -> execute/test,81,41,5,True
phase,edit/write -> execute/test -> explore/read -> execute/test -> explore/read,81,39,5,True
phase,execute/test -> explore/read -> edit/write -> execute/test -> explore/read,81,31,4,True
phase,execute/test -> explore/read -> execute/test -> edit/write,80,20,5,True
phase,execute/test -> edit/write -> explore/read,79,29,6,True
phase,edit/write -> execute/test -> explore/read -> edit/write,77,32,5,True
phase,edit/write -> explore/read -> edit/write -> explore/read,76,33,4,True
phase,execute/test -> explore/read -> edit/write -> explore/read,75,35,5,True
phase,explore/read -> edit/write -> execute/test -> explore/read -> execute/test,74,35,4,True
phase,execute/test -> edit/write -> execute/test -> explore/read,71,36,5,True
phase,execute/test -> explore/read -> execute/test -> explore/read -> edit/write,71,32,5,True
phase,explore/read -> execute/test -> explore/read -> edit/write -> execute/test,67,37,4,True
phase,explore/read -> edit/write -> explore/read -> edit/write -> explore/read,65,30,4,True
phase,explore/read -> edit/write -> execute/test -> explore/read -> edit/write,65,23,5,True
phase,edit/write -> execute/test -> edit/write -> execute/test,63,35,5,True
phase,explore/read -> edit/write -> explore/read -> execute/test,60,29,4,True
phase,edit/write -> explore/read -> edit/write -> explore/read -> edit/write,55,23,3,True
phase,explore/read -> edit/write -> execute/test -> edit/write,55,30,5,True
phase,execute/test -> edit/write -> execute/test -> edit/write,55,29,4,True
phase,explore/read -> execute/test -> edit/write -> explore/read,54,18,5,True
phase,explore/read -> execute/test -> explore/read -> edit/write -> explore/read,54,27,5,True
phase,edit/write -> explore/read -> execute/test -> explore/read,50,32,5,True
phase,execute/test -> edit/write -> execute/test -> explore/read -> execute/test,49,17,5,True
phase,edit/write -> execute/test -> explore/read -> edit/write -> execute/test,48,20,4,True
phase,explore/read -> execute/test -> explore/read -> execute/test -> edit/write,47,12,5,True
phase,execute/test -> explore/read -> execute/test -> edit/write -> execute/test,45,16,5,True
phase,execute/test -> edit/write -> execute/test -> edit/write -> execute/test,44,24,4,True
phase,execute/test -> explore/read -> edit/write -> explore/read -> edit/write,43,24,5,True
phase,explore/read -> execute/test -> edit/write -> execute/test -> explore/read,43,20,5,True
phase,edit/write -> explore/read -> edit/write -> execute/test,43,22,5,True
phase,explore/read -> edit/write -> execute/test -> edit/write -> execute/test,38,24,4,True
phase,edit/write -> execute/test -> edit/write -> execute/test -> edit/write,37,19,4,True
phase,execute/test -> edit/write -> explore/read -> edit/write,36,10,5,True
phase,explore/read -> edit/write -> explore/read -> execute/test -> explore/read,35,21,4,True
phase,explore/read -> execute/test -> edit/write -> execute/test -> edit/write,35,15,4,True
phase,explore/read -> edit/write -> explore/read -> edit/write -> execute/test,33,21,4,True
phase,execute/test -> explore/read -> edit/write -> explore/read -> execute/test,32,18,3,True
phase,execute/test -> edit/write -> explore/read -> execute/test,30,18,4,True
phase,edit/write -> explore/read -> edit/write -> execute/test -> explore/read,30,9,3,True
phase,edit/write -> execute/test -> edit/write -> explore/read,30,11,5,True
phase,execute/test -> explore/read -> execute/test -> edit/write -> explore/read,28,5,3,True
phase,edit/write -> explore/read -> execute/test -> explore/read -> execute/test,28,21,4,True
phase,edit/write -> execute/test -> edit/write -> execute/test -> explore/read,27,20,4,True
phase,edit/write -> execute/test -> explore/read -> execute/test -> edit/write,27,7,4,True
