error_signature,count
error:error:generic,2523
error:failed_test:test_outputs.py,1452
error:traceback:test_outputs.py:line,1140
error:exception:ModuleNotFoundError,506
error:traceback:__init__.py:line,372
error:exception:ImportError,229
error:exception:Exception,220
error:traceback:setup.py:line,157
error:failed_test:test_outputs,106
error:failed_test:test_copy.html,95
error:exception:OSError,94
error:traceback:run_test.py:line,93
error:failed_test:test_catalogue.py,88
error:error:timeout,64
error:traceback:test_pyknotid.py:line,60
error:traceback:simple_run.py:line,56
error:exception:AssertionError,51
error:traceback:filter.py:line,51
error:failed_test:test_knot.py,49
error:failed_test:test_cache,41
error:traceback:solve.py:line,40
error:exception:AttributeError,36
error:traceback:named.py:line,36
error:failed_test:test_random_curves.py,34
error:traceback:run.py:line,30
error:traceback:learn_dag.py:line,29
error:exception:SyntaxError,29
error:failed_test:test_normal,25
error:traceback:solve_bn.py:line,24
error:traceback:causal_discovery.py:line,23
error:traceback:knot.py:line,22
error:failed_test:test_ars,20
error:failed_test:test_points,18
error:traceback:recover_dag.py:line,18
error:exception:TypeError,17
error:traceback:bn_solver.py:line,16
error:failed_test:test_filter.html,16
error:failed_test:test_pyknotid.py,15
error:traceback:learn_bn.py:line,14
error:traceback:test_snippet.py:line,14
error:exception:ValueError,13
error:failed_test:test_spacecurve.py,13
error:failed_test:test_exponential,12
error:exception:NameError,12
error:traceback:dag_recovery.py:line,11
error:traceback:test_my_solution.py:line,11
error:failed_test:test_random_curves,10
error:failed_test:test_snippet.py,10
error:failed_test:test_cases,8
error:failed_test:test_outputs.pybash,8
error:exception:simpleError,7
error:failed_test:test_run,7
error:failed_test:test_negative_n,7
error:traceback:run_bn.py:line,7
error:exception:np.linalg.LinAlgError,7
error:traceback:test_spacecurve.py:line,7
error:failed_test:test_exp.R,6
error:traceback:bn_analysis.py:line,6
error:traceback:intervention.py:line,6
error:traceback:bn_task.py:line,6
error:traceback:verbose_test.py:line,6
error:failed_test:test_manual.html,6
error:failed_test:test_py_module,6
error:traceback:test_build.py:line,6
error:failed_test:test_intersection_computation,5
error:failed_test:test_results,5
error:traceback:causal_script.py:line,5
error:exception:IndentationError,5
error:failed_test:test_conditional_independence,5
error:failed_test:test_domain,4
error:failed_test:test_vals,4
error:failed_test:test_fix.R,4
error:traceback:learn_and_intervene.py:line,4
error:traceback:PC.py:line,4
error:traceback:complete_task.py:line,4
error:traceback:analyze_bn.py:line,4
error:traceback:test.py:line,4
error:traceback:learn_structure.py:line,4
error:failed_test:test_solution.py,4
error:failed_test:test_simple.html,4
error:traceback:manual_test.py:line,4
error:exception:OnError,4
error:failed_test:test_entity.html,4
error:failed_test:test_readme.py,4
error:traceback:test_readme.py:line,4
error:traceback:test_runtime.py:line,4
error:traceback:ast.py:line,4
error:traceback:test_knot.py:line,4
error:exception:IOError,4
error:failed_test:tests/test_spacecurve.py::test_reconstructed_space_curve,4
error:failed_test:test_x,3
error:failed_test:test_name,3
error:traceback:learn_bn_and_intervene.py:line,3
error:traceback:bn_learn.py:line,3
error:traceback:learn_pgmpy.py:line,3
error:failed_test:/app/test_outputs.py::test_out_html_bypasses_filter':,3
error:failed_test:test_meta.py,3
error:failed_test:test_onload.html,3
error:traceback:test_cython_extensions.py:line,3
error:traceback:test_script.py:line,3
