view,k,global_recall,conditional_recall,delta_vs_global,ci_low,ci_high,n_transitions,n_test
wrapper_tool_all,1,0.3165011982197877,0.8111947963026361,0.4946935980828484,0.4128413666181982,0.550406200237201,80093,23368
wrapper_tool_all,3,0.7829938377268059,0.9420575145498117,0.15906367682300582,0.14461004143699627,0.1959138421370237,80093,23368
wrapper_tool_all,5,0.890662444368367,0.9746234166381377,0.08396097226977073,0.060672666371516464,0.09836052458038301,80093,23368
semantic_tool_all,1,0.33545874700445055,0.5300838753851421,0.19462512838069157,0.14652907497411632,0.24877334061356016,80093,23368
semantic_tool_all,3,0.5971841834988018,0.7488873673399521,0.15170318384115034,0.12838509609928156,0.19101771430801887,80093,23368
semantic_tool_all,5,0.7369907565902089,0.8408935296131462,0.10390277302293738,0.08143457556262894,0.1244503533011951,80093,23368
semantic_tool_no_unknown,1,0.1715279119180993,0.4761444852231022,0.3046165733050029,0.26360680887885035,0.3477063319734772,50321,15531
semantic_tool_no_unknown,3,0.49417294443371323,0.7394887644066706,0.24531581997295732,0.2095975054768507,0.285725872524143,50321,15531
semantic_tool_no_unknown,5,0.6384650054729251,0.8248663962397785,0.18640139076685347,0.16485769614410364,0.2210876930143299,50321,15531
semantic_tool_tool_action_only,1,0.1885695570293949,0.43191680995660364,0.24334725292720874,0.20144627739560955,0.2755189595619573,46977,12213
semantic_tool_tool_action_only,3,0.4968476213870466,0.7436338328011136,0.24678621141406704,0.2273088528064532,0.2696687058256061,46977,12213
semantic_tool_tool_action_only,5,0.6609350691885696,0.8342749529190208,0.17333988373045117,0.1490081235282799,0.1981149831940536,46977,12213
collapsed_semantic_tool_tool_action_only,1,0.2351323028556458,0.3945506942625098,0.15941839140686404,0.13548540322088748,0.19050721659761688,25664,7634
collapsed_semantic_tool_tool_action_only,3,0.5466334817919832,0.6634791721247053,0.11684569033272207,0.0854903896576925,0.15381780795473785,25664,7634
collapsed_semantic_tool_tool_action_only,5,0.6713387477076238,0.7804558553838092,0.10911710767618543,0.0882822822822823,0.12547094663129393,25664,7634
phase_all,1,0.6149863060595686,0.6773365285861006,0.062350222526531995,0.03298205619080502,0.10092233510215264,80093,23368
phase_all,3,0.9246833276275248,0.9405597398151319,0.015876412187607047,0.008298253228808932,0.027162409021859936,80093,23368
phase_all,5,0.99957206436152,0.999700445053064,0.00012838069154397225,0.0,0.0002876554851215324,80093,23368
phase_clean_tool_action_only,1,0.4560522936850706,0.6237889576281078,0.1677366639430372,0.10583315885663575,0.24515633419060157,26381,8567
phase_clean_tool_action_only,3,0.9989494572195634,0.9994163651219797,0.00046690790241632474,0.00011193332777449938,0.0013050644114175362,26381,8567
phase_clean_tool_action_only,5,1.0,1.0,0.0,0.0,0.0,26381,8567
collapsed_phase_clean_tool_action_only,1,0.3755801499464477,0.6579792931096037,0.282399143163156,0.24130630630630637,0.3359419396959733,10677,2801
collapsed_phase_clean_tool_action_only,3,0.9992859692966798,0.9992859692966798,0.0,0.0,0.0,10677,2801
collapsed_phase_clean_tool_action_only,5,1.0,0.9992859692966798,-0.000714030703320212,-0.0014983319782945759,0.0,10677,2801
