object_id,accesses
file:/app/out.html,11281
file:/app/filter.py,4216
file:out.html,3324
file:/app/test_outputs.py,3204
file:test_outputs.py,1822
file:filter.py,1509
file:setup.py,1391
file:/app/bn_sample_10k.csv,1210
file:/app/learned_dag.csv,1019
file:/tmp/test.html,943
file:/app/pyknotid/pyknotid/spacecurves/spacecurve.py,922
file:/app/final_bn_sample.csv,813
file:/app/intervened_dag.csv,723
file:/app/normal_samples.txt,721
file:bn_sample_10k.csv,639
file:/app/exponential_samples.txt,603
file:/app/pyknotid/pyknotid/invariants.py,586
file:/tests/filter.py,532
file:/app/pyknotid/pyknotid/make/torus.py,500
file:learned_dag.csv,468
file:pyknotid/invariants.py,432
file:/app/pyknotid/setup.py,390
file:/app/pyknotid/pyknotid/spacecurves/openknot.py,365
file:/app/pyknotid/pyknotid/spacecurves/__init__.py,338
file:pyknotid/spacecurves/spacecurve.py,334
file:final_bn_sample.csv,331
file:intervened_dag.csv,310
file:tests/test_knot.py,304
file:tests/test_spacecurve.py,298
file:run_test.py,284
file:/app/pyknotid/pyknotid/make/periodic_knot.py,248
file:pyknotid/make/torus.py,238
file:/tmp/run_test.py,235
file:/app/pyknotid/pyknotid/representations/representation.py,224
file:/app/pyknotid/pyknotid/spacecurves/periodiccell.py,210
file:tests/test_random_curves.py,204
file:tests/test_catalogue.py,203
file:/app/pyknotid/pyknotid/spacecurves/knot.py,185
file:/app/learn_dag.py,179
file:/app/pyknotid/pyknotid/visualise.py,179
file:pyknotid/make/periodic_knot.py,179
file:pyknotid/representations/representation.py,170
file:normal_samples.txt,161
file:/app/pyknotid/pyknotid/representations/dtnotation.py,158
file:/app/pyknotid/pyknotid/make/__init__.py,154
file:test.html,153
file:/usr/local/lib/python3.13/fractions.py,148
file:/app/test_pyknotid.py,148
file:pyknotid/spacecurves/openknot.py,143
file:/app/pyknotid/pyknotid/make/named.py,139
file:/opt/openhands-venv/lib/python3.13/site-packages/pandas/__init__.py,132
file:simple_run.py,128
file:exponential_samples.txt,125
file:LICENSE.txt,124
file:test_spacecurve.py,122
file:pyproject.toml,118
file:test_knot.py,118
file:pyknotid/representations/dtnotation.py,117
file:__init__.py,113
file:/app/run_test.py,112
file:learn_dag.py,110
file:/app/solve.py,110
file:/app/pyknotid/pyknotid/__init__.py,110
file:/app/pyknotid/tests/test_catalogue.py,109
file:/app/pyknotid/tests/test_random_curves.py,107
file:/app/solve_bn.py,106
file:pyknotid/spacecurves/knot.py,105
file:/app/run.py,100
file:/app/test_copy.html,100
file:simple_test.py,97
file:causal_discovery.py,86
file:/app/pyknotid/tests/test_spacecurve.py,84
file:read.csv,83
file:test_random_curves.py,79
file:test_catalogue.py,78
file:pyknotid/make/named.py,78
file:/app/causal_discovery.py,75
file:test_pyknotid.py,74
file:pyknotid/spacecurves/periodiccell.py,69
file:/tmp/test2.html,68
file:/pyknotid/invariants.py,68
file:/app/recover_dag.py,65
file:/app/pyknotid/tests/test_knot.py,64
file:solve_bn.py,63
file:bn_solver.py,63
file:/numpy.org/devdocs/release/1.20.0-notes.html,63
file:/tmp/test3.html,61
file:/app/simple_run.py,61
file:/tmp/test7.html,60
file:/app/script_output.txt,59
file:learn_bn.py,58
file:doc/conf.py,57
file:/pyknotid/spacecurves/spacecurve.py,56
file:/tmp/final_test.html,55
file:/usr/local/lib/python3.13/site-packages/pyknotid/spacecurves/__init__.py,55
file:/app/simple_test.py,54
file:/usr/local/lib/python3.13/site-packages/numpy/__init__.py,53
file:/app/dag_recovery.py,52
file:out_original.html,52
file:/app/pyknotid/pyknotid/spacecurves/periodicline.py,52
